timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1496504820.0227839947,1496504820.0250639915, -0.3904,  0.3516, -0.1997,-37.9791, -9.7504,250.6561
1496504820.0251560211,1496504820.0276060104, -0.5310,  0.2561, -0.2371,-37.9791, -9.7504,250.6561
1496504820.0276849270,1496504820.0299689770, -0.5310,  0.2561, -0.2371,-37.9791, -9.7504,250.6561
1496504820.0300459862,1496504820.0323319435, -0.5310,  0.2561, -0.2371,-37.9791, -9.7504,250.6561
1496504820.0324089527,1496504820.0346961021, -0.5310,  0.2561, -0.2371,-43.4265, -9.5367,274.0631
1496504820.0347731113,1496504820.0370569229, -0.5310,  0.2561, -0.2371,-43.4265, -9.5367,274.0631
1496504820.0371339321,1496504820.0394210815, -0.5310,  0.2561, -0.2371,-43.4265, -9.5367,274.0631
1496504820.0394999981,1496504820.0417830944, -0.5310,  0.2561, -0.2371,-43.4265, -9.5367,274.0631
1496504820.0418601036,1496504820.0441439152, -0.5310,  0.2561, -0.2371,-43.4265, -9.5367,274.0631
1496504820.0442199707,1496504820.0464980602, -0.7461,  0.2356, -0.2402,-43.5333, -9.9487,274.9329
1496504820.0465750694,1496504820.0488660336, -0.7461,  0.2356, -0.2402,-43.5333, -9.9487,274.9329
1496504820.0489430428,1496504820.0513339043, -0.7461,  0.2356, -0.2402,-43.5333, -9.9487,274.9329
1496504820.0514109135,1496504820.0536990166, -0.7461,  0.2356, -0.2402,-43.5333, -9.9487,274.9329
1496504820.0537750721,1496504820.0560979843, -0.7461,  0.2356, -0.2402,-47.4091, -9.9792,286.0260
1496504820.0578238964,1496504820.0601160526, -0.7461,  0.2356, -0.2402,-47.4091, -9.9792,286.0260
1496504820.0601949692,1496504820.0625100136, -0.7461,  0.2356, -0.2402,-47.4091, -9.9792,286.0260
1496504820.0625889301,1496504820.0650789738, -0.7461,  0.2356, -0.2402,-47.4091, -9.9792,286.0260
1496504820.0651578903,1496504820.0675270557, -1.0278,  0.1660, -0.1738,-48.9044,-13.2904,300.6744
1496504820.0676059723,1496504820.0700209141, -1.0278,  0.1660, -0.1738,-48.9044,-13.2904,300.6744
1496504820.0701000690,1496504820.0725100040, -1.0278,  0.1660, -0.1738,-48.9044,-13.2904,300.6744
1496504820.0725870132,1496504820.0749979019, -1.0278,  0.1660, -0.1738,-48.9044,-13.2904,300.6744
1496504820.0750749111,1496504820.0774960518, -1.0278,  0.1660, -0.1738,-45.2423,-18.5089,315.4144
1496504820.0775740147,1496504820.0799798965, -1.0278,  0.1660, -0.1738,-45.2423,-18.5089,315.4144
1496504820.0800580978,1496504820.0824670792, -1.0278,  0.1660, -0.1738,-45.2423,-18.5089,315.4144
1496504820.0825450420,1496504820.0849568844, -1.0278,  0.1660, -0.1738,-45.2423,-18.5089,315.4144
1496504820.0850350857,1496504820.0874569416, -1.3311,  0.1323, -0.0691,-39.1998,-20.1721,330.0018
1496504820.0875380039,1496504820.0899450779, -1.3311,  0.1323, -0.0691,-39.1998,-20.1721,330.0018
1496504820.0900249481,1496504820.0924329758, -1.3311,  0.1323, -0.0691,-39.1998,-20.1721,330.0018
1496504820.0925118923,1496504820.0949239731, -1.3311,  0.1323, -0.0691,-39.1998,-20.1721,330.0018
1496504820.0950028896,1496504820.0974190235, -1.3311,  0.1323, -0.0691,-39.1998,-20.1721,341.4307
1496504820.0974988937,1496504820.0997889042, -1.3311,  0.1323, -0.0691,-33.1421,-20.1111,341.4307
1496504820.0998690128,1496504820.1021521091, -1.3311,  0.1323, -0.0691,-33.1421,-20.1111,341.4307
