P_i,P_t,P_v,T_i,T_t,T_v
851,1496711919.9760189056,344.741791,717,1496711919.6484456062,-182.434097
924,1496711920.1549663544,-21.530199,912,1496711920.1251788139,-172.088593
1023,1496711920.3991765976,-51.513699,937,1496711920.1870009899,-175.109894
1303,1496711921.0874700546,387.252808,1178,1496711920.7803735733,-215.072601
1371,1496711921.2552285194,-26.641800,1354,1496711921.2130019665,-182.907104
1487,1496711921.5405154228,-59.295700,1380,1496711921.2777454853,-217.895493
1727,1496711922.1333460808,392.898590,1606,1496711921.8361384869,-220.565796
1791,1496711922.2909893990,-31.127899,1778,1496711922.2588491440,-171.890305
1891,1496711922.5448465347,-55.740398,1802,1496711922.3215098381,-233.612106
2145,1496711923.1694421768,397.781403,2029,1496711922.8838229179,-218.414307
2218,1496711923.3501067162,-21.713301,2200,1496711923.3056569099,-176.696793
2330,1496711923.6250360012,-47.790501,2226,1496711923.3692188263,-231.277496
2579,1496711924.2374274731,385.391205,2459,1496711923.9420444965,-215.484604
2647,1496711924.4049406052,-18.096901,2630,1496711924.3631711006,-167.877197
2794,1496711924.7653336525,-52.474998,2660,1496711924.4371047020,-191.436798
3019,1496711925.3167266846,377.426086,2898,1496711925.0193035603,-219.833405
3091,1496711925.4939060211,-5.966200,3074,1496711925.4520673752,-176.605194
3207,1496711925.7796099186,-42.846699,3104,1496711925.5257415771,-160.110504
3488,1496711926.4684596062,342.147797,3367,1496711926.1728091240,-191.894501
3561,1496711926.6478149891,-4.028300,3544,1496711926.6065378189,-149.093597
3643,1496711926.8494889736,-42.053200,3574,1496711926.6795949936,-156.600998
3973,1496711927.6622905731,342.407196,3836,1496711927.3245079517,-202.743500
4029,1496711927.7990198135,3.265400,4016,1496711927.7669949532,-147.094696
4145,1496711928.0853109360,-34.805302,4042,1496711927.8312163353,-158.432007
4377,1496711928.6563189030,218.902603,4308,1496711928.4863474369,-178.237900
4930,1496711937.8661684990,193.435699,4818,1496711937.5907216072,-52.368198
5136,1496711938.3727235794,-31.356800,5020,1496711938.0879240036,-141.815201
5411,1496711939.0488739014,415.756195,5291,1496711938.7540359497,-217.086807
5471,1496711939.1961259842,-53.924599,5463,1496711939.1765594482,-200.988800
