S_i,S_t,S_max,S_i,S_t,S_min,period
459,1496504650.5742998123,155.563400,886,1496504651.6208891869,-210.220306,1.373069
1019,1496504651.9473690987,341.308594,1067,1496504652.0646128654,-164.550797,1.141486
1485,1496504653.0888555050,369.781494,1533,1496504653.2063155174,-173.248306,4.598665
1971,1496504657.6875209808,10.162400,2291,1496504658.4692664146,-185.150101,1.141562
2438,1496504658.8290834427,307.861298,2489,1496504658.9548010826,-138.382004,1.193618
2924,1496504660.0227015018,361.328094,2972,1496504660.1397240162,-174.713104,1.153457
3395,1496504661.1761589050,324.523895,3455,1496504661.3237838745,-154.464706,4.576616
3780,1496504665.7527749538,-15.976000,4039,1496504666.3863584995,-202.072098,0.941153
4164,1496504666.6939280033,333.557098,4220,1496504666.8308200836,-167.465195,1.099173
4612,1496504667.7931010723,377.685486,4664,1496504667.9210875034,-208.450302,1.035640
5035,1496504668.8287405968,385.437012,5086,1496504668.9546740055,-181.930496,1.066781
5470,1496504669.8955216408,247.100800,5736,1496504687.4544534683,-97.671501,17.705627
5796,1496504687.6011486053,53.222698,5965,1496504688.0145809650,-85.296600,1.111578
6250,1496504688.7127270699,-9.796100,6268,1496504688.7557554245,-193.344101,1.521924
6872,1496504690.2346510887,195.007294,7018,1496504690.5929095745,-238.098099,6.151556
7873,1496504696.3862071037,246.200607,7908,1496504696.4712805748,-74.935898,2.294837
8811,1496504698.6810441017,233.917206,8845,1496504698.7652969360,-83.251999,9.713378
9650,1496504708.3944225311,195.953400,10365,1496504710.1505913734,-142.120407,2.082808
10498,1496504710.4772300720,203.796402,10654,1496504710.8592724800,-109.344498,6.564980
10848,1496504717.0422101021,8.987400,11218,1496504717.9495930672,-150.192307,1.184698
11331,1496504718.2269079685,206.695602,11986,1496504719.8320829868,-147.949203,1.966011
12133,1496504720.1929190159,154.968307,12430,1496504720.9217243195,-83.419800,-47.028759
12502,1496504673.1641595364,2.456700,12998,1496504674.3795127869,-212.173492,1.468447
13101,1496504674.6326065063,350.997894,13179,1496504674.8230137825,-282.531708,0.781587
13420,1496504675.4141936302,393.112213,13502,1496504675.6155970097,-379.287689,0.771618
13734,1496504676.1858119965,401.504486,13812,1496504676.3765850067,-356.933594,0.782160
14053,1496504676.9679715633,353.363007,14122,1496504677.1375722885,-257.690399,0.951369
14441,1496504677.9193406105,19.729601,15202,1496504681.1017999649,-225.051895,3.425023
15301,1496504681.3443636894,389.343292,15379,1496504681.5349049568,-297.515900,0.771324
15615,1496504682.1156880856,400.756805,15689,1496504682.2961230278,-309.387207,0.773150
15931,1496504682.8888385296,387.542694,16008,1496504683.0776765347,-349.441498,0.834304
16272,1496504683.7231421471,294.982910,16345,1496504683.9032282829,-118.042000,41.332414
16621,1496504725.0555562973,135.711700,0,1496504649.4519095421,-18.295300,41.332414
