timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495049566.6554460526,1495049566.6584129333, -1.1106, -0.2205, -0.1736, -6.7749, -3.3722, -2.6093
1495049566.6585450172,1495049566.6608309746, -1.3594, -0.2434, -0.1853, -6.7749, -3.3722, -2.6093
1495049566.6609001160,1495049566.6631770134, -1.3594, -0.2434, -0.1853, -6.8512, -3.2349, -2.8534
1495049566.6632471085,1495049566.6655230522, -1.3594, -0.2434, -0.1853, -6.8512, -3.2349, -2.8534
1495049566.6655910015,1495049566.6681230068, -1.3594, -0.2434, -0.1853, -6.8512, -3.2349, -2.8534
1495049566.6681959629,1495049566.6704750061, -1.3594, -0.2434, -0.1853, -6.8512, -3.2349, -2.8534
1495049566.6705439091,1495049566.6728310585, -1.1211, -0.2039, -0.1428, -7.9803, -3.3722, -2.5635
1495049566.6728999615,1495049566.6751821041, -1.1211, -0.2039, -0.1428, -7.9803, -3.3722, -2.5635
1495049566.6752510071,1495049566.6776158810, -1.1211, -0.2039, -0.1428, -7.9803, -3.3722, -2.5635
1495049566.6776850224,1495049566.6799690723, -1.1211, -0.2039, -0.1428, -7.9803, -3.3722, -2.5635
1495049566.6800370216,1495049566.6823151112, -1.1211, -0.2039, -0.1428, -7.9803, -3.3722, -2.5635
1495049566.6823849678,1495049566.6846680641, -1.1211, -0.2039, -0.1428,-10.4065, -3.3417, -2.1057
1495049566.6847419739,1495049566.6870861053, -1.1211, -0.2039, -0.1428,-10.4065, -3.3417, -2.1057
1495049566.6871600151,1495049566.6894381046, -1.1211, -0.2039, -0.1428,-10.4065, -3.3417, -2.1057
1495049566.6895110607,1495049566.6917960644, -1.1211, -0.2029, -0.1362,-10.4065, -3.3417, -2.1057
1495049566.6918680668,1495049566.6941480637, -1.1162, -0.2029, -0.1362,-12.7106, -3.0670, -2.3956
1495049566.6942210197,1495049566.6965019703, -1.1162, -0.2029, -0.1362,-12.7106, -3.0670, -2.3956
1495049566.6965749264,1495049566.6989119053, -1.1162, -0.2029, -0.1362,-12.7106, -3.0670, -2.3956
1495049566.6989850998,1495049566.7012629509, -1.1162, -0.2029, -0.1362,-12.7106, -3.0670, -2.3956
1495049566.7013359070,1495049566.7036139965, -1.1162, -0.2029, -0.1362,-12.7106, -3.0670, -2.7924
1495049566.7036859989,1495049566.7059640884, -1.1162, -0.2029, -0.1362,-13.7329, -3.3417, -2.7924
1495049566.7060370445,1495049566.7083449364, -1.1162, -0.2029, -0.1362,-13.7329, -3.3417, -2.7924
1495049566.7084178925,1495049566.7107040882, -1.1162, -0.2029, -0.1362,-13.7329, -3.3417, -2.7924
1495049566.7107770443,1495049566.7130570412, -1.1108, -0.2036, -0.1372,-13.7329, -3.3417, -2.7924
1495049566.7131290436,1495049566.7154059410, -1.1108, -0.2036, -0.1372,-14.0381, -4.0131, -3.5248
1495049566.7154788971,1495049566.7179419994, -1.1108, -0.2036, -0.1372,-14.0381, -4.0131, -3.5248
1495049566.7180159092,1495049566.7202908993, -1.1108, -0.2036, -0.1372,-14.0381, -4.0131, -3.5248
1495049566.7203640938,1495049566.7226490974, -1.1108, -0.2036, -0.1372,-14.0381, -4.0131, -3.5248
1495049566.7227220535,1495049566.7249960899, -1.1108, -0.2036, -0.1372,-14.0381, -4.0131, -4.5929
1495049566.7250690460,1495049566.7275030613, -1.1108, -0.2036, -0.1372,-13.3514, -4.0894, -4.5929
1495049566.7275769711,1495049566.7298660278, -1.1108, -0.2036, -0.1372,-13.3514, -4.0894, -4.5929
1495049566.7299389839,1495049566.7322199345, -1.1292, -0.1938, -0.1626,-13.3514, -4.0894, -4.5929
1495049566.7322928905,1495049566.7345709801, -1.1292, -0.1938, -0.1626,-13.3514, -4.0894, -4.5929
1495049566.7346429825,1495049566.7369709015, -1.1292, -0.1938, -0.1626,-12.6648, -3.9825, -5.9052
1495049566.7370440960,1495049566.7393209934, -1.1292, -0.1938, -0.1626,-12.6648, -3.9825, -5.9052
1495049566.7393929958,1495049566.7416770458, -1.1292, -0.1938, -0.1626,-12.6648, -3.9825, -5.9052
1495049566.7417500019,1495049566.7440259457, -1.1292, -0.1938, -0.1626,-12.6648, -3.9825, -5.9052
1495049566.7441000938,1495049566.7463788986, -1.1292, -0.1938, -0.1626,-12.6648, -4.5013, -7.0648
1495049566.7464520931,1495049566.7488238811, -1.1292, -0.1938, -0.1626,-12.7869, -4.5013, -7.0648
1495049566.7488970757,1495049566.7511711121, -1.1292, -0.1938, -0.1741,-12.7869, -4.5013, -7.0648
1495049566.7512440681,1495049566.7535200119, -1.1438, -0.2190, -0.1741,-12.7869, -4.5013, -7.0648
1495049566.7535920143,1495049566.7558779716, -1.1438, -0.2190, -0.1741,-12.7869, -4.5013, -7.0648
1495049566.7560899258,1495049566.7584719658, -1.1438, -0.2190, -0.1741,-14.2365, -4.1656, -8.6975
1495049566.7585470676,1495049566.7608330250, -1.1438, -0.2190, -0.1741,-14.2365, -4.1656, -8.6975
1495049566.7609069347,1495049566.7631840706, -1.1438, -0.2190, -0.1741,-14.2365, -4.1656, -8.6975
1495049566.7632579803,1495049566.7655360699, -1.1438, -0.2190, -0.1741,-14.2365, -4.1656, -8.6975
1495049566.7656080723,1495049566.7679400444, -1.1438, -0.2190, -0.1741,-15.4877, -4.6539,-10.5438
1495049566.7680160999,1495049566.7702939510, -1.1438, -0.2190, -0.1741,-15.4877, -4.6539,-10.5438
1495049566.7703690529,1495049566.7726500034, -1.1555, -0.2056, -0.1992,-15.4877, -4.6539,-10.5438
1495049566.7727239132,1495049566.7750060558, -1.1555, -0.2056, -0.1992,-15.4877, -4.6539,-10.5438
1495049566.7750809193,1495049566.7773931026, -1.1555, -0.2056, -0.1992,-15.4877, -4.6539,-14.4501
1495049566.7774670124,1495049566.7797520161, -1.1555, -0.2056, -0.1992,-16.9830, -4.9286,-12.0392
1495049566.7798280716,1495049566.7821059227, -1.1555, -0.2056, -0.1992,-16.9830, -4.9286,-12.0392
1495049566.7821810246,1495049566.7845458984, -1.1555, -0.2056, -0.1992,-16.9830, -4.9286,-12.0392
1495049566.7846219540,1495049566.7869019508, -1.1555, -0.2056, -0.1992,-16.9830, -4.9286,-12.0392
1495049566.7870359421,1495049566.7893209457, -1.1555, -0.2056, -0.1992,-18.6768, -5.4016,-13.6566
1495049566.7893970013,1495049566.7916820049, -1.1555, -0.1479, -0.1426,-18.6768, -5.4016,-13.6566
1495049566.7917559147,1495049566.7940390110, -1.1584, -0.1479, -0.1426,-18.6768, -5.4016,-13.6566
1495049566.7941150665,1495049566.7963991165, -1.1584, -0.1479, -0.1426,-18.6768, -5.4016,-13.6566
1495049566.7964739799,1495049566.7987658978, -1.1584, -0.1479, -0.1426,-18.6768, -5.4016,-14.2975
1495049566.7988419533,1495049566.8011240959, -1.1584, -0.1479, -0.1426,-19.8059, -5.4779,-14.2975
1495049566.8011999130,1495049566.8035590649, -1.1584, -0.1479, -0.1426,-19.8059, -5.4779,-14.2975
1495049566.8036339283,1495049566.8073298931, -1.1584, -0.1479, -0.1426,-19.8059, -5.4779,-14.2975
1495049566.8074090481,1495049566.8096950054, -1.1584, -0.1479, -0.1426,-19.8059, -5.4779,-15.0909
1495049566.8097710609,1495049566.8120529652, -1.1584, -0.1094, -0.1523,-22.1863, -5.2032,-15.0909
1495049566.8121299744,1495049566.8144080639, -1.1401, -0.1094, -0.1523,-22.1863, -5.2032,-15.0909
1495049566.8144850731,1495049566.8167641163, -1.1401, -0.1094, -0.1523,-22.1863, -5.2032,-15.0909
1495049566.8168399334,1495049566.8191280365, -1.1401, -0.1094, -0.1523,-22.1863, -5.2032,-15.0909
1495049566.8192050457,1495049566.8214828968, -1.1401, -0.1094, -0.1523,-24.8566, -5.3406,-16.1438
1495049566.8215599060,1495049566.8238430023, -1.1401, -0.1094, -0.1523,-24.8566, -5.3406,-16.1438
1495049566.8239190578,1495049566.8262019157, -1.1401, -0.1094, -0.1523,-24.8566, -5.3406,-16.1438
1495049566.8262789249,1495049566.8285629749, -1.1401, -0.1094, -0.1523,-24.8566, -5.3406,-16.1438
1495049566.8286409378,1495049566.8309240341, -1.1401, -0.1094, -0.1523,-24.8566, -5.5389,-17.2272
1495049566.8310010433,1495049566.8332788944, -1.1694, -0.1213, -0.1614,-30.6854, -5.5389,-17.2272
1495049566.8333559036,1495049566.8356380463, -1.1694, -0.1213, -0.1614,-30.6854, -5.5389,-17.2272
1495049566.8357141018,1495049566.8380870819, -1.1694, -0.1213, -0.1614,-30.6854, -5.5389,-17.2272
1495049566.8381628990,1495049566.8404450417, -1.1694, -0.1213, -0.1614,-30.6854, -5.5389,-17.2272
1495049566.8405210972,1495049566.8428409100, -1.1694, -0.1213, -0.1614,-39.4440, -5.3406,-17.7765
1495049566.8429191113,1495049566.8451979160, -1.1694, -0.1213, -0.1614,-39.4440, -5.3406,-17.7765
1495049566.8452739716,1495049566.8477389812, -1.1694, -0.1213, -0.1614,-39.4440, -5.3406,-17.7765
1495049566.8478150368,1495049566.8501000404, -1.1694, -0.1213, -0.1614,-39.4440, -5.3406,-17.7765
1495049566.8501760960,1495049566.8524549007, -1.1340, -0.0947, -0.1736,-48.9960, -6.1188,-18.9972
1495049566.8525319099,1495049566.8548109531, -1.1340, -0.0947, -0.1736,-48.9960, -6.1188,-18.9972
1495049566.8550050259,1495049566.8573338985, -1.1340, -0.0947, -0.1736,-48.9960, -6.1188,-18.9972
1495049566.8574109077,1495049566.8596920967, -1.1340, -0.0947, -0.1736,-48.9960, -6.1188,-18.9972
1495049566.8597679138,1495049566.8620479107, -1.1340, -0.0947, -0.1736,-48.9960, -6.1188,-22.9034
1495049566.8621249199,1495049566.8644070625, -1.1340, -0.0947, -0.1736,-58.9142, -6.2866,-20.7977
1495049566.8644831181,1495049566.8667540550, -1.1340, -0.0947, -0.1736,-58.9142, -6.2866,-20.7977
1495049566.8668301105,1495049566.8692150116, -1.1340, -0.0947, -0.1736,-58.9142, -6.2866,-20.7977
1495049566.8692920208,1495049566.8715760708, -1.1340, -0.0947, -0.1802,-58.9142, -6.2866,-20.7977
1495049566.8716530800,1495049566.8739349842, -1.1094, -0.1057, -0.1802,-67.0471, -6.3629,-21.9574
1495049566.8740119934,1495049566.8762938976, -1.1094, -0.1057, -0.1802,-67.0471, -6.3629,-21.9574
1495049566.8763709068,1495049566.8788020611, -1.1094, -0.1057, -0.1802,-67.0471, -6.3629,-21.9574
1495049566.8788800240,1495049566.8812880516, -1.1094, -0.1057, -0.1802,-67.0471, -6.3629,-21.9574
1495049566.8813650608,1495049566.8837690353, -1.1094, -0.1057, -0.1802,-67.0471, -6.3629,-23.9410
1495049566.8838460445,1495049566.8862550259, -1.1094, -0.1057, -0.1802,-74.0662, -5.8289,-23.9410
1495049566.8863339424,1495049566.8886868954, -1.1094, -0.1057, -0.1802,-74.0662, -5.8289,-23.9410
1495049566.8887650967,1495049566.8910439014, -1.1094, -0.1057, -0.1802,-74.0662, -5.8289,-23.9410
1495049566.8911209106,1495049566.8934020996, -1.0515, -0.2683, -0.2881,-74.0662, -5.8289,-23.9410
1495049566.8934791088,1495049566.8957600594, -1.0515, -0.2683, -0.2881,-76.3397, -4.4556,-25.9094
1495049566.8958361149,1495049566.8982141018, -1.0515, -0.2683, -0.2881,-76.3397, -4.4556,-25.9094
1495049566.8982899189,1495049566.9006819725, -1.0515, -0.2683, -0.2881,-76.3397, -4.4556,-25.9094
1495049566.9007580280,1495049566.9031469822, -1.0515, -0.2683, -0.2881,-76.3397, -4.4556,-25.9094
1495049566.9032239914,1495049566.9056200981, -1.0515, -0.2683, -0.2881,-70.5566, -1.0681,-22.7203
1495049566.9056959152,1495049566.9080998898, -1.0515, -0.2683, -0.2881,-70.5566, -1.0681,-22.7203
1495049566.9081759453,1495049566.9105730057, -1.0515, -0.2683, -0.2881,-70.5566, -1.0681,-22.7203
1495049566.9106500149,1495049566.9131360054, -1.0549, -0.2397, -0.3899,-70.5566, -1.0681,-22.7203
1495049566.9132208824,1495049566.9156279564, -1.0549, -0.2397, -0.3899,-58.8379,  2.3346,-17.0593
1495049566.9157049656,1495049566.9200189114, -1.0549, -0.2397, -0.3899,-61.6150,  2.3346,-17.0593
1495049566.9200999737,1495049566.9223799706, -1.0549, -0.2397, -0.3899,-61.6150,  2.3346,-17.0593
1495049566.9224579334,1495049566.9247341156, -1.0549, -0.2397, -0.3899,-61.6150,  2.3346,-17.0593
1495049566.9248099327,1495049566.9270920753, -1.0549, -0.2397, -0.3899,-56.8695,  3.8452,-12.7563
1495049566.9271678925,1495049566.9294509888, -1.0549, -0.2397, -0.3899,-56.8695,  3.8452,-12.7563
1495049566.9295279980,1495049566.9318029881, -1.0549, -0.2397, -0.2605,-56.8695,  3.8452,-12.7563
1495049566.9318790436,1495049566.9341599941, -1.0515, -0.2004, -0.2605,-56.8695,  3.8452,-12.7563
1495049566.9342350960,1495049566.9365100861, -1.0515, -0.2004, -0.2605,-56.8695,  3.8452,-11.8713
1495049566.9365859032,1495049566.9389150143, -1.0515, -0.2004, -0.2605,-55.5878,  3.5706,-11.8713
1495049566.9389910698,1495049566.9412689209, -1.0515, -0.2004, -0.2605,-55.5878,  3.5706,-11.8713
1495049566.9413449764,1495049566.9436259270, -1.0515, -0.2004, -0.2605,-55.5878,  3.5706,-11.8713
1495049566.9437019825,1495049566.9459791183, -1.0515, -0.2004, -0.2605,-55.5878,  3.5706,-11.8713
1495049566.9460539818,1495049566.9483470917, -1.0515, -0.2004, -0.2605,-53.1158,  3.4180,-11.3220
1495049566.9484241009,1495049566.9507009983, -1.0515, -0.2004, -0.2605,-53.1158,  3.4180,-11.3220
1495049566.9507780075,1495049566.9530589581, -1.0320, -0.3301, -0.2605,-53.1158,  3.4180,-11.3220
1495049566.9531350136,1495049566.9554119110, -1.0320, -0.3301, -0.2605,-53.1158,  3.4180,-11.3220
1495049566.9554879665,1495049566.9577751160, -1.0320, -0.3301, -0.2605,-53.1158,  4.3030, -9.9945
1495049566.9579670429,1495049566.9602479935, -1.0320, -0.3301, -0.2605,-46.4478,  4.3030, -9.9945
1495049566.9603230953,1495049566.9625999928, -1.0320, -0.3301, -0.2605,-46.4478,  4.3030, -9.9945
1495049566.9626750946,1495049566.9649529457, -1.0320, -0.3301, -0.2605,-46.4478,  4.3030, -9.9945
1495049566.9650280476,1495049566.9675140381, -1.0320, -0.3301, -0.2605,-46.4478,  4.3030, -9.9945
1495049566.9675889015,1495049566.9698729515, -1.0320, -0.3301, -0.2605,-37.8265,  5.7526, -7.6752
1495049566.9699459076,1495049566.9722321033, -0.9695, -0.2554, -0.2505,-37.8265,  5.7526, -7.6752
1495049566.9723060131,1495049566.9745900631, -0.9968, -0.2554, -0.2505,-37.8265,  5.7526, -7.6752
1495049566.9746639729,1495049566.9770879745, -0.9968, -0.2554, -0.2505,-37.8265,  5.7526, -7.6752
1495049566.9771618843,1495049566.9795689583, -0.9968, -0.2554, -0.2505,-32.9132,  7.5989, -5.2948
1495049566.9796431065,1495049566.9820499420, -0.9968, -0.2554, -0.2505,-32.9132,  7.5989, -5.2948
1495049566.9821250439,1495049566.9845340252, -0.9968, -0.2554, -0.2505,-32.9132,  7.5989, -5.2948
1495049566.9846069813,1495049566.9870300293, -0.9968, -0.2554, -0.2505,-32.9132,  7.5989, -5.2948
1495049566.9871039391,1495049566.9893860817, -0.9968, -0.2554, -0.2505,-32.9132, 11.5051, -2.8076
1495049566.9894630909,1495049566.9917449951, -0.9968, -0.1929, -0.1912,-30.6854,  8.7280, -2.8076
1495049566.9918200970,1495049566.9941020012, -0.9878, -0.2122, -0.1912,-30.6854,  8.7280, -2.8076
1495049566.9941771030,1495049566.9964609146, -0.9878, -0.2122, -0.1912,-30.6854,  8.7280, -2.8076
1495049566.9965360165,1495049566.9988861084, -0.9878, -0.2122, -0.1912,-30.6854,  8.7280, -2.8076
1495049566.9989609718,1495049567.0012381077, -0.9878, -0.2122, -0.1912,-30.2887,  8.5144, -0.7477
1495049567.0013129711,1495049567.0035910606, -0.9878, -0.2122, -0.1912,-30.2887,  8.5144, -0.7477
1495049567.0036649704,1495049567.0059878826, -0.9878, -0.2122, -0.1912,-30.2887,  8.5144, -0.7477
1495049567.0060629845,1495049567.0084309578, -0.9878, -0.2122, -0.1912,-30.2887,  8.5144, -0.7477
1495049567.0085060596,1495049567.0107879639, -0.9878, -0.2122, -0.1912,-30.2887,  8.5907,  0.8392
1495049567.0108621120,1495049567.0149528980, -0.9895, -0.1943, -0.1340,-30.6396,  8.5907,  0.8392
1495049567.0150310993,1495049567.0173559189, -0.9895, -0.1943, -0.1340,-30.6396,  8.5907,  0.8392
1495049567.0174319744,1495049567.0197079182, -0.9895, -0.1943, -0.1340,-30.6396,  8.5907,  0.8392
1495049567.0197830200,1495049567.0220620632, -0.9895, -0.1943, -0.1340,-31.7078,  8.4686,  2.3651
1495049567.0221359730,1495049567.0244159698, -0.9895, -0.1943, -0.1340,-31.7078,  8.4686,  2.3651
1495049567.0244910717,1495049567.0267720222, -0.9895, -0.1943, -0.1340,-31.7078,  8.4686,  2.3651
1495049567.0268468857,1495049567.0291309357, -0.9895, -0.1943, -0.1340,-31.7078,  8.4686,  2.3651
1495049567.0292060375,1495049567.0314879417, -0.9895, -0.1943, -0.0715,-31.7078,  8.4686,  4.3640
1495049567.0315630436,1495049567.0338449478, -0.9758, -0.1685, -0.1208,-34.0881,  8.4534,  4.3640
1495049567.0339210033,1495049567.0361990929, -0.9758, -0.1685, -0.1208,-34.0881,  8.4534,  4.3640
1495049567.0362749100,1495049567.0386700630, -0.9758, -0.1685, -0.1208,-34.0881,  8.4534,  4.3640
1495049567.0387449265,1495049567.0410249233, -0.9758, -0.1685, -0.1208,-34.0881,  8.4534,  4.3640
1495049567.0411009789,1495049567.0433809757, -0.9758, -0.1685, -0.1208,-38.6810,  7.5378,  6.2256
1495049567.0434570312,1495049567.0457360744, -0.9758, -0.1685, -0.1208,-38.6810,  7.5378,  6.2256
1495049567.0458109379,1495049567.0481688976, -0.9758, -0.1685, -0.1208,-38.6810,  7.5378,  6.2256
1495049567.0482439995,1495049567.0505270958, -0.9758, -0.1685, -0.1208,-38.6810,  7.5378,  6.2256
1495049567.0506029129,1495049567.0528810024, -1.0996, -0.0542, -0.1382,-38.6810,  6.3324,  8.0414
1495049567.0529570580,1495049567.0552299023, -1.0996, -0.0542, -0.1382,-50.4150,  6.3324,  8.0414
1495049567.0553040504,1495049567.0577630997, -1.0996, -0.0542, -0.1382,-50.4150,  6.3324,  8.0414
1495049567.0578370094,1495049567.0601139069, -1.0996, -0.0542, -0.1382,-50.4150,  6.3324,  8.0414
1495049567.0603001118,1495049567.0625779629, -1.0996, -0.0542, -0.1382,-50.4150,  6.3324,  8.0414
1495049567.0626521111,1495049567.0649340153, -1.0996, -0.0542, -0.1382,-63.3087, -1.0376,  6.7596
1495049567.0650079250,1495049567.0673410892, -1.0996, -0.0542, -0.1382,-63.3087, -1.0376,  6.7596
1495049567.0674149990,1495049567.0696880817, -1.0996, -0.0542, -0.1382,-63.3087, -1.0376,  6.7596
1495049567.0697610378,1495049567.0720419884, -1.0996, -0.4832,  0.0791,-63.3087, -1.0376,  6.7596
1495049567.0721149445,1495049567.0743920803, -1.2725, -0.4832,  0.0791,-66.9098, -9.4299,  0.1678
1495049567.0744678974,1495049567.0767450333, -1.2725, -0.4832,  0.0791,-66.9098, -9.4299,  0.1678
1495049567.0768210888,1495049567.0791289806, -1.2725, -0.4832,  0.0791,-66.9098, -9.4299,  0.1678
1495049567.0792040825,1495049567.0814819336, -1.2725, -0.4832,  0.0791,-66.9098, -9.4299,  0.1678
1495049567.0815570354,1495049567.0838289261, -1.2725, -0.4832,  0.0791,-66.9098, -9.4299,  0.1678
1495049567.0839040279,1495049567.0861821175, -1.2725, -0.4832,  0.0791,-58.6700,-15.7318, -3.6926
1495049567.0862588882,1495049567.0885479450, -1.2725, -0.4832,  0.0791,-58.6700,-15.7318, -3.6926
1495049567.0886240005,1495049567.0909059048, -1.2725, -0.4832,  0.0791,-58.6700,-15.7318, -3.6926
1495049567.0909810066,1495049567.0932600498, -1.2314, -0.3914,  0.1243,-58.6700,-15.7318, -3.6926
