timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495049607.6165049076,1495049607.6189470291, -1.1177, -0.1877, -0.0806, -3.5858,  0.7019, -4.4403
1495049607.6190800667,1495049607.6213591099, -1.1177, -0.1877, -0.0876, -3.5858,  0.7019, -4.4403
1495049607.6214320660,1495049607.6237099171, -1.1196, -0.1843, -0.0876, -3.5858,  0.7019, -4.4403
1495049607.6237800121,1495049607.6260619164, -1.1196, -0.1843, -0.0876, -3.5858,  0.7019, -4.4403
1495049607.6261329651,1495049607.6285269260, -1.1196, -0.1843, -0.0876, -4.1351,  0.3510, -4.4708
1495049607.6285979748,1495049607.6308829784, -1.1196, -0.1843, -0.0876, -4.1351,  0.3510, -4.4708
1495049607.6309540272,1495049607.6332359314, -1.1196, -0.1843, -0.0876, -4.1351,  0.3510, -4.4708
1495049607.6333060265,1495049607.6355900764, -1.1196, -0.1843, -0.0876, -4.1351,  0.3510, -4.4708
1495049607.6356599331,1495049607.6381130219, -1.1196, -0.1843, -0.0876, -4.1351,  0.3510, -4.2877
1495049607.6381850243,1495049607.6404640675, -1.1196, -0.1843, -0.0876, -3.6621,  0.5798, -4.2877
1495049607.6405351162,1495049607.6428151131, -1.1230, -0.1833, -0.0916, -3.6621,  0.5798, -4.2877
1495049607.6428859234,1495049607.6452560425, -1.1230, -0.1833, -0.0916, -3.6621,  0.5798, -4.2877
1495049607.6453280449,1495049607.6477479935, -1.1230, -0.1833, -0.0916, -3.6621,  0.5798, -4.2877
1495049607.6478190422,1495049607.6501100063, -1.1230, -0.1833, -0.0916, -3.2349,  0.5188, -4.6692
1495049607.6501810551,1495049607.6524600983, -1.1230, -0.1833, -0.0916, -3.2349,  0.5188, -4.6692
1495049607.6525321007,1495049607.6552529335, -1.1230, -0.1833, -0.0916, -3.2349,  0.5188, -4.6692
1495049607.6553270817,1495049607.6576189995, -1.1230, -0.1833, -0.0916, -3.2349,  0.5188, -4.6692
