timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1494552176.0262620449,1494552176.0285670757, -1.1086, -0.0210, -0.2708, -5.4932, -1.0834, -4.6234
1494552176.0286509991,1494552176.0309329033, -1.1086, -0.0210, -0.2708, -5.4932, -1.0834, -4.6234
1494552176.0310039520,1494552176.0332930088, -1.1086, -0.0210, -0.2708, -5.4932, -1.0834, -4.6234
1494552176.0333609581,1494552176.0356431007, -1.1086, -0.0210, -0.2708, -5.4932, -1.0834, -4.6234
1494552176.0357120037,1494552176.0379970074, -1.1086, -0.0210, -0.2708, -6.0272, -1.6479, -5.1880
1494552176.0380659103,1494552176.0403909683, -1.1086, -0.0210, -0.2708, -6.0272, -1.6479, -5.1880
1494552176.0404610634,1494552176.0427401066, -1.1086, -0.0210, -0.2708, -6.0272, -1.6479, -5.1880
1494552176.0428099632,1494552176.0450930595, -1.1086, -0.0210, -0.2708, -6.0272, -1.6479, -5.1880
1494552176.0451610088,1494552176.0474369526, -1.1086, -0.0139, -0.2947, -6.0272, -1.6479, -5.1880
1494552176.0475049019,1494552176.0505349636, -1.1228, -0.0139, -0.2947, -5.9052, -1.7548, -4.5166
1494552176.0506100655,1494552176.0529079437, -1.1228, -0.0139, -0.2947, -5.9052, -1.7548, -4.5166
1494552176.0529780388,1494552176.0552599430, -1.1228, -0.0139, -0.2947, -5.9052, -1.7548, -4.5166
1494552176.0553290844,1494552176.0576190948, -1.1228, -0.0139, -0.2947, -5.9052, -1.7548, -4.5166
1494552176.0576879978,1494552176.0601890087, -1.1228, -0.0139, -0.2947, -5.9357, -1.7395, -4.6844
1494552176.0602591038,1494552176.0625429153, -1.1228, -0.0139, -0.2947, -5.9357, -1.7395, -4.6844
1494552176.0626111031,1494552176.0649020672, -1.1228, -0.0139, -0.2947, -5.9357, -1.7395, -4.6844
1494552176.0649719238,1494552176.0672550201, -1.1228, -0.0220, -0.2791, -5.9357, -1.7395, -4.6844
1494552176.0673239231,1494552176.0698831081, -1.1157, -0.0220, -0.2791, -6.4392, -1.7548, -4.5471
1494552176.0699529648,1494552176.0723280907, -1.1157, -0.0220, -0.2791, -6.4392, -1.7548, -4.5471
1494552176.0723969936,1494552176.0748879910, -1.1157, -0.0220, -0.2791, -6.4392, -1.7548, -4.5471
1494552176.0749580860,1494552176.0773379803, -1.1157, -0.0220, -0.2791, -6.4392, -1.7548, -4.5471
1494552176.0774068832,1494552176.0803899765, -1.1157, -0.0220, -0.2791, -6.0425, -1.6327, -4.8065
1494552176.0804619789,1494552176.0828690529, -1.1157, -0.0220, -0.2791, -6.0425, -1.6327, -4.8065
1494552176.0829389095,1494552176.0853550434, -1.1157, -0.0220, -0.2791, -6.0425, -1.6327, -4.8065
1494552176.0854239464,1494552176.0878310204, -1.1260, -0.0164, -0.2759, -6.0425, -1.6327, -4.8065
1494552176.0879011154,1494552176.0903260708, -1.1260, -0.0164, -0.2759, -6.0425, -1.6327, -4.8370
1494552176.0903949738,1494552176.0928061008, -1.1260, -0.0164, -0.2759, -6.2256, -1.3123, -4.8370
1494552176.0928759575,1494552176.0952820778, -1.1260, -0.0164, -0.2759, -6.2256, -1.3123, -4.8370
1494552176.0953519344,1494552176.0977621078, -1.1260, -0.0164, -0.2759, -6.2256, -1.3123, -4.8370
1494552176.0978310108,1494552176.1002941132, -1.1260, -0.0164, -0.2759, -6.2256, -1.3123, -4.8370
1494552176.1003639698,1494552176.1027679443, -1.1260, -0.0164, -0.2759, -5.9204, -1.5564, -5.0354
1494552176.1028380394,1494552176.1052429676, -1.1260, -0.0164, -0.2759, -5.9204, -1.5564, -5.0354
1494552176.1053121090,1494552176.1077189445, -1.0635, -0.0239, -0.2747, -5.9204, -1.5564, -5.0354
1494552176.1077890396,1494552176.1101069450, -1.1218, -0.0239, -0.2747, -5.9204, -1.5564, -5.0354
1494552176.1101760864,1494552176.1124560833, -1.1218, -0.0239, -0.2747, -6.0425, -1.5106, -5.0354
1494552176.1125259399,1494552176.1148068905, -1.1218, -0.0239, -0.2747, -6.0425, -1.5106, -5.0354
1494552176.1148769855,1494552176.1171660423, -1.1218, -0.0239, -0.2747, -6.0425, -1.5106, -5.0354
1494552176.1172349453,1494552176.1195249557, -1.1218, -0.0239, -0.2747, -6.0425, -1.5106, -5.0354
1494552176.1195940971,1494552176.1218800545, -1.1218, -0.0239, -0.2747, -6.0425, -1.5106, -4.8523
1494552176.1219480038,1494552176.1242361069, -1.1218, -0.0239, -0.2747, -5.5389, -1.5106, -4.8523
1494552176.1243040562,1494552176.1265890598, -1.1218, -0.0239, -0.2747, -5.5389, -1.5106, -4.8523
1494552176.1266570091,1494552176.1290690899, -1.1208, -0.0222, -0.2881, -5.5389, -1.5106, -4.8523
1494552176.1292819977,1494552176.1315770149, -1.1208, -0.0222, -0.2881, -5.5389, -1.5106, -4.8523
1494552176.1316471100,1494552176.1339399815, -1.1208, -0.0222, -0.2881, -5.7373, -1.7395, -4.9286
1494552176.1340100765,1494552176.1363000870, -1.1208, -0.0222, -0.2881, -5.7373, -1.7395, -4.9286
1494552176.1363689899,1494552176.1388440132, -1.1208, -0.0222, -0.2881, -5.7373, -1.7395, -4.9286
1494552176.1389129162,1494552176.1413159370, -1.1208, -0.0222, -0.2881, -5.7373, -1.7395, -4.9286
1494552176.1413838863,1494552176.1437931061, -1.1208, -0.0222, -0.2881, -5.7373, -2.1667, -5.0507
1494552176.1438620090,1494552176.1462669373, -1.1208, -0.0222, -0.2881, -5.7373, -2.1667, -5.0507
1494552176.1463360786,1494552176.1487588882, -1.1216, -0.0181, -0.2756, -5.7373, -2.1667, -5.0507
1494552176.1488289833,1494552176.1512339115, -1.1216, -0.0181, -0.2756, -5.7373, -2.1667, -5.0507
1494552176.1513030529,1494552176.1537089348, -1.1216, -0.0181, -0.2756, -5.7373, -2.1667, -4.8065
1494552176.1537780762,1494552176.1561899185, -1.1216, -0.0181, -0.2756, -5.8746, -1.9684, -4.8065
1494552176.1562581062,1494552176.1588420868, -1.1216, -0.0181, -0.2756, -5.8746, -1.9684, -4.8065
1494552176.1589119434,1494552176.1611979008, -1.1216, -0.0181, -0.2756, -5.8746, -1.9684, -4.8065
1494552176.1612670422,1494552176.1635460854, -1.1216, -0.0181, -0.2756, -5.8746, -1.9684, -4.8065
1494552176.1636149883,1494552176.1660580635, -1.1216, -0.0181, -0.2756, -5.9357, -1.8463, -5.0812
1494552176.1661291122,1494552176.1686570644, -1.1221, -0.0188, -0.3037, -5.9357, -1.8463, -5.0812
1494552176.1687269211,1494552176.1711349487, -1.1221, -0.0188, -0.3037, -5.9357, -1.8463, -5.0812
1494552176.1712040901,1494552176.1736199856, -1.1221, -0.0188, -0.3037, -5.9357, -1.8463, -5.0812
1494552176.1736888885,1494552176.1760931015, -1.1221, -0.0188, -0.3037, -5.7526, -1.7853, -4.9438
1494552176.1761620045,1494552176.1785778999, -1.1221, -0.0188, -0.3037, -5.7526, -1.7853, -4.9438
1494552176.1786470413,1494552176.1810600758, -1.1221, -0.0188, -0.3037, -5.7526, -1.7853, -4.9438
1494552176.1811299324,1494552176.1835370064, -1.1221, -0.0188, -0.3037, -5.7526, -1.7853, -4.9438
1494552176.1836071014,1494552176.1860189438, -1.1221, -0.0188, -0.3037, -5.2795, -1.5106, -5.3101
1494552176.1860890388,1494552176.1885180473, -1.1123, -0.0203, -0.2820, -5.2795, -1.5106, -5.3101
