timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1496545377.0264151096,1496545377.0286939144, -0.9124, -0.5334,  0.4194,-14.3433,-33.3099,-38.7726
1496545377.0287868977,1496545377.0312778950, -0.9124, -0.5334,  0.4194,-14.3433,-33.3099,-38.7726
1496545377.0313589573,1496545377.0336449146, -0.9124, -0.5334,  0.4194,-25.3296,-34.8358,-42.5110
1496545377.0337231159,1496545377.0360729694, -0.9124, -0.5334,  0.4194,-25.3296,-34.8358,-42.5110
1496545377.0361509323,1496545377.0384318829, -0.9124, -0.5334,  0.4194,-25.3296,-34.8358,-42.5110
1496545377.0385100842,1496545377.0410299301, -0.9124, -0.5334,  0.4194,-25.3296,-34.8358,-42.5110
1496545377.0411100388,1496545377.0435209274, -0.9124, -0.5334,  0.4194,-30.7465,-34.1797,-44.6777
1496545377.0436000824,1496545377.0458838940, -0.9124, -0.5334,  0.4194,-30.7465,-34.1797,-44.6777
1496545377.0459620953,1496545377.0482420921, -0.7793, -0.7429,  0.1423,-30.7465,-34.1797,-44.6777
1496545377.0483200550,1496545377.0506041050, -0.7793, -0.7429,  0.1423,-30.7465,-34.1797,-44.6777
1496545377.0512020588,1496545377.0535690784, -0.7793, -0.7429,  0.1423,-30.7465,-34.1797,-44.0979
1496545377.0536479950,1496545377.0559248924, -0.7793, -0.7429,  0.1423,-30.3650,-31.8604,-44.0979
1496545377.0560030937,1496545377.0588719845, -0.7793, -0.7429,  0.1423,-30.3650,-31.8604,-44.0979
1496545377.0589520931,1496545377.0612978935, -0.7793, -0.7429,  0.1423,-30.3650,-31.8604,-44.0979
1496545377.0613760948,1496545377.0637509823, -0.7793, -0.7429,  0.1423,-30.3650,-31.8604,-45.1965
1496545377.0638289452,1496545377.0661048889, -0.7793, -0.7429,  0.1423,-29.0222,-30.8380,-45.1965
1496545377.0661830902,1496545377.0690569878, -0.6113, -0.8108,  0.0730,-29.0222,-30.8380,-45.1965
1496545377.0691390038,1496545377.0716030598, -0.6113, -0.8108,  0.0730,-29.0222,-30.8380,-45.1965
1496545377.0716829300,1496545377.0741229057, -0.6113, -0.8108,  0.0730,-29.0222,-30.8380,-45.1965
1496545377.0742011070,1496545377.0766139030, -0.6113, -0.8108,  0.0730,-28.6102,-27.6184,-45.2728
1496545377.0766921043,1496545377.0795540810, -0.6113, -0.8108,  0.0730,-28.6102,-27.6184,-45.2728
1496545377.0796339512,1496545377.0820379257, -0.6113, -0.8108,  0.0730,-28.6102,-27.6184,-45.2728
1496545377.0821180344,1496545377.0844039917, -0.6113, -0.8108,  0.0730,-28.6102,-27.6184,-45.2728
1496545377.0844829082,1496545377.0867629051, -0.6113, -0.8108,  0.1089,-27.5421,-24.1699,-46.1426
1496545377.0868420601,1496545377.0897130966, -0.5996, -0.7969,  0.1089,-27.5421,-24.1699,-46.1426
1496545377.0897939205,1496545377.0920829773, -0.5996, -0.7969,  0.1089,-27.5421,-24.1699,-46.1426
1496545377.0921618938,1496545377.0944550037, -0.5996, -0.7969,  0.1089,-27.5421,-24.1699,-46.1426
1496545377.0945339203,1496545377.0968160629, -0.5996, -0.7969,  0.1089,-26.6266,-21.5149,-47.3938
1496545377.0968940258,1496545377.0997750759, -0.5996, -0.7969,  0.1089,-26.6266,-21.5149,-47.3938
1496545377.0998549461,1496545377.1022279263, -0.5996, -0.7969,  0.1089,-26.6266,-21.5149,-47.3938
1496545377.1023080349,1496545377.1047179699, -0.5996, -0.7969,  0.1089,-26.6266,-21.5149,-47.3938
1496545377.1047968864,1496545377.1072049141, -0.5996, -0.7661,  0.1411,-26.9012,-17.3035,-49.5605
1496545377.1072831154,1496545377.1096839905, -0.5981, -0.7661,  0.1411,-26.9012,-17.3035,-49.5605
1496545377.1097629070,1496545377.1121819019, -0.5981, -0.7661,  0.1411,-26.9012,-17.3035,-49.5605
1496545377.1122601032,1496545377.1146709919, -0.5981, -0.7661,  0.1411,-26.9012,-17.3035,-49.5605
1496545377.1147489548,1496545377.1171538830, -0.5981, -0.7661,  0.1411,-26.9012,-15.7166,-53.8025
1496545377.1172308922,1496545377.1202180386, -0.5981, -0.7661,  0.1411,-32.5623,-15.7166,-53.8025
1496545377.1202979088,1496545377.1227219105, -0.5981, -0.7661,  0.1411,-32.5623,-15.7166,-53.8025
1496545377.1228001118,1496545377.1252028942, -0.5981, -0.7661,  0.1411,-32.5623,-15.7166,-53.8025
1496545377.1252810955,1496545377.1276888847, -0.5193, -0.9138,  0.2095,-32.5623,-12.8021,-51.2085
1496545377.1277680397,1496545377.1301720142, -0.5193, -0.9138,  0.2095,-33.1573,-12.8021,-51.2085
1496545377.1302490234,1496545377.1326038837, -0.5193, -0.9138,  0.2095,-33.1573,-12.8021,-51.2085
1496545377.1328248978,1496545377.1351130009, -0.5193, -0.9138,  0.2095,-33.1573,-12.8021,-51.2085
1496545377.1351909637,1496545377.1376399994, -0.5193, -0.9138,  0.2095,-33.1573,-12.8021,-47.3022
1496545377.1377270222,1496545377.1400220394, -0.5193, -0.9138,  0.2095,-27.1454, -7.4310,-48.1873
1496545377.1401000023,1496545377.1425240040, -0.5193, -0.9138,  0.2095,-27.1454, -7.4310,-48.1873
1496545377.1426010132,1496545377.1450068951, -0.5193, -0.9138,  0.2095,-27.1454, -7.4310,-48.1873
1496545377.1450839043,1496545377.1474919319, -0.5193, -1.0159,  0.1775,-27.1454, -7.4310,-48.1873
1496545377.1475689411,1496545377.1499760151, -0.6733, -1.0159,  0.1775,  1.2360,-20.4163,-43.5944
1496545377.1500520706,1496545377.1525039673, -0.6733, -1.0159,  0.1775,  1.2360,-20.4163,-43.5944
1496545377.1525800228,1496545377.1549890041, -0.6733, -1.0159,  0.1775,  1.2360,-20.4163,-43.5944
1496545377.1550650597,1496545377.1574690342, -0.6733, -1.0159,  0.1775,  1.2360,-20.4163,-43.5944
1496545377.1575450897,1496545377.1599519253, -0.6733, -1.0159,  0.1775, 13.0157,-30.7159,-34.3781
1496545377.1600310802,1496545377.1624820232, -0.6733, -1.0159,  0.1775, 13.0157,-30.7159,-34.3781
1496545377.1625599861,1496545377.1649649143, -0.6733, -1.0159,  0.1775, 13.0157,-30.7159,-34.3781
1496545377.1650440693,1496545377.1674470901, -0.6733, -0.7627,  0.1667, 13.0157,-30.7159,-34.3781
1496545377.1675260067,1496545377.1705069542, -0.4260, -0.7627,  0.1667, 23.1934,-25.0397,-29.0833
1496545377.1705870628,1496545377.1728940010, -0.4260, -0.7627,  0.1667, 23.1934,-25.0397,-29.0833
1496545377.1729719639,1496545377.1752529144, -0.4260, -0.7627,  0.1667, 23.1934,-25.0397,-29.0833
1496545377.1753311157,1496545377.1776158810, -0.4260, -0.7627,  0.1667, 23.1934,-25.0397,-29.0833
1496545377.1776940823,1496545377.1799750328, -0.4260, -0.7627,  0.1667, 23.1934,-25.0397,-25.1770
1496545377.1800539494,1496545377.1823430061, -0.4260, -0.7627,  0.1667, 25.5280,-21.1182,-25.1770
1496545377.1824209690,1496545377.1847081184, -0.4260, -0.7627,  0.1667, 25.5280,-21.1182,-25.1770
1496545377.1847860813,1496545377.1870720387, -0.4260, -0.9502,  0.1182, 25.5280,-21.1182,-25.1770
1496545377.1871509552,1496545377.1894350052, -0.4597, -0.9451,  0.1182, 25.5280,-21.1182,-25.1770
1496545377.1895139217,1496545377.1921529770, -0.4597, -0.9451,  0.1182, 16.8304,-18.6310,-21.4844
1496545377.1922340393,1496545377.1946399212, -0.4597, -0.9451,  0.1182, 16.8304,-18.6310,-21.4844
1496545377.1947200298,1496545377.1971240044, -0.4597, -0.9451,  0.1182, 16.8304,-18.6310,-21.4844
1496545377.1972029209,1496545377.1996068954, -0.4597, -0.9451,  0.1182, 16.8304,-18.6310,-21.4844
1496545377.1996860504,1496545377.2020339966, -0.4597, -0.9451,  0.1182, 12.4664,-17.0288,-20.7367
1496545377.2021129131,1496545377.2043960094, -0.4597, -0.9451,  0.1182, 12.4664,-17.0288,-20.7367
1496545377.2044739723,1496545377.2067549229, -0.4597, -0.9451,  0.0557, 12.4664,-17.0288,-20.7367
1496545377.2068340778,1496545377.2091128826, -0.5496, -1.0564,  0.0615, 12.4664,-17.0288,-20.7367
1496545377.2091910839,1496545377.2115640640, -0.5496, -1.0564,  0.0615, 12.4664,-17.0288,-12.9242
