adfas,adf,sdf,awe,rtea,teaf,erte,ert
1496203940.8984069824,1496203940.9024178982, -1.0879, -0.0520, -0.3677, -4.8828, -0.5646, -9.3079
1496203940.9025750160,1496203940.9054539204, -1.0879, -0.0520, -0.3677, -5.2185, -0.5646, -9.3079
1496203940.9055469036,1496203940.9078390598, -1.0879, -0.0520, -0.3677, -5.2185, -0.5646, -9.3079
1496203940.9079101086,1496203940.9102931023, -1.0879, -0.0520, -0.3677, -5.2185, -0.5646, -9.3079
1496203940.9103639126,1496203940.9126520157, -1.0879, -0.0520, -0.3677, -5.2185, -0.5951, -9.3384
1496203940.9127230644,1496203940.9150059223, -1.0879, -0.0120, -0.3965, -5.0049, -0.5951, -9.3384
1496203940.9150769711,1496203940.9173679352, -1.0720, -0.0120, -0.3965, -5.0049, -0.5951, -9.3384
1496203940.9174389839,1496203940.9198389053, -1.0720, -0.0120, -0.3965, -5.0049, -0.5951, -9.3384
1496203940.9199099541,1496203940.9223198891, -1.0720, -0.0120, -0.3965, -5.0049, -0.5951, -9.3384
1496203940.9223909378,1496203940.9248330593, -1.0720, -0.0120, -0.3965, -4.8370, -0.6409, -8.8196
1496203940.9249889851,1496203940.9275360107, -1.0720, -0.0120, -0.3965, -4.8370, -0.6409, -8.8196
1496203940.9276080132,1496203940.9303679466, -1.0720, -0.0120, -0.3965, -4.8370, -0.6409, -8.8196
1496203940.9304409027,1496203940.9328510761, -1.0720, -0.0120, -0.3965, -4.8370, -0.6409, -8.8196
1496203940.9329209328,1496203940.9353380203, -1.0891, -0.0583, -0.3750, -5.6763, -0.9460, -9.3994
1496203940.9354090691,1496203940.9378130436, -1.0891, -0.0583, -0.3750, -5.6763, -0.9460, -9.3994
1496203940.9378840923,1496203940.9402160645, -1.0891, -0.0583, -0.3750, -5.6763, -0.9460, -9.3994
1496203940.9402880669,1496203940.9425749779, -1.0891, -0.0583, -0.3750, -5.6763, -0.9460, -9.3994
1496203940.9426460266,1496203940.9449310303, -1.0891, -0.0583, -0.3750, -4.9438, -1.1749, -9.2468
1496203940.9450008869,1496203940.9472780228, -1.0891, -0.0583, -0.3750, -4.9438, -1.1749, -9.2468
1496203940.9473469257,1496203940.9496910572, -1.0891, -0.0583, -0.3750, -4.9438, -1.1749, -9.2468
1496203940.9497599602,1496203940.9521660805, -1.0891, -0.0583, -0.3750, -4.9438, -1.1749, -9.2468
1496203940.9522359371,1496203940.9546430111, -1.0891, -0.0583, -0.3665, -4.9438, -1.1749, -8.3466
1496203940.9547140598,1496203940.9571158886, -1.0774, -0.0554, -0.3665, -4.6997, -0.8850, -8.3466
1496203940.9571878910,1496203940.9595689774, -1.0774, -0.0554, -0.3665, -4.6997, -0.8850, -8.3466
1496203940.9596409798,1496203940.9619250298, -1.0774, -0.0554, -0.3665, -4.6997, -0.8850, -8.3466
1496203940.9619960785,1496203940.9642789364, -1.0774, -0.0554, -0.3665, -4.6997, -0.8850, -8.3466
1496203940.9643490314,1496203940.9666309357, -1.0774, -0.0554, -0.3665, -5.2032, -0.2899, -7.9803
1496203940.9667010307,1496203940.9690160751, -1.0774, -0.0554, -0.3665, -5.2032, -0.2899, -7.9803
1496203940.9690868855,1496203940.9713659286, -1.0774, -0.0554, -0.3665, -5.2032, -0.2899, -7.9803
1496203940.9714360237,1496203940.9737219810, -1.0774, -0.0554, -0.3665, -5.2032, -0.2899, -7.9803
1496203940.9737920761,1496203940.9760739803, -1.0798, -0.0444, -0.3850, -5.2032, -0.2441, -8.2550
1496203940.9761440754,1496203940.9784300327, -1.0798, -0.0444, -0.3850, -5.2490, -0.2441, -8.2550
1496203940.9784998894,1496203940.9809000492, -1.0798, -0.0444, -0.3850, -5.2490, -0.2441, -8.2550
1496203940.9809710979,1496203940.9832549095, -1.0798, -0.0444, -0.3850, -5.2490, -0.2441, -8.2550
1496203940.9833240509,1496203940.9856100082, -1.0798, -0.0444, -0.3850, -5.2490, -0.2441, -8.2550
1496203940.9856801033,1496203940.9879651070, -1.0798, -0.0444, -0.3850, -5.5084, -0.7477, -8.4534
1496203940.9880359173,1496203940.9904420376, -1.0798, -0.0444, -0.3850, -5.5084, -0.7477, -8.4534
1496203940.9905140400,1496203940.9928009510, -1.0798, -0.0444, -0.3850, -5.5084, -0.7477, -8.4534
1496203940.9928719997,1496203940.9951519966, -1.0798, -0.0537, -0.3606, -5.5084, -0.7477, -8.4534
1496203940.9952230453,1496203940.9976210594, -1.0840, -0.0537, -0.3606, -5.8136, -0.7935, -8.3466
1496203940.9976921082,1496203941.0000629425, -1.0840, -0.0537, -0.3606, -5.8136, -0.7935, -8.3466
1496203941.0001339912,1496203941.0025389194, -1.0840, -0.0537, -0.3606, -5.8136, -0.7935, -8.3466
1496203941.0027849674,1496203941.0051920414, -1.0840, -0.0537, -0.3606, -5.8136, -0.7935, -8.3466
1496203941.0052630901,1496203941.0076720715, -1.0840, -0.0537, -0.3606, -5.8136, -1.2360, -7.7972
1496203941.0077419281,1496203941.0101969242, -1.0840, -0.0537, -0.3606, -5.3101, -1.2360, -7.7972
1496203941.0102670193,1496203941.0126810074, -1.0840, -0.0537, -0.3606, -5.3101, -1.2360, -7.7972
1496203941.0127499104,1496203941.0151610374, -1.0840, -0.0549, -0.3586, -5.3101, -1.2360, -7.7972
1496203941.0152299404,1496203941.0176339149, -1.0798, -0.0549, -0.3586, -5.3101, -1.2360, -7.3090
1496203941.0177040100,1496203941.0200459957, -1.0798, -0.0549, -0.3586, -3.6621, -1.3580, -7.3090
1496203941.0201148987,1496203941.0240321159, -1.0798, -0.0549, -0.3586, -3.6621, -1.3580, -7.3090
1496203941.0241129398,1496203941.0264070034, -1.0798, -0.0549, -0.3586, -3.6621, -1.3580, -7.3090
1496203941.0264780521,1496203941.0288760662, -1.0798, -0.0549, -0.3586, -3.6621, -1.2817, -7.2021
1496203941.0289449692,1496203941.0312290192, -1.0798, -0.0549, -0.3586, -3.8452, -1.2817, -7.2021
1496203941.0312979221,1496203941.0335879326, -1.0798, -0.0549, -0.3586, -3.8452, -1.2817, -7.2021
1496203941.0336570740,1496203941.0359339714, -1.0808, -0.0408, -0.3962, -3.8452, -1.2817, -7.2021
1496203941.0360031128,1496203941.0382869244, -1.0808, -0.0408, -0.3962, -3.8452, -1.2817, -7.2021
1496203941.0383560658,1496203941.0407080650, -1.0808, -0.0408, -0.3962, -3.4485, -1.2054, -7.3700
1496203941.0407779217,1496203941.0430560112, -1.0808, -0.0408, -0.3962, -3.4485, -1.2054, -7.3700
1496203941.0431261063,1496203941.0456581116, -1.0808, -0.0408, -0.3962, -3.4485, -1.2054, -7.3700
1496203941.0457270145,1496203941.0480079651, -1.0808, -0.0408, -0.3962, -3.4485, -1.2054, -7.3700
1496203941.0480771065,1496203941.0506498814, -1.0808, -0.0408, -0.3962, -3.1128, -1.1444, -7.5226
1496203941.0507209301,1496203941.0531349182, -1.0808, -0.0408, -0.3962, -3.1128, -1.1444, -7.5226
1496203941.0532050133,1496203941.0556199551, -1.0789, -0.0386, -0.3799, -3.1128, -1.1444, -7.5226
1496203941.0556890965,1496203941.0581049919, -1.0789, -0.0386, -0.3799, -3.1128, -1.1444, -7.5226
1496203941.0581738949,1496203941.0605990887, -1.0789, -0.0386, -0.3799, -3.1128, -1.7242, -8.2550
1496203941.0606698990,1496203941.0630760193, -1.0789, -0.0386, -0.3799, -3.8452, -1.7242, -8.2550
1496203941.0631470680,1496203941.0655629635, -1.0789, -0.0386, -0.3799, -3.8452, -1.7242, -8.2550
1496203941.0656321049,1496203941.0680439472, -1.0789, -0.0386, -0.3799, -3.8452, -1.7242, -8.2550
1496203941.0681149960,1496203941.0705790520, -1.0789, -0.0386, -0.3799, -3.8452, -1.7242, -8.7128
1496203941.0706501007,1496203941.0730590820, -1.0789, -0.0386, -0.3799, -4.9438, -2.0905, -8.7128
1496203941.0731298923,1496203941.0755400658, -1.0811, -0.0337, -0.3997, -4.9438, -2.0905, -8.7128
1496203941.0756111145,1496203941.0780251026, -1.0811, -0.0337, -0.3997, -4.9438, -2.0905, -8.7128
1496203941.0780949593,1496203941.0804419518, -1.0811, -0.0337, -0.3997, -4.9438, -2.0905, -8.7128
1496203941.0805130005,1496203941.0827989578, -1.0811, -0.0337, -0.3997, -5.5084, -2.0905, -9.0332
1496203941.0828690529,1496203941.0851600170, -1.0811, -0.0337, -0.3997, -5.5084, -2.0905, -9.0332
1496203941.0852289200,1496203941.0875110626, -1.0811, -0.0337, -0.3997, -5.5084, -2.0905, -9.0332
1496203941.0875809193,1496203941.0899031162, -1.0811, -0.0337, -0.3997, -5.5084, -2.0905, -9.0332
1496203941.0899739265,1496203941.0922629833, -1.0811, -0.0337, -0.3997, -5.5084, -1.9379, -9.4604
1496203941.0923330784,1496203941.0946159363, -1.0811, -0.0337, -0.4062, -6.6833, -1.9379, -9.4604
1496203941.0946869850,1496203941.0969719887, -1.0803, -0.0364, -0.4062, -6.6833, -1.9379, -9.4604
1496203941.0970430374,1496203941.0994820595, -1.0803, -0.0364, -0.4062, -6.6833, -1.9379, -9.4604
1496203941.0995531082,1496203941.1018359661, -1.0803, -0.0364, -0.4062, -6.6833, -1.9379, -9.4604
1496203941.1019060612,1496203941.1041998863, -1.0803, -0.0364, -0.4062, -8.6060, -2.1820, -9.6436
1496203941.1042709351,1496203941.1065518856, -1.0803, -0.0364, -0.4062, -8.6060, -2.1820, -9.6436
1496203941.1067581177,1496203941.1091570854, -1.0803, -0.0364, -0.4062, -8.6060, -2.1820, -9.6436
1496203941.1092300415,1496203941.1115229130, -1.0803, -0.0364, -0.4062, -8.6060, -2.1820, -9.6436
1496203941.1115961075,1496203941.1138830185, -1.0803, -0.0364, -0.4062, -9.9487, -2.4414,-10.1166
1496203941.1139578819,1496203941.1162459850, -1.0908, -0.0586, -0.3735, -9.9487, -2.4414,-10.1166
1496203941.1163198948,1496203941.1186010838, -1.0908, -0.0586, -0.3735, -9.9487, -2.4414,-10.1166
1496203941.1186740398,1496203941.1211900711, -1.0908, -0.0586, -0.3735, -9.9487, -2.4414,-10.1166
1496203941.1212649345,1496203941.1236779690, -1.0908, -0.0586, -0.3735, -9.9487, -2.4414,-10.3760
1496203941.1237521172,1496203941.1261620522, -1.0908, -0.0586, -0.3735,-10.4370, -2.4109,-10.3760
1496203941.1262390614,1496203941.1286520958, -1.0908, -0.0586, -0.3735,-10.4370, -2.4109,-10.3760
1496203941.1287269592,1496203941.1311960220, -1.0908, -0.0586, -0.3735,-10.4370, -2.4109,-10.3760
1496203941.1312720776,1496203941.1336779594, -1.0908, -0.0586, -0.3735,-10.4370, -2.4109,-10.3760
1496203941.1337540150,1496203941.1361680031, -1.0879, -0.0669, -0.3691,-10.2997, -2.4872, -9.5062
1496203941.1362419128,1496203941.1386530399, -1.0879, -0.0669, -0.3691,-10.2997, -2.4872, -9.5062
1496203941.1387269497,1496203941.1410570145, -1.0879, -0.0669, -0.3691,-10.2997, -2.4872, -9.5062
1496203941.1411299706,1496203941.1434209347, -1.0879, -0.0669, -0.3691,-10.2997, -2.4872, -9.5062
1496203941.1434950829,1496203941.1457738876, -1.0879, -0.0669, -0.3691, -9.6130, -2.3804, -9.2010
1496203941.1458439827,1496203941.1481289864, -1.0879, -0.0669, -0.3691, -9.6130, -2.3804, -9.2010
1496203941.1482009888,1496203941.1506340504, -1.0879, -0.0669, -0.3691, -9.6130, -2.3804, -9.2010
1496203941.1507050991,1496203941.1530969143, -1.0879, -0.0669, -0.3691, -9.6130, -2.3804, -9.2010
1496203941.1531679630,1496203941.1555631161, -1.0879, -0.0745, -0.3350, -9.6130, -2.9297, -9.3689
1496203941.1556339264,1496203941.1580240726, -1.0879, -0.0745, -0.3350, -9.4604, -2.9297, -9.3689
1496203941.1580948830,1496203941.1604900360, -1.0879, -0.0745, -0.3350, -9.4604, -2.9297, -9.3689
1496203941.1605620384,1496203941.1629579067, -1.0879, -0.0745, -0.3350, -9.4604, -2.9297, -9.3689
1496203941.1630289555,1496203941.1655130386, -1.0879, -0.0745, -0.3350, -9.4604, -2.9297, -9.3689
1496203941.1655850410,1496203941.1679859161, -1.0879, -0.0745, -0.3350, -8.6975, -3.2501, -9.3994
1496203941.1680579185,1496203941.1708719730, -1.0879, -0.0745, -0.3350, -8.6975, -3.2501, -9.3994
1496203941.1709439754,1496203941.1733379364, -1.0879, -0.0745, -0.3350, -8.6975, -3.2501, -9.3994
1496203941.1734080315,1496203941.1758079529, -1.0879, -0.0505, -0.3582, -8.6975, -3.2501, -9.3994
1496203941.1758790016,1496203941.1782720089, -1.0879, -0.0505, -0.3582, -7.6141, -2.5024, -8.0872
1496203941.1783421040,1496203941.1807820797, -1.0879, -0.0505, -0.3582, -7.6141, -2.5024, -8.0872
1496203941.1808519363,1496203941.1832489967, -1.0879, -0.0505, -0.3582, -7.6141, -2.5024, -8.0872
1496203941.1833190918,1496203941.1857120991, -1.0879, -0.0505, -0.3582, -7.6141, -2.5024, -8.0872
1496203941.1857829094,1496203941.1881790161, -1.0879, -0.0505, -0.3582, -7.7972, -2.4567, -7.9193
1496203941.1882479191,1496203941.1905710697, -1.0879, -0.0505, -0.3582, -7.7972, -2.4567, -7.9193
1496203941.1906399727,1496203941.1929259300, -1.0879, -0.0505, -0.3582, -7.7972, -2.4567, -7.9193
1496203941.1929941177,1496203941.1952869892, -1.0879, -0.0547, -0.3457, -7.7972, -2.4567, -7.9193
1496203941.1953558922,1496203941.1977369785, -1.0667, -0.0547, -0.3457, -7.7972, -2.4567, -8.2703
1496203941.1978080273,1496203941.2001450062, -1.0667, -0.0547, -0.3457, -8.1482, -2.3804, -8.2703
1496203941.2002160549,1496203941.2025039196, -1.0667, -0.0547, -0.3457, -8.1482, -2.3804, -8.2703
1496203941.2025749683,1496203941.2048609257, -1.0667, -0.0547, -0.3457, -8.1482, -2.3804, -8.2703
1496203941.2049310207,1496203941.2072210312, -1.0667, -0.0547, -0.3457, -8.1482, -2.3804, -8.2703
1496203941.2072920799,1496203941.2095880508, -1.0667, -0.0547, -0.3457, -8.5907, -2.4872, -8.6975
1496203941.2097699642,1496203941.2120599747, -1.0667, -0.0547, -0.3457, -8.5907, -2.4872, -8.6975
1496203941.2121319771,1496203941.2144179344, -1.0667, -0.0547, -0.3457, -8.5907, -2.4872, -8.6975
1496203941.2144880295,1496203941.2167730331, -1.0793, -0.0459, -0.3677, -8.5907, -2.4872, -8.6975
1496203941.2168428898,1496203941.2192900181, -1.0793, -0.0459, -0.3677, -8.5907, -2.4109, -8.8806
1496203941.2193610668,1496203941.2216570377, -1.0793, -0.0459, -0.3677, -8.9569, -2.4109, -8.8806
