timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495664235.8795518875,1495664235.8823399544, -1.1475,  0.0276, -0.0986, -5.3406, -2.5787, -5.5847
1495664235.8824710846,1495664235.8847649097, -1.4512,  0.0369, -0.1309, -5.5389, -2.6245, -5.7831
1495664235.8848359585,1495664235.8871150017, -1.4512,  0.0369, -0.1309, -5.5389, -2.6245, -5.7831
1495664235.8871850967,1495664235.8895049095, -1.4512,  0.0369, -0.1309, -5.5389, -2.6245, -5.7831
1495664235.8895759583,1495664235.8918659687, -1.4512,  0.0369, -0.1309, -5.5389, -2.6245, -5.7831
1495664235.8919360638,1495664235.8942170143, -1.4512,  0.0369, -0.1309, -5.9357, -2.9755, -5.6152
1495664235.8942871094,1495664235.8965671062, -1.1528,  0.0229, -0.0957, -5.9357, -2.9755, -5.6152
1495664235.8966369629,1495664235.8994269371, -1.1528,  0.0229, -0.0957, -5.9357, -2.9755, -5.6152
1495664235.8994979858,1495664235.9018709660, -1.1528,  0.0229, -0.0957, -5.9357, -2.9755, -5.6152
1495664235.9019420147,1495664235.9043099880, -1.1528,  0.0229, -0.0957, -5.9357, -2.9755, -6.0577
1495664235.9043800831,1495664235.9066629410, -1.1528,  0.0229, -0.0957, -5.7983, -2.6093, -6.0577
1495664235.9067320824,1495664235.9090180397, -1.1528,  0.0229, -0.0957, -5.7983, -2.6093, -6.0577
1495664235.9090869427,1495664235.9114310741, -1.1528,  0.0229, -0.0957, -5.7983, -2.6093, -6.0577
1495664235.9115009308,1495664235.9137840271, -1.1528,  0.0229, -0.0957, -5.7983, -2.6093, -6.0577
1495664235.9138538837,1495664235.9161350727, -1.1528,  0.0229, -0.0928, -6.1646, -2.2736, -6.3477
1495664235.9162039757,1495664235.9184820652, -1.1487,  0.0229, -0.0928, -6.1646, -2.2736, -6.3477
1495664235.9185519218,1495664235.9208290577, -1.1487,  0.0229, -0.0928, -6.1646, -2.2736, -6.3477
1495664235.9208989143,1495664235.9232110977, -1.1487,  0.0229, -0.0928, -6.1646, -2.2736, -6.3477
1495664235.9232809544,1495664235.9255681038, -1.1487,  0.0229, -0.0928, -6.1646, -2.2736, -5.8289
1495664235.9256379604,1495664235.9279210567, -1.1487,  0.0229, -0.0928, -5.9204, -2.4719, -5.8289
1495664235.9279899597,1495664235.9302680492, -1.1487,  0.0229, -0.0928, -5.9204, -2.4719, -5.8289
1495664235.9303369522,1495664235.9326241016, -1.1487,  0.0229, -0.0928, -5.9204, -2.4719, -5.8289
1495664235.9326939583,1495664235.9349780083, -1.1487,  0.0229, -0.0928, -5.9204, -2.4719, -5.8289
