P_i,P_t,P_v,T_i,T_t,T_v
396,1495664417.2988724709,22.827101,919,1495664418.5877974033,-130.996704
1035,1495664418.8740229607,179.336502,1274,1495664419.4639363289,-141.738907
1480,1495664419.9716587067,-7.782000,1656,1495664420.4054374695,-181.976303
1776,1495664420.7015504837,209.152206,1956,1495664421.1452195644,-108.749397
1973,1495664421.1867055893,69.717400,1986,1495664421.2188243866,-131.607101
2214,1495664421.7794275284,-28.121901,2394,1495664422.2228288651,-171.340897
2532,1495664422.5625169277,211.731003,2712,1495664423.0065073967,-92.224098
2725,1495664423.0380969048,47.866798,2742,1495664423.0802764893,-108.932503
2936,1495664423.5563769341,-28.015100,3138,1495664424.0516967773,-158.554092
3293,1495664424.4330794811,213.256805,3439,1495664424.7921419144,-101.120003
3452,1495664424.8239226341,34.576401,3857,1495664425.8192734718,-193.008408
3981,1495664426.1243155003,231.567398,4158,1495664426.5583338737,-90.118401
4171,1495664426.5895872116,51.040600,4184,1495664426.6219944954,-116.699203
4381,1495664427.1075644493,-19.287100,4601,1495664427.6476454735,-181.839005
4721,1495664427.9435095787,220.046997,4901,1495664428.3867073059,-125.000000
4914,1495664428.4191324711,116.409302,4927,1495664428.4506084919,-184.234604
5086,1495664428.8418939114,-35.873402,5317,1495664429.4115796089,-186.172501
5438,1495664429.7094631195,205.230698,5626,1495664430.1726861000,-98.953201
5640,1495664430.2065260410,79.162598,5652,1495664430.2364034653,-150.955200
5751,1495664430.4797964096,-28.747601,6082,1495664431.2951374054,-205.963104
6211,1495664431.6121244431,252.471893,6391,1495664432.0567164421,-96.603401
6412,1495664432.1079609394,147.277802,6425,1495664432.1400034428,-211.013794
6434,1495664432.1623430252,0.869800,6442,1495664432.1822471619,-132.797195
6700,1495664432.8177471161,-25.222799,6824,1495664433.1231083870,-191.925003
6970,1495664433.4835519791,252.349899,7085,1495664433.7670245171,-124.908401
7102,1495664433.8094038963,81.024200,7115,1495664433.8417410851,-204.421997
7351,1495664434.4233083725,-14.419600,7476,1495664434.7309188843,-182.952896
7569,1495664434.9619441032,187.942505,7750,1495664435.4078640938,-71.350098
7767,1495664435.4500913620,31.433100,7779,1495664435.4795730114,-132.629395
