timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495664097.6824200153,1495664097.6846959591, -1.1521, -0.0354, -0.1213, -6.4087, -1.6937, -5.8899
1495664097.6848258972,1495664097.6871099472, -1.1462, -0.0376, -0.1455, -6.4087, -1.6937, -5.8899
1495664097.6871800423,1495664097.6898159981, -1.1462, -0.0376, -0.1455, -6.4087, -1.6937, -5.8899
1495664097.6898870468,1495664097.6922199726, -1.1462, -0.0376, -0.1455, -6.4087, -1.6937, -5.8899
1495664097.6922900677,1495664097.6945719719, -1.1462, -0.0376, -0.1455, -6.9733, -1.4496, -6.2866
1495664097.6946420670,1495664097.6969239712, -1.1462, -0.0376, -0.1455, -6.9733, -1.4496, -6.2866
1495664097.6969940662,1495664097.6992740631, -1.1462, -0.0376, -0.1455, -6.9733, -1.4496, -6.2866
1495664097.6993439198,1495664097.7016930580, -1.1462, -0.0376, -0.1455, -6.9733, -1.4496, -6.2866
1495664097.7017629147,1495664097.7040369511, -1.1462, -0.0376, -0.1455, -6.6223, -1.3275, -5.9052
1495664097.7041070461,1495664097.7063848972, -1.1489, -0.0293, -0.1382, -6.6223, -1.3275, -5.9052
1495664097.7064549923,1495664097.7087359428, -1.1489, -0.0293, -0.1382, -6.6223, -1.3275, -5.9052
1495664097.7088050842,1495664097.7111039162, -1.1489, -0.0293, -0.1382, -6.6223, -1.3275, -5.9052
1495664097.7111740112,1495664097.7134590149, -1.1489, -0.0293, -0.1382, -6.6223, -1.3275, -5.9052
1495664097.7135291100,1495664097.7158129215, -1.1489, -0.0293, -0.1382, -7.3700, -1.4191, -5.8289
1495664097.7158830166,1495664097.7181639671, -1.1489, -0.0293, -0.1382, -7.3700, -1.4191, -5.8289
1495664097.7182331085,1495664097.7205090523, -1.1489, -0.0293, -0.1382, -7.3700, -1.4191, -5.8289
1495664097.7205779552,1495664097.7229559422, -1.1489, -0.0293, -0.1382, -7.3700, -1.4191, -5.8289
1495664097.7230260372,1495664097.7253088951, -1.1489, -0.0293, -0.1382, -7.5378, -1.4343, -6.0883
1495664097.7253780365,1495664097.7276620865, -1.1558, -0.0327, -0.1365, -7.5378, -1.4343, -6.0883
1495664097.7277319431,1495664097.7300190926, -1.1558, -0.0327, -0.1365, -7.5378, -1.4343, -6.0883
1495664097.7300889492,1495664097.7325179577, -1.1558, -0.0327, -0.1365, -7.5378, -1.4343, -6.0883
1495664097.7325880527,1495664097.7348749638, -1.1558, -0.0327, -0.1365, -7.5378, -1.4343, -6.0883
1495664097.7349450588,1495664097.7374870777, -1.1558, -0.0327, -0.1365, -7.9956, -1.6479, -6.0577
1495664097.7375600338,1495664097.7398440838, -1.1558, -0.0327, -0.1365, -7.9956, -1.6479, -6.0577
1495664097.7399139404,1495664097.7423100471, -1.1558, -0.0327, -0.1365, -7.9956, -1.6479, -6.0577
1495664097.7423799038,1495664097.7446649075, -1.1558, -0.0327, -0.1365, -7.9956, -1.6479, -6.0577
1495664097.7447340488,1495664097.7470149994, -1.1511, -0.0349, -0.1343, -7.7667, -1.5869, -5.6305
1495664097.7470850945,1495664097.7493679523, -1.1511, -0.0349, -0.1343, -7.7667, -1.5869, -5.6305
1495664097.7494370937,1495664097.7518448830, -1.1511, -0.0349, -0.1343, -7.7667, -1.5869, -5.6305
1495664097.7519149780,1495664097.7541980743, -1.1511, -0.0349, -0.1343, -7.7667, -1.5869, -5.6305
1495664097.7542669773,1495664097.7565500736, -1.1511, -0.0349, -0.1343, -7.7667, -1.5869, -5.6305
1495664097.7566199303,1495664097.7589011192, -1.1511, -0.0349, -0.1343, -7.1411, -1.3428, -5.6305
1495664097.7589709759,1495664097.7612550259, -1.1511, -0.0349, -0.1343, -7.1411, -1.3428, -5.6305
1495664097.7613239288,1495664097.7636060715, -1.1511, -0.0349, -0.1343, -7.1411, -1.3428, -5.6305
1495664097.7636749744,1495664097.7659571171, -1.1511, -0.0439, -0.1340, -7.1411, -1.3428, -5.6305
1495664097.7660260201,1495664097.7683050632, -1.1467, -0.0439, -0.1340, -7.4921, -1.2512, -5.4169
1495664097.7683739662,1495664097.7706539631, -1.1467, -0.0439, -0.1340, -7.4921, -1.2512, -5.4169
1495664097.7707231045,1495664097.7730140686, -1.1467, -0.0439, -0.1340, -7.4921, -1.2512, -5.4169
1495664097.7730839252,1495664097.7753679752, -1.1467, -0.0439, -0.1340, -7.4921, -1.2512, -5.4169
1495664097.7754371166,1495664097.7777199745, -1.1467, -0.0439, -0.1340, -7.4921, -1.1597, -5.2795
1495664097.7777891159,1495664097.7800750732, -1.1467, -0.0439, -0.1340, -7.8278, -1.1597, -5.2795
1495664097.7801439762,1495664097.7830960751, -1.1467, -0.0439, -0.1340, -7.8278, -1.1597, -5.2795
1495664097.7833299637,1495664097.7868509293, -1.1467, -0.0439, -0.1299, -7.8278, -1.1597, -5.2795
1495664097.7869420052,1495664097.7901101112, -1.1365, -0.0430, -0.1299, -7.7667, -1.5106, -4.7150
1495664097.7901880741,1495664097.7926449776, -1.1365, -0.0430, -0.1299, -7.7667, -1.5106, -4.7150
1495664097.7927169800,1495664097.7951250076, -1.1365, -0.0430, -0.1299, -7.7667, -1.5106, -4.7150
1495664097.7951960564,1495664097.7977640629, -1.1365, -0.0430, -0.1299, -7.7667, -1.5106, -4.7150
1495664097.7978351116,1495664097.8002328873, -1.1365, -0.0430, -0.1299, -7.3395, -1.2665, -4.7760
1495664097.8003039360,1495664097.8031299114, -1.1365, -0.0430, -0.1299, -7.3395, -1.2665, -4.7760
1495664097.8032019138,1495664097.8056070805, -1.1365, -0.0430, -0.1370, -7.3395, -1.2665, -4.7760
1495664097.8056769371,1495664097.8080809116, -1.1453, -0.0400, -0.1370, -7.3395, -1.2665, -4.7760
1495664097.8081519604,1495664097.8105590343, -1.1453, -0.0400, -0.1370, -7.6294, -1.0223, -5.0354
1495664097.8106300831,1495664097.8129470348, -1.1453, -0.0400, -0.1370, -7.6294, -1.0223, -5.0354
1495664097.8130180836,1495664097.8153030872, -1.1453, -0.0400, -0.1370, -7.6294, -1.0223, -5.0354
1495664097.8153729439,1495664097.8176529408, -1.1453, -0.0400, -0.1370, -7.6294, -1.0223, -5.0354
1495664097.8177239895,1495664097.8200039864, -1.1453, -0.0400, -0.1370, -7.6294, -0.6256, -5.1270
1495664097.8200750351,1495664097.8224959373, -1.1453, -0.0400, -0.1370, -7.7972, -0.6256, -5.1270
1495664097.8225679398,1495664097.8249759674, -1.1453, -0.0400, -0.1370, -7.7972, -0.6256, -5.1270
1495664097.8250470161,1495664097.8274500370, -1.1497, -0.0386, -0.1404, -7.7972, -0.6256, -5.1270
1495664097.8275220394,1495664097.8299279213, -1.1497, -0.0386, -0.1404, -7.7972, -0.6256, -5.1270
1495664097.8299989700,1495664097.8323481083, -1.1497, -0.0386, -0.1404, -7.9803, -0.7172, -5.1117
1495664097.8324189186,1495664097.8346989155, -1.1497, -0.0386, -0.1404, -7.9803, -0.7172, -5.1117
1495664097.8347699642,1495664097.8370559216, -1.1497, -0.0386, -0.1404, -7.9803, -0.7172, -5.1117
1495664097.8371269703,1495664097.8394060135, -1.1497, -0.0386, -0.1404, -7.9803, -0.7172, -5.1117
1495664097.8394761086,1495664097.8418149948, -1.1497, -0.0386, -0.1404, -8.0109, -1.0376, -4.5776
1495664097.8418860435,1495664097.8441638947, -1.1497, -0.0386, -0.1404, -8.0109, -1.0376, -4.5776
1495664097.8442339897,1495664097.8465149403, -1.1487, -0.0371, -0.1331, -8.0109, -1.0376, -4.5776
1495664097.8465850353,1495664097.8488669395, -1.1487, -0.0371, -0.1331, -8.0109, -1.0376, -4.5776
1495664097.8489379883,1495664097.8513710499, -1.1487, -0.0371, -0.1331, -8.0109, -1.0376, -4.5776
1495664097.8514420986,1495664097.8537220955, -1.1487, -0.0371, -0.1331, -7.4005, -1.5564, -4.3488
1495664097.8537900448,1495664097.8560769558, -1.1487, -0.0371, -0.1331, -7.4005, -1.5564, -4.3488
1495664097.8561480045,1495664097.8584280014, -1.1487, -0.0371, -0.1331, -7.4005, -1.5564, -4.3488
1495664097.8584980965,1495664097.8607809544, -1.1487, -0.0371, -0.1331, -7.4005, -1.5564, -4.3488
1495664097.8608500957,1495664097.8632829189, -1.1487, -0.0371, -0.1331, -7.4005, -1.4801, -4.6539
1495664097.8633539677,1495664097.8656380177, -1.1487, -0.0371, -0.1282, -7.4005, -1.4801, -4.6539
1495664097.8657069206,1495664097.8679890633, -1.1489, -0.0354, -0.1282, -7.4005, -1.4801, -4.6539
1495664097.8680579662,1495664097.8703420162, -1.1489, -0.0354, -0.1282, -7.4005, -1.4801, -4.6539
1495664097.8704109192,1495664097.8728621006, -1.1489, -0.0354, -0.1282, -7.4005, -1.4801, -4.9438
1495664097.8729319572,1495664097.8753380775, -1.1489, -0.0354, -0.1282, -7.0343, -0.8850, -4.9438
1495664097.8754088879,1495664097.8778181076, -1.1489, -0.0354, -0.1282, -7.0343, -0.8850, -4.9438
1495664097.8778889179,1495664097.8802950382, -1.1489, -0.0354, -0.1282, -7.0343, -0.8850, -4.9438
1495664097.8803648949,1495664097.8828260899, -1.1489, -0.0354, -0.1282, -7.0343, -0.8850, -4.9438
1495664097.8828980923,1495664097.8853049278, -1.1489, -0.0354, -0.1282, -7.1564, -1.2970, -4.6997
1495664097.8855159283,1495664097.8879270554, -1.1487, -0.0354, -0.1321, -7.1564, -1.2970, -4.6997
1495664097.8879959583,1495664097.8904070854, -1.1487, -0.0354, -0.1321, -7.1564, -1.2970, -4.6997
1495664097.8904759884,1495664097.8928890228, -1.1487, -0.0354, -0.1321, -7.1564, -1.2970, -4.6997
1495664097.8929591179,1495664097.8953690529, -1.1487, -0.0354, -0.1321, -6.8054, -1.2970, -4.7302
1495664097.8954389095,1495664097.8978490829, -1.1487, -0.0354, -0.1321, -6.8054, -1.2970, -4.7302
1495664097.8979189396,1495664097.9003269672, -1.1487, -0.0354, -0.1321, -6.8054, -1.2970, -4.7302
1495664097.9003970623,1495664097.9028179646, -1.1487, -0.0354, -0.1321, -6.8054, -1.2970, -4.7302
1495664097.9028871059,1495664097.9052879810, -1.1487, -0.0354, -0.1321, -7.1869, -1.3885, -4.4098
1495664097.9053568840,1495664097.9077670574, -1.1462, -0.0398, -0.1458, -7.1869, -1.3885, -4.4098
1495664097.9078359604,1495664097.9102449417, -1.1462, -0.0398, -0.1458, -7.1869, -1.3885, -4.4098
1495664097.9103140831,1495664097.9126470089, -1.1462, -0.0398, -0.1458, -7.1869, -1.3885, -4.4098
1495664097.9127180576,1495664097.9149999619, -1.1462, -0.0398, -0.1458, -7.1869, -1.3885, -4.8065
1495664097.9150691032,1495664097.9173851013, -1.1462, -0.0398, -0.1458, -6.7444, -1.5564, -4.8065
1495664097.9174549580,1495664097.9197471142, -1.1462, -0.0398, -0.1458, -6.7444, -1.5564, -4.8065
1495664097.9198160172,1495664097.9222209454, -1.1462, -0.0398, -0.1458, -6.7444, -1.5564, -4.8065
1495664097.9222900867,1495664097.9246981144, -1.1462, -0.0398, -0.1458, -6.7444, -1.5564, -4.8065
1495664097.9247670174,1495664097.9271769524, -1.1428, -0.0378, -0.1421, -6.5308, -1.5717, -4.5166
1495664097.9272460938,1495664097.9296519756, -1.1428, -0.0378, -0.1421, -6.5308, -1.5717, -4.5166
1495664097.9297220707,1495664097.9321351051, -1.1428, -0.0378, -0.1421, -6.5308, -1.5717, -4.5166
1495664097.9322049618,1495664097.9346179962, -1.1428, -0.0378, -0.1421, -6.5308, -1.5717, -4.5166
1495664097.9346880913,1495664097.9370970726, -1.1428, -0.0378, -0.1421, -5.8289, -1.4343, -4.5776
1495664097.9371659756,1495664097.9395799637, -1.1428, -0.0378, -0.1421, -5.8289, -1.4343, -4.5776
1495664097.9396491051,1495664097.9420669079, -1.1428, -0.0378, -0.1421, -5.8289, -1.4343, -4.5776
1495664097.9421370029,1495664097.9445428848, -1.1428, -0.0378, -0.1421, -5.8289, -1.4343, -4.5776
1495664097.9446120262,1495664097.9470219612, -1.1460, -0.0361, -0.1404, -5.8289, -1.1139, -4.7150
1495664097.9470920563,1495664097.9495010376, -1.1460, -0.0361, -0.1404, -6.1493, -1.1139, -4.7150
1495664097.9495720863,1495664097.9519660473, -1.1460, -0.0361, -0.1404, -6.1493, -1.1139, -4.7150
