timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495663974.3614759445,1495663974.3637189865, -1.1438, -0.0916, -0.2141, -5.6610, -5.4779, -8.6670
1495663974.3640050888,1495663974.3662619591, -1.4377, -0.0916, -0.2141, -5.7373, -5.8746, -8.5602
1495663974.3663339615,1495663974.3685710430, -1.4377, -0.0916, -0.2141, -5.7373, -5.8746, -8.5602
1495663974.3686389923,1495663974.3708939552, -1.4377, -0.0916, -0.2141, -5.7373, -5.8746, -8.5602
1495663974.3709630966,1495663974.3732669353, -1.4377, -0.0916, -0.2141, -5.7373, -5.8746, -8.5602
1495663974.3733360767,1495663974.3755879402, -1.4377, -0.0916, -0.1516, -5.7373, -5.8746, -8.5602
1495663974.3756608963,1495663974.3806440830, -1.1375, -0.0840, -0.1616, -5.7678, -6.6681, -9.2773
1495663974.3807299137,1495663974.3832769394, -1.1375, -0.0840, -0.1616, -5.7678, -6.6681, -9.2773
1495663974.3833529949,1495663974.3862650394, -1.1375, -0.0840, -0.1616, -5.7678, -6.6681, -9.2773
1495663974.3863399029,1495663974.3888909817, -1.1375, -0.0840, -0.1616, -5.5389, -5.5084, -8.5754
1495663974.3889639378,1495663974.3916449547, -1.1375, -0.0840, -0.1616, -5.5389, -5.5084, -8.5754
1495663974.3917229176,1495663974.3940091133, -1.1375, -0.0840, -0.1616, -5.5389, -5.5084, -8.5754
1495663974.3940811157,1495663974.3963611126, -1.1375, -0.0859, -0.1641, -5.5389, -5.5084, -8.5754
1495663974.3964309692,1495663974.3987169266, -1.1458, -0.0859, -0.1641, -5.3864, -5.6915, -8.1787
1495663974.3987870216,1495663974.4011209011, -1.1458, -0.0859, -0.1641, -5.3864, -5.6915, -8.1787
1495663974.4011919498,1495663974.4034759998, -1.1458, -0.0859, -0.1641, -5.3864, -5.6915, -8.1787
1495663974.4035460949,1495663974.4064960480, -1.1458, -0.0859, -0.1641, -5.3864, -5.6915, -8.1787
1495663974.4065699577,1495663974.4088521004, -1.1458, -0.0859, -0.1641, -5.6305, -5.6763, -8.4229
1495663974.4089229107,1495663974.4112579823, -1.1458, -0.0859, -0.1641, -5.6305, -5.6763, -8.4229
1495663974.4113280773,1495663974.4136040211, -1.1458, -0.0859, -0.1641, -5.6305, -5.6763, -8.4229
1495663974.4136741161,1495663974.4159529209, -1.1458, -0.0859, -0.1597, -5.6305, -5.6763, -8.4229
1495663974.4160220623,1495663974.4183039665, -1.1475, -0.0867, -0.1597, -5.6305, -5.6763, -8.5297
1495663974.4183731079,1495663974.4206490517, -1.1475, -0.0867, -0.1597, -5.2948, -5.3253, -8.5297
1495663974.4207189083,1495663974.4230110645, -1.1475, -0.0867, -0.1597, -5.2948, -5.3253, -8.5297
1495663974.4230821133,1495663974.4253659248, -1.1475, -0.0867, -0.1597, -5.2948, -5.3253, -8.5297
1495663974.4254360199,1495663974.4277179241, -1.1475, -0.0867, -0.1597, -5.2948, -5.3253, -8.5297
1495663974.4277870655,1495663974.4300680161, -1.1475, -0.0867, -0.1597, -6.1646, -5.4626, -8.6365
1495663974.4301390648,1495663974.4331769943, -1.1475, -0.0867, -0.1597, -6.1646, -5.4626, -8.6365
1495663974.4332559109,1495663974.4360840321, -1.1475, -0.0867, -0.1675, -6.1646, -5.4626, -8.6365
1495663974.4361619949,1495663974.4385690689, -1.1440, -0.0928, -0.1675, -6.1646, -5.4626, -8.6365
1495663974.4386401176,1495663974.4410560131, -1.1440, -0.0928, -0.1675, -5.2643, -5.1880, -8.3008
1495663974.4411280155,1495663974.4434130192, -1.1440, -0.0928, -0.1675, -5.2643, -5.1880, -8.3008
1495663974.4434831142,1495663974.4457659721, -1.1440, -0.0928, -0.1675, -5.2643, -5.1880, -8.3008
