timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1494009820.5024449825,1494009820.5056509972, -1.1169,  0.1370, -0.2014,  4.3793,  1.1139,-15.3503
1494009820.5057909489,1494009820.5080759525, -1.1169,  0.1370, -0.2014,  4.3793,  1.1139,-16.2048
1494009820.5081510544,1494009820.5104320049, -1.1226,  0.1509, -0.2112,  2.8229,  1.9226,-16.2048
1494009820.5105071068,1494009820.5128319263, -1.1226,  0.1509, -0.2112,  2.8229,  1.9226,-16.2048
1494009820.5129060745,1494009820.5151879787, -1.1226,  0.1509, -0.2112,  2.8229,  1.9226,-16.2048
1494009820.5152609348,1494009820.5175399780, -1.1226,  0.1509, -0.2112,  2.8229,  1.9226,-16.2048
1494009820.5176129341,1494009820.5198950768, -1.1226,  0.1509, -0.2112,  0.9155,  1.5564,-17.3340
1494009820.5199680328,1494009820.5222480297, -1.1226,  0.1509, -0.2112,  0.9155,  1.5564,-17.3340
1494009820.5223219395,1494009820.5246438980, -1.1226,  0.1509, -0.2112,  0.9155,  1.5564,-17.3340
1494009820.5247180462,1494009820.5269989967, -1.1226,  0.1509, -0.2112,  0.9155,  1.5564,-17.3340
1494009820.5270729065,1494009820.5293469429, -1.1257,  0.1367, -0.2107,  0.9155,  1.5564,-17.5323
1494009820.5294198990,1494009820.5316939354, -1.1257,  0.1367, -0.2107, -1.8463,  0.8545,-17.5323
1494009820.5317659378,1494009820.5341870785, -1.1257,  0.1367, -0.2107, -1.8463,  0.8545,-17.5323
1494009820.5342609882,1494009820.5365440845, -1.1257,  0.1367, -0.2107, -1.8463,  0.8545,-17.5323
1494009820.5366179943,1494009820.5388970375, -1.1257,  0.1367, -0.2107, -1.8463,  0.8545,-17.5323
1494009820.5389709473,1494009820.5412459373, -1.1257,  0.1367, -0.2107, -4.1962,  0.7782,-18.3563
1494009820.5413188934,1494009820.5436029434, -1.1257,  0.1367, -0.2107, -4.1962,  0.7782,-18.3563
1494009820.5436770916,1494009820.5459589958, -1.1257,  0.1367, -0.2107, -4.1962,  0.7782,-18.3563
1494009820.5460329056,1494009820.5483100414, -1.1257,  0.1367, -0.2107, -4.1962,  0.7782,-18.3563
1494009820.5483849049,1494009820.5506610870, -1.1167,  0.1138, -0.2126, -4.1962,  0.2747,-18.5089
1494009820.5507359505,1494009820.5530469418, -1.1167,  0.1138, -0.2126, -6.3934,  0.2747,-18.5089
1494009820.5531220436,1494009820.5555119514, -1.1167,  0.1138, -0.2126, -6.3934,  0.2747,-18.5089
1494009820.5555860996,1494009820.5579800606, -1.1167,  0.1138, -0.2126, -6.3934,  0.2747,-18.5089
1494009820.5580561161,1494009820.5604510307, -1.1167,  0.1138, -0.2126, -6.3934,  0.2747,-18.5089
1494009820.5605258942,1494009820.5629689693, -1.1167,  0.1138, -0.2126, -7.3395,  0.0305,-19.0735
1494009820.5630450249,1494009820.5654380322, -1.1167,  0.1138, -0.2126, -7.3395,  0.0305,-19.0735
1494009820.5655140877,1494009820.5679080486, -1.1167,  0.1138, -0.2126, -7.3395,  0.0305,-19.0735
1494009820.5679829121,1494009820.5703780651, -1.1213,  0.0964, -0.2114, -7.3395,  0.0305,-19.0735
1494009820.5704529285,1494009820.5728549957, -1.1213,  0.0964, -0.2114, -7.4921, -0.4272,-19.0277
1494009820.5729300976,1494009820.5753009319, -1.1213,  0.0964, -0.2114, -7.4921, -0.4272,-19.0277
1494009820.5753750801,1494009820.5777359009, -1.1213,  0.0964, -0.2114, -7.4921, -0.4272,-19.0277
1494009820.5778110027,1494009820.5801808834, -1.1213,  0.0964, -0.2114, -7.4921, -0.4272,-19.0277
1494009820.5802550316,1494009820.5826320648, -1.1213,  0.0964, -0.2114, -7.4921, -0.2136,-19.1040
1494009820.5827069283,1494009820.5849969387, -1.1213,  0.0964, -0.2114, -7.4158, -0.2136,-19.1040
1494009820.5850710869,1494009820.5873548985, -1.1213,  0.0964, -0.2114, -7.4158, -0.2136,-19.1040
1494009820.5874290466,1494009820.5897109509, -1.1157,  0.0984, -0.2122, -7.4158, -0.2136,-19.1040
1494009820.5897850990,1494009820.5920710564, -1.1157,  0.0984, -0.2122, -7.4158, -0.2136,-19.1040
1494009820.5921449661,1494009820.5946309566, -1.1157,  0.0984, -0.2122, -6.9580, -0.2594,-18.9972
1494009820.5947060585,1494009820.5971109867, -1.1157,  0.0984, -0.2122, -6.9580, -0.2594,-18.9972
1494009820.5971848965,1494009820.5995829105, -1.1157,  0.0984, -0.2122, -6.9580, -0.2594,-18.9972
1494009820.5996570587,1494009820.6020610332, -1.1157,  0.0984, -0.2122, -6.9580, -0.2594,-18.9972
1494009820.6021349430,1494009820.6045761108, -1.1157,  0.0984, -0.2122, -6.6528, -0.1984,-19.2413
1494009820.6047921181,1494009820.6071970463, -1.1157,  0.0984, -0.2122, -6.6528, -0.1984,-19.2413
1494009820.6072731018,1494009820.6096789837, -1.1199,  0.0920, -0.2129, -6.6528, -0.1984,-19.2413
