timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493846365.8545010090,1493846365.8571040630, -1.1392,  0.0977, -0.0806, -5.0659, -1.6632, -5.7220
1493846365.8572371006,1493846365.8597400188, -1.2642,  0.1025, -0.0901, -5.0659, -1.6632, -5.7220
1493846365.8598139286,1493846365.8622350693, -1.3123,  0.1025, -0.0901, -5.0659, -1.6632, -5.7220
1493846365.8623080254,1493846365.8645930290, -1.3123,  0.1025, -0.0901, -5.0659, -1.6632, -5.7220
1493846365.8646640778,1493846365.8669459820, -1.3123,  0.1025, -0.0901, -4.5624, -2.9144, -6.8512
1493846365.8670160770,1493846365.8695149422, -1.3123,  0.1025, -0.0901, -4.5624, -2.9144, -6.8512
1493846365.8695859909,1493846365.8760659695, -1.1873,  0.1006, -0.0757, -4.5624, -2.9144, -6.8512
1493846365.8761560917,1493846365.8784420490, -1.1392,  0.1006, -0.0757, -3.8910, -2.3041, -6.0577
1493846365.8785150051,1493846365.8829669952, -1.1392,  0.1006, -0.0757, -3.8910, -2.3041, -6.0577
1493846365.8830459118,1493846365.8853330612, -1.1392,  0.1006, -0.0757, -3.8910, -2.3041, -6.0577
1493846365.8854041100,1493846365.8876860142, -1.1392,  0.1006, -0.0757, -3.5248, -2.1667, -4.9133
1493846365.8877570629,1493846365.8901479244, -1.1392,  0.1006, -0.0757, -3.5248, -2.1667, -4.9133
1493846365.8902180195,1493846365.8925879002, -1.1326,  0.1045, -0.0706, -3.5248, -2.1667, -4.9133
1493846365.8926599026,1493846365.8949429989, -1.1326,  0.1045, -0.0706, -3.5248, -2.1667, -4.9133
1493846365.8950130939,1493846365.8972940445, -1.1326,  0.1045, -0.0706, -3.5248, -2.1667, -5.3558
1493846365.8973639011,1493846365.8997020721, -1.1326,  0.1045, -0.0706, -3.7079, -2.2888, -5.3558
1493846365.8997719288,1493846365.9020860195, -1.1326,  0.1045, -0.0706, -3.7079, -2.2888, -5.3558
1493846365.9021561146,1493846365.9044399261, -1.1326,  0.1045, -0.0706, -3.7079, -2.2888, -5.3558
1493846365.9045100212,1493846365.9067919254, -1.1326,  0.1045, -0.0706, -3.7079, -2.2888, -5.3558
1493846365.9068629742,1493846365.9092209339, -1.1326,  0.1045, -0.0706, -3.7079, -2.5940, -5.6915
1493846365.9092919827,1493846365.9115819931, -1.1326,  0.1016, -0.0527, -3.7079, -2.5940, -5.6915
1493846365.9116530418,1493846365.9139399529, -1.1338,  0.1016, -0.0527, -3.7079, -2.5940, -5.6915
1493846365.9140100479,1493846365.9163000584, -1.1338,  0.1016, -0.0527, -3.7079, -2.5940, -5.6915
1493846365.9163699150,1493846365.9187390804, -1.1338,  0.1016, -0.0527, -3.7079, -2.5940, -5.1575
1493846365.9188170433,1493846365.9211161137, -1.1338,  0.1016, -0.0527, -3.9825, -1.8463, -5.1575
1493846365.9211869240,1493846365.9234769344, -1.1338,  0.1016, -0.0527, -3.9825, -1.8463, -5.1575
1493846365.9235470295,1493846365.9258298874, -1.1338,  0.1016, -0.0527, -3.9825, -1.8463, -5.1575
1493846365.9258999825,1493846365.9281840324, -1.1338,  0.1016, -0.0527, -3.9825, -1.8463, -5.1575
1493846365.9282538891,1493846365.9306368828, -1.1338,  0.1016, -0.0527, -3.9368, -2.4109, -5.6152
1493846365.9307069778,1493846365.9329869747, -1.1389,  0.1011, -0.0583, -3.9368, -2.4109, -5.6152
1493846365.9330570698,1493846365.9353430271, -1.1389,  0.1011, -0.0583, -3.9368, -2.4109, -5.6152
1493846365.9354128838,1493846365.9376940727, -1.1389,  0.1011, -0.0583, -3.9368, -2.4109, -5.6152
1493846365.9377648830,1493846365.9402360916, -1.1389,  0.1011, -0.0583, -0.0305, -2.0599, -5.3558
1493846365.9403069019,1493846365.9425919056, -1.1389,  0.1011, -0.0583, -3.7994, -2.0599, -5.3558
1493846365.9426620007,1493846365.9449479580, -1.1389,  0.1011, -0.0583, -3.7994, -2.0599, -5.3558
1493846365.9450180531,1493846365.9472990036, -1.1389,  0.1011, -0.0583, -3.7994, -2.0599, -5.3558
1493846365.9473690987,1493846365.9497389793, -1.1389,  0.1011, -0.0583, -3.7994, -2.0599, -5.3558
1493846365.9498078823,1493846365.9520859718, -1.1309,  0.0989, -0.0676, -4.0436, -1.5411, -5.0507
1493846365.9521560669,1493846365.9544320107, -1.1309,  0.0989, -0.0676, -4.0436, -1.5411, -5.0507
1493846365.9545009136,1493846365.9567840099, -1.1309,  0.0989, -0.0676, -4.0436, -1.5411, -5.0507
1493846365.9568529129,1493846365.9591960907, -1.1309,  0.0989, -0.0676, -4.0436, -1.5411, -5.0507
1493846365.9592659473,1493846365.9616370201, -1.1309,  0.0989, -0.0676, -4.2267, -1.4343, -5.3558
1493846365.9618480206,1493846365.9641330242, -1.1309,  0.0989, -0.0676, -4.2267, -1.4343, -5.3558
1493846365.9642009735,1493846365.9664819241, -1.1309,  0.0989, -0.0676, -4.2267, -1.4343, -5.3558
1493846365.9665520191,1493846365.9689500332, -1.1309,  0.0989, -0.0676, -4.2267, -1.4343, -5.3558
1493846365.9690198898,1493846365.9713931084, -1.1309,  0.0989, -0.0720, -4.2267, -1.4343, -4.9591
1493846365.9714629650,1493846365.9738409519, -1.1372,  0.1025, -0.0720, -4.2419, -1.8005, -4.9591
1493846365.9739110470,1493846365.9768340588, -1.1372,  0.1025, -0.0720, -4.2419, -1.8005, -4.9591
1493846365.9769139290,1493846365.9792370796, -1.1372,  0.1025, -0.0720, -4.2419, -1.8005, -4.9591
1493846365.9793109894,1493846365.9815950394, -1.1372,  0.1025, -0.0720, -4.2419, -1.8005, -4.9591
1493846365.9816648960,1493846365.9839470387, -1.1372,  0.1025, -0.0720, -3.7537, -1.8311, -4.8523
1493846365.9840168953,1493846365.9862999916, -1.1372,  0.1025, -0.0720, -3.7537, -1.8311, -4.8523
1493846365.9863700867,1493846365.9886569977, -1.1372,  0.1025, -0.0720, -3.7537, -1.8311, -4.8523
1493846365.9887270927,1493846365.9910130501, -1.1372,  0.1025, -0.0095, -3.7537, -1.8311, -4.8523
1493846365.9910840988,1493846365.9933629036, -1.1350,  0.1060, -0.0625, -4.2114, -1.7700, -4.6082
1493846365.9934339523,1493846365.9957110882, -1.1350,  0.1060, -0.0625, -4.2114, -1.7700, -4.6082
1493846365.9957818985,1493846365.9980640411, -1.1350,  0.1060, -0.0625, -4.2114, -1.7700, -4.6082
1493846365.9981338978,1493846366.0004680157, -1.1350,  0.1060, -0.0625, -4.2114, -1.7700, -4.6082
1493846366.0005390644,1493846366.0028200150, -1.1350,  0.1060, -0.0625, -4.2114, -1.7700, -4.6082
1493846366.0028910637,1493846366.0051689148, -1.1350,  0.1060, -0.0625, -3.9673, -1.9836, -4.7302
1493846366.0052399635,1493846366.0075209141, -1.1350,  0.1060, -0.0625, -3.9673, -1.9836, -4.7302
1493846366.0075910091,1493846366.0099279881, -1.1350,  0.1060, -0.0625, -3.9673, -1.9836, -4.7302
1493846366.0099990368,1493846366.0122749805, -1.1348,  0.0964, -0.0564, -3.9673, -1.9836, -4.7302
1493846366.0123438835,1493846366.0146210194, -1.1348,  0.0964, -0.0564, -4.2572, -1.9226, -4.5776
1493846366.0146899223,1493846366.0169730186, -1.1348,  0.0964, -0.0564, -4.2572, -1.9226, -4.5776
1493846366.0170419216,1493846366.0194869041, -1.1348,  0.0964, -0.0564, -4.2572, -1.9226, -4.5776
1493846366.0195569992,1493846366.0218288898, -1.1348,  0.0964, -0.0564, -4.2572, -1.9226, -4.5776
1493846366.0218989849,1493846366.0241808891, -1.1348,  0.0964, -0.0564, -4.2572, -1.9226, -4.6539
1493846366.0242500305,1493846366.0265290737, -1.1348,  0.0964, -0.0564, -4.2114, -1.0834, -4.6539
1493846366.0265989304,1493846366.0289170742, -1.1348,  0.0964, -0.0564, -4.2114, -1.0834, -4.6539
1493846366.0289869308,1493846366.0312619209, -1.1348,  0.0964, -0.0522, -4.2114, -1.0834, -4.6539
1493846366.0313310623,1493846366.0336139202, -1.1362,  0.0952, -0.0522, -4.2114, -1.0834, -4.6539
1493846366.0336821079,1493846366.0359621048, -1.1362,  0.0952, -0.0522, -4.1809, -1.6174, -4.3335
1493846366.0360310078,1493846366.0383079052, -1.1362,  0.0952, -0.0522, -4.1809, -1.6174, -4.3335
1493846366.0383780003,1493846366.0407030582, -1.1362,  0.0952, -0.0522, -4.1809, -1.6174, -4.3335
1493846366.0407729149,1493846366.0430500507, -1.1362,  0.0952, -0.0522, -4.1809, -1.6174, -4.3335
1493846366.0431189537,1493846366.0453989506, -1.1362,  0.0952, -0.0522, -4.1809, -1.6174, -4.4250
1493846366.0454680920,1493846366.0477519035, -1.1362,  0.0952, -0.0522, -3.4485, -1.5411, -4.4250
1493846366.0478210449,1493846366.0502879620, -1.1362,  0.0952, -0.0522, -3.4485, -1.5411, -4.4250
1493846366.0503590107,1493846366.0527639389, -1.1294,  0.1023, -0.0718, -3.4485, -1.5411, -4.4250
