timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493858575.3460729122,1493858575.3485898972, -1.4351,  0.0776, -0.1736, -4.1046,  0.9460, -4.2419
1493858575.3487269878,1493858575.3510069847, -1.4351,  0.0776, -0.1736, -3.7079,  1.1139, -4.2419
1493858575.3510789871,1493858575.3536510468, -1.4351,  0.0776, -0.1736, -3.7079,  1.1139, -4.2419
1493858575.3537220955,1493858575.3560070992, -1.4351,  0.0776, -0.1736, -3.7079,  1.1139, -4.2419
1493858575.3560769558,1493858575.3587028980, -1.4351,  0.0776, -0.1736, -3.7079,  1.1139, -0.3357
1493858575.3587749004,1493858575.3610560894, -1.1382,  0.0522, -0.1741, -4.0283,  1.9226, -3.5400
1493858575.3611259460,1493858575.3634049892, -1.1382,  0.0522, -0.1741, -4.0283,  1.9226, -3.5400
1493858575.3634750843,1493858575.3657519817, -1.1382,  0.0522, -0.1741, -4.0283,  1.9226, -3.5400
1493858575.3658208847,1493858575.3682711124, -1.1382,  0.0522, -0.1741, -4.0283,  1.9226, -3.5400
1493858575.3683419228,1493858575.3706259727, -1.1382,  0.0522, -0.1741, -3.6774,  1.6479, -4.4250
1493858575.3706951141,1493858575.3729720116, -1.1382,  0.0522, -0.1741, -3.6774,  1.6479, -4.4250
1493858575.3730430603,1493858575.3753259182, -1.1382,  0.0522, -0.1741, -3.6774,  1.6479, -4.4250
1493858575.3753960133,1493858575.3777670860, -1.1382,  0.0522, -0.1741, -3.6774,  1.6479, -4.4250
1493858575.3778369427,1493858575.3801190853, -1.1328,  0.0398, -0.1575, -3.6774,  1.6479, -4.1351
1493858575.3801889420,1493858575.3824748993, -1.1328,  0.0398, -0.1575, -3.9520,  1.9073, -4.1351
1493858575.3825449944,1493858575.3848319054, -1.1328,  0.0398, -0.1575, -3.9520,  1.9073, -4.1351
1493858575.3849039078,1493858575.3872759342, -1.1328,  0.0398, -0.1575, -3.9520,  1.9073, -4.1351
1493858575.3873460293,1493858575.3896300793, -1.1328,  0.0398, -0.1575, -3.9520,  1.9073, -4.1351
1493858575.3897008896,1493858575.3919839859, -1.1328,  0.0398, -0.1575, -4.2877,  1.8616, -4.3640
1493858575.3920540810,1493858575.3943400383, -1.1328,  0.0398, -0.1575, -4.2877,  1.8616, -4.3640
1493858575.3944110870,1493858575.3966910839, -1.1328,  0.0398, -0.1575, -4.2877,  1.8616, -4.3640
1493858575.3967609406,1493858575.3991570473, -1.1328,  0.0334, -0.1470, -4.2877,  1.8616, -4.3640
1493858575.3992280960,1493858575.4015080929, -1.1343,  0.0334, -0.1470, -4.2877,  1.8616, -4.8828
1493858575.4015779495,1493858575.4038629532, -1.1343,  0.0334, -0.1470, -2.4567,  1.7700, -4.8828
1493858575.4039320946,1493858575.4062170982, -1.1343,  0.0334, -0.1470, -2.4567,  1.7700, -4.8828
1493858575.4062869549,1493858575.4087369442, -1.1343,  0.0334, -0.1470, -2.4567,  1.7700, -4.8828
1493858575.4088070393,1493858575.4110879898, -1.1343,  0.0334, -0.1470, -2.4567,  1.7700, -4.8828
1493858575.4111580849,1493858575.4134430885, -1.1343,  0.0334, -0.1470, -1.5869,  2.0599, -4.6997
1493858575.4135119915,1493858575.4158029556, -1.1343,  0.0334, -0.1470, -1.5869,  2.0599, -4.6997
1493858575.4158720970,1493858575.4183540344, -1.1343,  0.0334, -0.1470, -1.5869,  2.0599, -4.6997
1493858575.4184238911,1493858575.4208309650, -1.1228,  0.0508, -0.1697, -1.5869,  2.0599, -4.6997
1493858575.4209010601,1493858575.4233078957, -1.1228,  0.0508, -0.1697, -0.8087,  2.1057, -4.8523
1493858575.4233798981,1493858575.4257929325, -1.1228,  0.0508, -0.1697, -0.8087,  2.1057, -4.8523
1493858575.4258649349,1493858575.4283120632, -1.1228,  0.0508, -0.1697, -0.8087,  2.1057, -4.8523
1493858575.4283831120,1493858575.4307899475, -1.1228,  0.0508, -0.1697, -0.8087,  2.1057, -4.8523
1493858575.4308609962,1493858575.4332718849, -1.1228,  0.0508, -0.1697, -0.8087,  2.1057, -4.9591
1493858575.4333429337,1493858575.4357540607, -1.1228,  0.0508, -0.1697, -0.7782,  2.3346, -4.9591
1493858575.4358239174,1493858575.4381659031, -1.1228,  0.0508, -0.1697, -0.7782,  2.3346, -4.9591
1493858575.4382369518,1493858575.4405200481, -1.1404,  0.0540, -0.1709, -0.7782,  2.3346, -4.9591
1493858575.4405920506,1493858575.4428780079, -1.1404,  0.0540, -0.1709, -0.7782,  2.3346, -4.9591
1493858575.4429500103,1493858575.4452340603, -1.1404,  0.0540, -0.1709, -3.7231,  2.2430, -5.8136
1493858575.4453039169,1493858575.4476330280, -1.1404,  0.0540, -0.1709, -3.7231,  2.2430, -5.8136
1493858575.4478449821,1493858575.4502429962, -1.1404,  0.0540, -0.1709, -3.7231,  2.2430, -5.8136
1493858575.4503130913,1493858575.4526998997, -1.1404,  0.0540, -0.1709, -3.7231,  2.2430, -5.8136
1493858575.4527699947,1493858575.4551639557, -1.1404,  0.0540, -0.1709, -5.9204,  2.0294, -7.1411
1493858575.4552340508,1493858575.4576370716, -1.1404,  0.0540, -0.1709, -5.9204,  2.0294, -7.1411
1493858575.4577078819,1493858575.4601008892, -1.1289,  0.0281, -0.1550, -5.9204,  2.0294, -7.1411
1493858575.4601709843,1493858575.4625658989, -1.1289,  0.0281, -0.1550, -5.9204,  2.0294, -7.1411
1493858575.4626359940,1493858575.4650330544, -1.1289,  0.0281, -0.1550, -5.9204,  2.0294, -7.6447
1493858575.4651041031,1493858575.4675090313, -1.1289,  0.0281, -0.1550, -6.0577,  2.2278, -7.6447
1493858575.4675800800,1493858575.4699718952, -1.1289,  0.0281, -0.1550, -6.0577,  2.2278, -7.6447
1493858575.4700419903,1493858575.4724349976, -1.1289,  0.0281, -0.1550, -6.0577,  2.2278, -7.6447
1493858575.4725050926,1493858575.4751129150, -1.1289,  0.0281, -0.1550, -6.0577,  2.2278, -7.6447
1493858575.4751839638,1493858575.4777939320, -1.1289,  0.0281, -0.1550, -6.2408,  2.2278, -7.6141
1493858575.4778649807,1493858575.4802360535, -1.1401,  0.0503, -0.1492, -6.2408,  2.2278, -7.6141
1493858575.4803059101,1493858575.4826738834, -1.1401,  0.0503, -0.1492, -6.2408,  2.2278, -7.6141
1493858575.4827439785,1493858575.4851660728, -1.1401,  0.0503, -0.1492, -6.2408,  2.2278, -7.6141
1493858575.4852359295,1493858575.4876089096, -1.1401,  0.0503, -0.1492, -5.5389,  2.0294, -7.6447
1493858575.4876790047,1493858575.4899609089, -1.1401,  0.0503, -0.1492, -5.5389,  2.0294, -7.6447
1493858575.4900310040,1493858575.4923160076, -1.1401,  0.0503, -0.1492, -5.5389,  2.0294, -7.6447
1493858575.4923861027,1493858575.4946730137, -1.1401,  0.0503, -0.1492, -5.5389,  2.0294, -7.6447
1493858575.4947431087,1493858575.4970359802, -1.1401,  0.0503, -0.1492, -5.5389,  2.3041, -7.9041
1493858575.4971060753,1493858575.4995179176, -1.0776,  0.0698, -0.1538, -4.8981,  2.3041, -7.9041
