timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493845907.2740850449,1493845907.2763700485, -1.1021, -0.0388, -0.3127,-13.5803, -3.6316,-16.8762
1493845907.2765119076,1493845907.2788169384, -1.1021, -0.0388, -0.3127,-13.5803, -3.6316,-16.8762
1493845907.2788980007,1493845907.2811810970, -1.2383, -0.0864, -0.3386,-13.5803, -3.6316,-16.8762
1493845907.2812581062,1493845907.2836370468, -1.2383, -0.0864, -0.3386,-14.6637, -5.5847,-17.7002
1493845907.2837159634,1493845907.2860000134, -1.2383, -0.0864, -0.3386,-14.6637, -5.5847,-17.7002
1493845907.2860760689,1493845907.2883560658, -1.2383, -0.0864, -0.3386,-14.6637, -5.5847,-17.7002
1493845907.2884330750,1493845907.2908871174, -1.2383, -0.0864, -0.3386,-14.6637, -5.5847,-17.7002
1493845907.2909688950,1493845907.2965528965, -1.1133, -0.0630, -0.2651,-14.7705, -5.9052,-17.8680
1493845907.2966480255,1493845907.2996520996, -1.1067, -0.0630, -0.2651,-14.7705, -5.9052,-17.8680
1493845907.2997410297,1493845907.3025200367, -1.1067, -0.0630, -0.2651,-14.7705, -5.9052,-17.8680
1493845907.3026061058,1493845907.3052868843, -1.1067, -0.0630, -0.2651,-15.4877, -5.0201,-17.4408
1493845907.3053669930,1493845907.3076460361, -1.1067, -0.0630, -0.2651,-15.4877, -5.0201,-17.4408
1493845907.3077230453,1493845907.3120150566, -1.1067, -0.0630, -0.2651,-15.4877, -5.0201,-17.4408
1493845907.3120949268,1493845907.3143730164, -1.0991, -0.0610, -0.2959,-16.0675, -4.5929,-17.2119
1493845907.3144509792,1493845907.3167560101, -1.0991, -0.0610, -0.2959,-16.0675, -4.5929,-17.2119
1493845907.3168339729,1493845907.3191819191, -1.0991, -0.0610, -0.2959,-16.0675, -4.5929,-17.2119
1493845907.3192579746,1493845907.3215401173, -1.0991, -0.0610, -0.2959,-16.0675, -4.5929,-17.2119
1493845907.3216159344,1493845907.3238949776, -1.0991, -0.0610, -0.2959,-16.0675, -4.5929,-17.1051
1493845907.3239719868,1493845907.3262519836, -1.0991, -0.0610, -0.2959,-17.2119, -4.5776,-17.1051
1493845907.3263289928,1493845907.3286271095, -1.0991, -0.0610, -0.2959,-17.2119, -4.5776,-17.1051
1493845907.3287029266,1493845907.3309791088, -1.0991, -0.0610, -0.2959,-17.2119, -4.5776,-17.1051
1493845907.3310549259,1493845907.3333349228, -1.0991, -0.0662, -0.3562,-17.2119, -4.5776,-17.1051
1493845907.3334119320,1493845907.3356928825, -1.1074, -0.0662, -0.3562,-18.7378, -4.7455,-16.2506
1493845907.3357698917,1493845907.3380460739, -1.1074, -0.0662, -0.3562,-18.7378, -4.7455,-16.2506
1493845907.3381218910,1493845907.3405330181, -1.1074, -0.0662, -0.3562,-18.7378, -4.7455,-16.2506
1493845907.3406100273,1493845907.3428978920, -1.1074, -0.0662, -0.3562,-18.7378, -4.7455,-16.2506
1493845907.3429739475,1493845907.3452539444, -1.1074, -0.0662, -0.3562,-18.7378, -4.7455,-14.6790
1493845907.3453309536,1493845907.3476119041, -1.1074, -0.0662, -0.3562,-22.4152, -4.4556,-14.6790
1493845907.3476879597,1493845907.3499729633, -1.1074, -0.0662, -0.3562,-22.4152, -4.4556,-14.6790
1493845907.3500499725,1493845907.3523340225, -1.1074, -0.0662, -0.2937,-22.4152, -4.4556,-14.6790
1493845907.3524100780,1493845907.3546850681, -1.0964, -0.1008, -0.2615,-22.4152, -4.4556,-14.6790
1493845907.3547620773,1493845907.3570439816, -1.0964, -0.1008, -0.2615,-21.6522, -4.3640,-13.8550
1493845907.3571200371,1493845907.3594849110, -1.0964, -0.1008, -0.2615,-21.6522, -4.3640,-13.8550
1493845907.3595619202,1493845907.3618431091, -1.0964, -0.1008, -0.2615,-21.6522, -4.3640,-13.8550
1493845907.3619201183,1493845907.3642010689, -1.0964, -0.1008, -0.2615,-21.6522, -4.3640,-13.8550
1493845907.3642780781,1493845907.3666400909, -1.0964, -0.1008, -0.2615,-21.6522, -4.6234,-13.1226
1493845907.3667159081,1493845907.3691530228, -1.0964, -0.1008, -0.2615,-19.5618, -4.6234,-13.1226
1493845907.3692309856,1493845907.3715128899, -1.0964, -0.1008, -0.2615,-19.5618, -4.6234,-13.1226
1493845907.3715898991,1493845907.3738660812, -1.1025, -0.0979, -0.2556,-19.5618, -4.6234,-13.1226
1493845907.3739418983,1493845907.3762180805, -1.1025, -0.0979, -0.2556,-19.5618, -4.6234,-13.1226
1493845907.3762938976,1493845907.3786380291, -1.1025, -0.0979, -0.2556,-17.1967, -4.6234,-12.8479
1493845907.3787140846,1493845907.3811230659, -1.1025, -0.0979, -0.2556,-17.1967, -4.6234,-12.8479
1493845907.3813519478,1493845907.3837618828, -1.1025, -0.0979, -0.2556,-17.1967, -4.6234,-12.8479
1493845907.3838388920,1493845907.3862419128, -1.1025, -0.0979, -0.2556,-17.1967, -4.6234,-12.8479
1493845907.3863179684,1493845907.3887689114, -1.1025, -0.0979, -0.2556,-15.2435, -4.3488,-12.8784
1493845907.3888449669,1493845907.3914361000, -1.1025, -0.0979, -0.2556,-15.2435, -4.3488,-12.8784
1493845907.3915131092,1493845907.3937959671, -1.1008, -0.0540, -0.2869,-15.2435, -4.3488,-12.8784
1493845907.3938729763,1493845907.3961598873, -1.1008, -0.0540, -0.2869,-15.2435, -4.3488,-12.8784
1493845907.3962359428,1493845907.3987150192, -1.1008, -0.0540, -0.2869,-14.6942, -3.8452,-13.0615
1493845907.3987910748,1493845907.4011609554, -1.1008, -0.0540, -0.2869,-14.6942, -3.8452,-13.0615
1493845907.4012379646,1493845907.4036118984, -1.1008, -0.0540, -0.2869,-14.6942, -3.8452,-13.0615
1493845907.4036879539,1493845907.4066860676, -1.1008, -0.0540, -0.2869,-14.6942, -3.8452,-13.0615
1493845907.4067659378,1493845907.4090540409, -1.1008, -0.0540, -0.2869,-15.0604, -3.4027,-13.5193
1493845907.4091320038,1493845907.4114139080, -1.1008, -0.0540, -0.2869,-15.0604, -3.4027,-13.5193
1493845907.4114899635,1493845907.4137680531, -1.1011, -0.0535, -0.2791,-15.0604, -3.4027,-13.5193
1493845907.4138441086,1493845907.4161169529, -1.1011, -0.0535, -0.2791,-15.0604, -3.4027,-13.5193
1493845907.4161920547,1493845907.4184730053, -1.1011, -0.0535, -0.2791,-15.0604, -3.4027,-13.5193
1493845907.4186038971,1493845907.4208900928, -1.1011, -0.0535, -0.2791,-15.8234, -3.8452,-14.0991
1493845907.4209659100,1493845907.4232470989, -1.1011, -0.0535, -0.2791,-15.8234, -3.8452,-14.0991
1493845907.4233241081,1493845907.4256050587, -1.1011, -0.0535, -0.2791,-15.8234, -3.8452,-14.0991
1493845907.4256811142,1493845907.4279589653, -1.1011, -0.0535, -0.2791,-15.8234, -3.8452,-14.0991
1493845907.4280359745,1493845907.4303250313, -1.1011, -0.0535, -0.2791,-15.6555, -4.0131,-14.1907
1493845907.4304010868,1493845907.4326820374, -1.1011, -0.0535, -0.2896,-15.6555, -4.0131,-14.1907
1493845907.4327590466,1493845907.4350359440, -1.1011, -0.1008, -0.2896,-15.6555, -4.0131,-14.1907
1493845907.4351129532,1493845907.4373929501, -1.1011, -0.1008, -0.2896,-15.6555, -4.0131,-14.1907
1493845907.4374690056,1493845907.4398789406, -1.1011, -0.1008, -0.2896,-15.6555, -4.0131,-14.1907
1493845907.4399559498,1493845907.4422359467, -1.1011, -0.1008, -0.2896,-14.5111, -3.6163,-13.8855
1493845907.4423129559,1493845907.4445929527, -1.1011, -0.1008, -0.2896,-14.5111, -3.6163,-13.8855
