timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493858677.2359011173,1493858677.2384109497, -1.1074, -0.1042, -0.2439, -4.5319, -1.9073, -5.7373
1493858677.2385458946,1493858677.2408289909, -1.1074, -0.1042, -0.2439, -4.5319, -1.9073, -5.7373
1493858677.2408990860,1493858677.2431800365, -1.1484, -0.1060, -0.2510, -4.5319, -1.9073, -5.7373
1493858677.2432520390,1493858677.2455370426, -1.1484, -0.1060, -0.2510, -4.0741, -2.3346, -6.4697
1493858677.2456068993,1493858677.2484750748, -1.1484, -0.1060, -0.2510, -4.0741, -2.3346, -6.4697
1493858677.2485458851,1493858677.2508249283, -1.1484, -0.1060, -0.2510, -4.0741, -2.3346, -6.4697
1493858677.2508950233,1493858677.2531700134, -1.1484, -0.1060, -0.2510, -4.0741, -2.3346, -6.4697
1493858677.2532410622,1493858677.2555239201, -1.1484, -0.1060, -0.2510, -4.0741, -2.2278, -5.3253
1493858677.2555949688,1493858677.2579491138, -1.1484, -0.1060, -0.2510, -4.1199, -2.2278, -5.3253
1493858677.2580189705,1493858677.2603011131, -1.1484, -0.1060, -0.2510, -4.1199, -2.2278, -5.3253
1493858677.2603700161,1493858677.2626490593, -1.1111, -0.1060, -0.2434, -4.1199, -2.2278, -5.3253
1493858677.2627189159,1493858677.2649989128, -1.1111, -0.1060, -0.2434, -4.1199, -2.2278, -5.3253
1493858677.2650680542,1493858677.2674949169, -1.1111, -0.1060, -0.2434, -4.3335, -2.0142, -5.6763
1493858677.2675650120,1493858677.2698490620, -1.1111, -0.1060, -0.2434, -4.3335, -2.0142, -5.6763
1493858677.2699189186,1493858677.2722001076, -1.1111, -0.1060, -0.2434, -4.3335, -2.0142, -5.6763
1493858677.2722699642,1493858677.2745509148, -1.1111, -0.1060, -0.2434, -4.3335, -2.0142, -5.6763
1493858677.2746210098,1493858677.2769680023, -1.1111, -0.1060, -0.2434, -4.4403, -1.9379, -5.7526
1493858677.2770390511,1493858677.2794179916, -1.1111, -0.1060, -0.2434, -4.4403, -1.9379, -5.7526
1493858677.2794890404,1493858677.2825078964, -1.1111, -0.1003, -0.2397, -4.4403, -1.9379, -5.7526
1493858677.2825849056,1493858677.2852120399, -1.1082, -0.1003, -0.2397, -4.4403, -1.9379, -5.7526
1493858677.2852890491,1493858677.2876729965, -1.1082, -0.1003, -0.2397, -4.3945, -2.1515, -5.8441
1493858677.2877418995,1493858677.2900259495, -1.1082, -0.1003, -0.2397, -4.3945, -2.1515, -5.8441
1493858677.2900950909,1493858677.2923688889, -1.1082, -0.1003, -0.2397, -4.3945, -2.1515, -5.8441
1493858677.2924399376,1493858677.2947239876, -1.1082, -0.1003, -0.2397, -4.3945, -2.1515, -5.8441
1493858677.2947928905,1493858677.2972419262, -1.1082, -0.1003, -0.2397, -4.3945, -2.1515, -5.8441
1493858677.2973120213,1493858677.2995998859, -1.1082, -0.1003, -0.2397, -4.8218, -2.1057, -5.4169
1493858677.2996699810,1493858677.3019490242, -1.1082, -0.0901, -0.2551, -4.8218, -2.1057, -5.4169
1493858677.3020200729,1493858677.3042979240, -1.1108, -0.0901, -0.2551, -4.8218, -2.1057, -5.4169
1493858677.3043670654,1493858677.3066449165, -1.1108, -0.0901, -0.2551, -4.8218, -2.1057, -5.4169
1493858677.3067131042,1493858677.3092479706, -1.1108, -0.0901, -0.2551, -4.5166, -1.7853, -5.2490
1493858677.3093190193,1493858677.3117239475, -1.1108, -0.0901, -0.2551, -4.5166, -1.7853, -5.2490
1493858677.3117930889,1493858677.3142011166, -1.1108, -0.0901, -0.2551, -4.5166, -1.7853, -5.2490
1493858677.3142700195,1493858677.3166689873, -1.1108, -0.0901, -0.2551, -4.5166, -1.7853, -5.2490
1493858677.3167378902,1493858677.3190419674, -1.1108, -0.0901, -0.2551, -4.5166, -2.2430, -6.1340
1493858677.3191120625,1493858677.3213920593, -1.1108, -0.0901, -0.2341, -4.3335, -2.2430, -6.1340
1493858677.3214609623,1493858677.3237369061, -1.1084, -0.1050, -0.2341, -4.3335, -2.2430, -6.1340
1493858677.3238079548,1493858677.3260889053, -1.1084, -0.1050, -0.2341, -4.3335, -2.2430, -6.1340
1493858677.3261599541,1493858677.3285539150, -1.1084, -0.1050, -0.2341, -4.3335, -2.2430, -6.1340
1493858677.3286240101,1493858677.3310279846, -1.1084, -0.1050, -0.2341, -4.4708, -2.5177, -6.0272
1493858677.3310999870,1493858677.3335089684, -1.1084, -0.1050, -0.2341, -4.4708, -2.5177, -6.0272
1493858677.3335790634,1493858677.3359930515, -1.1084, -0.1050, -0.2341, -4.4708, -2.5177, -6.0272
1493858677.3360629082,1493858677.3385128975, -1.1084, -0.1050, -0.2341, -4.4708, -2.5177, -6.0272
1493858677.3387320042,1493858677.3411419392, -1.1084, -0.1050, -0.2966, -4.6082, -2.0599, -5.2795
1493858677.3412120342,1493858677.3436810970, -1.1089, -0.1072, -0.2542, -4.6082, -2.0599, -5.2795
1493858677.3437519073,1493858677.3460431099, -1.1089, -0.1072, -0.2542, -4.6082, -2.0599, -5.2795
1493858677.3461129665,1493858677.3486490250, -1.1089, -0.1072, -0.2542, -4.6082, -2.0599, -5.2795
1493858677.3487188816,1493858677.3510808945, -1.1089, -0.1072, -0.2542, -4.7913, -2.1362, -5.1575
1493858677.3511519432,1493858677.3542981148, -1.1089, -0.1072, -0.2542, -4.7913, -2.1362, -5.1575
1493858677.3543689251,1493858677.3567779064, -1.1089, -0.1072, -0.2542, -4.7913, -2.1362, -5.1575
1493858677.3568480015,1493858677.3592989445, -1.1089, -0.1072, -0.2542, -4.7913, -2.1362, -5.1575
1493858677.3593690395,1493858677.3617720604, -1.1089, -0.1072, -0.2510, -3.9673, -1.9226, -4.9591
1493858677.3618431091,1493858677.3642499447, -1.1199, -0.1038, -0.2510, -3.9673, -1.9226, -4.9591
1493858677.3643200397,1493858677.3667280674, -1.1199, -0.1038, -0.2510, -3.9673, -1.9226, -4.9591
1493858677.3667979240,1493858677.3691101074, -1.1199, -0.1038, -0.2510, -3.9673, -1.9226, -4.9591
1493858677.3691799641,1493858677.3714690208, -1.1199, -0.1038, -0.2510, -3.9673, -1.9226, -5.0049
1493858677.3715379238,1493858677.3738169670, -1.1199, -0.1038, -0.2510, -3.7537, -1.8158, -5.0049
1493858677.3738870621,1493858677.3761689663, -1.1199, -0.1038, -0.2510, -3.7537, -1.8158, -5.0049
1493858677.3762390614,1493858677.3785979748, -1.1199, -0.1038, -0.2510, -3.7537, -1.8158, -5.0049
1493858677.3786680698,1493858677.3810760975, -1.1199, -0.1038, -0.2510, -3.7537, -1.8158, -5.0049
1493858677.3811450005,1493858677.3835570812, -1.1123, -0.1011, -0.2410, -4.1656, -2.2736, -4.9591
1493858677.3836269379,1493858677.3860421181, -1.1123, -0.1011, -0.2410, -4.1656, -2.2736, -4.9591
1493858677.3861119747,1493858677.3884460926, -1.1123, -0.1011, -0.2410, -4.1656, -2.2736, -4.9591
1493858677.3885169029,1493858677.3908019066, -1.1123, -0.1011, -0.2410, -4.1656, -2.2736, -4.9591
1493858677.3908720016,1493858677.3931539059, -1.1123, -0.1011, -0.2410, -4.2725, -2.1973, -4.9133
1493858677.3932240009,1493858677.3955020905, -1.1123, -0.1011, -0.2410, -4.2725, -2.1973, -4.9133
1493858677.3955719471,1493858677.3980190754, -1.1123, -0.1011, -0.2410, -4.2725, -2.1973, -4.9133
1493858677.3980889320,1493858677.4003710747, -1.1123, -0.1011, -0.2410, -4.2725, -2.1973, -4.9133
