P_i,P_t,P_v,T_i,T_t,T_v
1127,1494875824.3004000187,101.547203,871,1494875823.6749475002,-94.497704
2188,1494875826.8770146370,181.198105,1414,1494875824.9980449677,-111.511200
2363,1494875827.2999315262,76.904297,2350,1494875827.2689239979,-87.493896
3092,1494875829.0764288902,163.085907,2407,1494875827.4060554504,-100.250198
3310,1494875829.6057915688,89.019798,3293,1494875829.5636384487,-67.855797
4125,1494875831.5912103653,204.177902,3349,1494875829.7009749413,-103.027298
4272,1494875831.9508624077,66.909798,4251,1494875831.8994092941,-64.681999
4991,1494875833.7051069736,197.830200,4299,1494875832.0156714916,-123.535202
5181,1494875834.1694796085,62.545799,5168,1494875834.1382184029,-39.901699
5991,1494875836.1465110779,196.182297,5217,1494875834.2559080124,-97.549400
6199,1494875836.6550641060,90.927101,6185,1494875836.6209955215,-85.052498
,,,6229,1494875836.7289605141,-133.514404
