timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493846165.5481309891,1493846165.5505349636, -1.3889, -0.2869, -0.0635, -5.3406, -0.5493, -4.7607
1493846165.5506730080,1493846165.5529539585, -1.3889, -0.2869, -0.0635, -5.3406, -0.5493, -4.7607
1493846165.5530250072,1493846165.5553050041, -1.3889, -0.2244, -0.0459, -5.3406, -0.5493, -4.7607
1493846165.5553760529,1493846165.5576579571, -1.1116, -0.2271, -0.0459, -5.3406, -0.5493, -4.7607
1493846165.5577290058,1493846165.5600171089, -1.1116, -0.2271, -0.0459, -5.3406, -0.5493, -5.3406
1493846165.5600879192,1493846165.5623619556, -1.1116, -0.2271, -0.0459, -4.4403, -0.6104, -5.3406
1493846165.5624339581,1493846165.5648140907, -1.1116, -0.2271, -0.0459, -4.4403, -0.6104, -5.3406
1493846165.5648839474,1493846165.5671720505, -1.1116, -0.2271, -0.0459, -4.4403, -0.6104, -5.3406
1493846165.5672430992,1493846165.5696198940, -1.1116, -0.2271, -0.0459, -4.4403, -0.6104, -5.3406
1493846165.5696909428,1493846165.5719799995, -1.1116, -0.2271, -0.0459, -4.3182, -0.8240, -5.6152
1493846165.5720510483,1493846165.5743279457, -1.1116, -0.2271, -0.0459, -4.3182, -0.8240, -5.6152
1493846165.5743989944,1493846165.5766808987, -1.1123, -0.2266, -0.0525, -4.3182, -0.8240, -5.6152
1493846165.5767519474,1493846165.5791440010, -1.1123, -0.2266, -0.0525, -4.3182, -0.8240, -5.6152
1493846165.5792150497,1493846165.5815019608, -1.1123, -0.2266, -0.0525, -4.3182, -0.8240, -5.9967
1493846165.5815730095,1493846165.5838539600, -1.1123, -0.2266, -0.0525, -4.2725, -0.4883, -5.9967
1493846165.5839250088,1493846165.5862140656, -1.1123, -0.2266, -0.0525, -4.2725, -0.4883, -5.9967
1493846165.5862839222,1493846165.5886399746, -1.1123, -0.2266, -0.0525, -4.2725, -0.4883, -5.9967
1493846165.5887100697,1493846165.5911231041, -1.1123, -0.2266, -0.0525, -4.2725, -0.4883, -5.9967
1493846165.5911939144,1493846165.5935978889, -1.1123, -0.2266, -0.0525, -4.4403, -0.3662, -6.1493
1493846165.5936698914,1493846165.5960710049, -1.1023, -0.2363, -0.0400, -4.4403, -0.3662, -6.1493
1493846165.5961430073,1493846165.5985929966, -1.1023, -0.2363, -0.0400, -4.4403, -0.3662, -6.1493
1493846165.5986649990,1493846165.6009500027, -1.1023, -0.2363, -0.0400, -4.4403, -0.3662, -6.1493
1493846165.6010210514,1493846165.6033029556, -1.1023, -0.2363, -0.0400, -4.5013, -0.6561, -5.9662
1493846165.6033740044,1493846165.6056590080, -1.1023, -0.2363, -0.0400, -4.5013, -0.6561, -5.9662
1493846165.6057300568,1493846165.6080119610, -1.1023, -0.2363, -0.0400, -4.5013, -0.6561, -5.9662
1493846165.6080820560,1493846165.6104850769, -1.1023, -0.2363, -0.0400, -4.5013, -0.6561, -5.9662
1493846165.6105558872,1493846165.6128399372, -1.1023, -0.2363, -0.0400, -4.5013, -0.6561, -5.5847
1493846165.6129100323,1493846165.6151900291, -1.1023, -0.2363, -0.0410, -4.5624, -0.3204, -5.5847
1493846165.6152610779,1493846165.6175479889, -1.1016, -0.2388, -0.0410, -4.5624, -0.3204, -5.5847
1493846165.6176190376,1493846165.6200668812, -1.1016, -0.2388, -0.0410, -4.5624, -0.3204, -5.5847
1493846165.6201379299,1493846165.6224129200, -1.1016, -0.2388, -0.0410, -4.5624, -0.3204, -5.5847
1493846165.6224830151,1493846165.6247680187, -1.1016, -0.2388, -0.0410, -4.6692, -0.7172, -5.1117
1493846165.6248381138,1493846165.6271159649, -1.1016, -0.2388, -0.0410, -4.6692, -0.7172, -5.1117
1493846165.6271860600,1493846165.6295208931, -1.1016, -0.2388, -0.0410, -4.6692, -0.7172, -5.1117
1493846165.6295919418,1493846165.6318769455, -1.1016, -0.2388, -0.0410, -4.6692, -0.7172, -5.1117
1493846165.6319460869,1493846165.6342270374, -1.1016, -0.2388, -0.0410, -4.6692, -0.7172, -4.9438
1493846165.6342968941,1493846165.6365818977, -1.0984, -0.2397, -0.0334, -5.0964, -0.4272, -4.9438
1493846165.6366519928,1493846165.6389989853, -1.0984, -0.2397, -0.0334, -5.0964, -0.4272, -4.9438
1493846165.6390690804,1493846165.6413490772, -1.0984, -0.2397, -0.0334, -5.0964, -0.4272, -4.9438
