timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1496520168.0264589787,1496520168.0287458897, -1.1567,  0.1074, -0.0032,  1.3580, -4.3488, -0.0153
1496520168.0288319588,1496520168.0311141014, -1.1567,  0.1074, -0.0032,  1.3580, -4.3488, -0.0153
1496520168.0311861038,1496520168.0336179733, -1.1567,  0.1074, -0.0032,  1.3580, -4.3488, -0.0153
1496520168.0336899757,1496520168.0359749794, -1.1567,  0.1074, -0.0032,  1.0834, -4.4708,  0.4425
1496520168.0360479355,1496520168.0383319855, -1.1567,  0.1074, -0.0032,  1.0834, -4.4708,  0.4425
1496520168.0384039879,1496520168.0406830311, -1.1567,  0.1074, -0.0032,  1.0834, -4.4708,  0.4425
1496520168.0407559872,1496520168.0430679321, -1.1567,  0.1074, -0.0032,  1.0834, -4.4708,  0.4425
1496520168.0431399345,1496520168.0455129147, -1.1567,  0.1074, -0.0032,  1.0834, -6.2866,  0.0610
1496520168.0455849171,1496520168.0478689671, -1.1582,  0.0950, -0.0039,  0.1068, -6.2866,  0.0610
1496520168.0479431152,1496520168.0502240658, -1.1582,  0.0950, -0.0039,  0.1068, -6.2866,  0.0610
1496520168.0502970219,1496520168.0533509254, -1.1582,  0.0950, -0.0039,  0.1068, -6.2866,  0.0610
1496520168.0534300804,1496520168.0557529926, -1.1582,  0.0950, -0.0039,  0.1068, -6.2866, -0.0458
1496520168.0558259487,1496520168.0581119061, -1.1582,  0.0950, -0.0039, -0.8850, -7.0496, -0.0458
1496520168.0581860542,1496520168.0605010986, -1.1582,  0.0950, -0.0039, -0.8850, -7.0496, -0.0458
1496520168.0605740547,1496520168.0630500317, -1.1582,  0.0950, -0.0039, -0.8850, -7.0496, -0.0458
1496520168.0631320477,1496520168.0655651093, -1.1582,  0.0950, -0.0039, -0.8850, -7.0496, -0.0458
1496520168.0656409264,1496520168.0680460930, -1.1506,  0.0872,  0.0220, -1.0834, -7.5073, -0.2899
1496520168.0681190491,1496520168.0705289841, -1.1506,  0.0872,  0.0220, -1.0834, -7.5073, -0.2899
1496520168.0706000328,1496520168.0730190277, -1.1506,  0.0872,  0.0220, -1.0834, -7.5073, -0.2899
1496520168.0730900764,1496520168.0754990578, -1.1506,  0.0872,  0.0220, -1.0834, -7.5073, -0.2899
1496520168.0755710602,1496520168.0779750347, -1.1506,  0.0872,  0.0220,  0.3662, -7.9956, -1.2054
1496520168.0780470371,1496520168.0804541111, -1.1506,  0.0872,  0.0220,  0.3662, -7.9956, -1.2054
1496520168.0805249214,1496520168.0829210281, -1.1506,  0.0872,  0.0220,  0.3662, -7.9956, -1.2054
1496520168.0829920769,1496520168.0852780342, -1.1506,  0.0872,  0.0220,  0.3662, -7.9956, -1.2054
1496520168.0853490829,1496520168.0876340866, -1.1387,  0.1201, -0.0020,  0.3662, -4.0894, -1.4801
1496520168.0877070427,1496520168.0899930000, -1.1387,  0.1201, -0.0020,  0.9308, -6.9580, -1.4801
1496520168.0900659561,1496520168.0923519135, -1.1387,  0.1201, -0.0020,  0.9308, -6.9580, -1.4801
1496520168.0924239159,1496520168.0947079659, -1.1387,  0.1201, -0.0020,  0.9308, -6.9580, -1.4801
1496520168.0947799683,1496520168.0970680714, -1.1387,  0.1201, -0.0020,  0.9308, -6.9580, -1.4801
1496520168.0971400738,1496520168.0994229317, -1.1387,  0.1201, -0.0020,  1.6479, -6.2256, -1.5259
1496520168.0994930267,1496520168.1017730236, -1.1387,  0.1201, -0.0020,  1.6479, -6.2256, -1.5259
1496520168.1018440723,1496520168.1041390896, -1.1387,  0.1201, -0.0020,  1.6479, -6.2256, -1.5259
1496520168.1042089462,1496520168.1064980030, -1.1387,  0.1201, -0.0020,  1.6479, -6.2256, -1.5259
1496520168.1065690517,1496520168.1092319489, -1.1453,  0.1184, -0.0005,  1.6479, -5.0812, -1.8921
1496520168.1093039513,1496520168.1115939617, -1.1453,  0.1184, -0.0005,  1.5717, -5.0812, -1.8921
1496520168.1116640568,1496520168.1140389442, -1.1453,  0.1184, -0.0005,  1.5717, -5.0812, -1.8921
1496520168.1141099930,1496520168.1165220737, -1.1453,  0.1184, -0.0005,  1.5717, -5.0812, -1.8921
1496520168.1165928841,1496520168.1191539764, -1.1453,  0.1184, -0.0005,  1.5717, -5.0812, -2.3193
1496520168.1192269325,1496520168.1216421127, -1.1453,  0.1184, -0.0005,  1.6327, -4.6997, -2.3193
1496520168.1217141151,1496520168.1241340637, -1.1453,  0.1184, -0.0005,  1.6327, -4.6997, -2.3193
1496520168.1242051125,1496520168.1266129017, -1.1453,  0.1184, -0.0005,  1.6327, -4.6997, -2.3193
1496520168.1266839504,1496520168.1290900707, -1.1406,  0.1316, -0.0176,  1.6327, -4.6997, -2.3193
1496520168.1293060780,1496520168.1317179203, -1.1406,  0.1316, -0.0176,  1.8768, -4.7607, -2.4872
1496520168.1317889690,1496520168.1342051029, -1.1406,  0.1316, -0.0176,  1.8768, -4.7607, -2.4872
1496520168.1342759132,1496520168.1366810799, -1.1406,  0.1316, -0.0176,  1.8768, -4.7607, -2.4872
1496520168.1367509365,1496520168.1391539574, -1.1406,  0.1316, -0.0176,  1.8768, -4.7607, -2.4872
1496520168.1392250061,1496520168.1416299343, -1.1406,  0.1316, -0.0176,  1.1444, -5.3558, -2.5940
1496520168.1417009830,1496520168.1440680027, -1.1406,  0.1316, -0.0176,  1.1444, -5.3558, -2.5940
1496520168.1441380978,1496520168.1464219093, -1.1406,  0.1316, -0.0176,  1.1444, -5.3558, -2.5940
1496520168.1464910507,1496520168.1487760544, -1.1450,  0.1255,  0.0005,  1.1444, -5.3558, -2.5940
1496520168.1488471031,1496520168.1511299610, -1.1450,  0.1255,  0.0005,  1.1444, -5.3558, -2.3499
1496520168.1511991024,1496520168.1535270214, -1.1450,  0.1255,  0.0005, -0.6256, -5.8746, -2.3499
1496520168.1535990238,1496520168.1563200951, -1.1450,  0.1255,  0.0005, -0.6256, -5.8746, -2.3499
1496520168.1563940048,1496520168.1586771011, -1.1450,  0.1255,  0.0005, -0.6256, -5.8746, -2.3499
1496520168.1587469578,1496520168.1610329151, -1.1450,  0.1255,  0.0005, -0.6256, -5.8746, -2.3499
1496520168.1611039639,1496520168.1634409428, -1.1450,  0.1255,  0.0005, -0.6409, -6.5613, -2.5482
1496520168.1635150909,1496520168.1659328938, -1.1450,  0.1255,  0.0005, -0.6409, -6.5613, -2.5482
1496520168.1660048962,1496520168.1684129238, -1.1660,  0.0935,  0.0120, -0.6409, -6.5613, -2.5482
1496520168.1684839725,1496520168.1708929539, -1.1660,  0.0935,  0.0120, -0.6409, -6.5613, -2.5482
1496520168.1709640026,1496520168.1733899117, -1.1660,  0.0935,  0.0120, -0.1373, -6.2103, -2.7161
1496520168.1734619141,1496520168.1758680344, -1.1660,  0.0935,  0.0120, -0.1373, -6.2103, -2.7161
1496520168.1759390831,1496520168.1783490181, -1.1660,  0.0935,  0.0120, -0.1373, -6.2103, -2.7161
1496520168.1784200668,1496520168.1808280945, -1.1660,  0.0935,  0.0120, -0.1373, -6.2103, -2.7161
1496520168.1809000969,1496520168.1833240986, -1.1660,  0.0935,  0.0120,  1.0071, -5.9662, -2.4109
1496520168.1833939552,1496520168.1856820583, -1.1660,  0.0935,  0.0120,  1.0071, -5.9662, -2.4109
1496520168.1857509613,1496520168.1880340576, -1.1636,  0.0857,  0.0020,  1.0071, -5.9662, -2.4109
1496520168.1881051064,1496520168.1903910637, -1.1636,  0.0857,  0.0020,  1.0071, -5.9662, -2.4109
1496520168.1904621124,1496520168.1927809715, -1.1636,  0.0857,  0.0020,  1.0071, -5.9662, -2.4109
1496520168.1928520203,1496520168.1951329708, -1.1636,  0.0857,  0.0020,  3.5553, -5.7068, -2.4872
1496520168.1952030659,1496520168.1974871159, -1.1636,  0.0857,  0.0020,  3.5553, -5.7068, -2.4872
1496520168.1975569725,1496520168.1998488903, -1.1636,  0.0857,  0.0020,  3.5553, -5.7068, -2.4872
1496520168.1999189854,1496520168.2022039890, -1.1636,  0.0857,  0.0020,  3.5553, -5.7068, -2.4872
1496520168.2022740841,1496520168.2046039104, -1.1636,  0.0857,  0.0020,  6.6833, -5.7526, -1.9531
1496520168.2046749592,1496520168.2069571018, -1.1636,  0.0857,  0.0232,  6.6833, -5.7526, -1.9531
1496520168.2070269585,1496520168.2093110085, -1.1479,  0.0825,  0.0232,  6.6833, -5.7526, -1.9531
1496520168.2093811035,1496520168.2116689682, -1.1479,  0.0825,  0.0232,  6.6833, -5.7526, -1.9531
1496520168.2117390633,1496520168.2141840458, -1.1479,  0.0825,  0.0232,  6.6833, -5.7526, -1.6022
1496520168.2142529488,1496520168.2165329456, -1.1479,  0.0825,  0.0232,  9.2621, -5.7220, -1.6022
1496520168.2166039944,1496520168.2188920975, -1.1479,  0.0825,  0.0232,  9.2621, -5.7220, -1.6022
1496520168.2189619541,1496520168.2212491035, -1.1479,  0.0825,  0.0232,  9.2621, -5.7220, -1.6022
1496520168.2213180065,1496520168.2236959934, -1.1479,  0.0825,  0.0232,  9.2621, -5.7220, -1.6022
1496520168.2237670422,1496520168.2261750698, -1.1479,  0.0825,  0.0232, 11.1237, -5.9509, -1.1902
1496520168.2262499332,1496520168.2286610603, -1.1431,  0.1038,  0.0017, 11.1237, -5.9509, -1.1902
1496520168.2288560867,1496520168.2312719822, -1.1431,  0.1038,  0.0017, 11.1237, -5.9509, -1.1902
1496520168.2313480377,1496520168.2337720394, -1.1431,  0.1038,  0.0017, 11.1237, -5.9509, -1.1902
1496520168.2338469028,1496520168.2362530231, -1.1431,  0.1038,  0.0017, 12.5885, -5.8289, -0.9613
1496520168.2363290787,1496520168.2387409210, -1.1431,  0.1038,  0.0017, 12.5885, -5.8289, -0.9613
1496520168.2388169765,1496520168.2412300110, -1.1431,  0.1038,  0.0017, 12.5885, -5.8289, -0.9613
1496520168.2413070202,1496520168.2437329292, -1.1431,  0.1038,  0.0017, 12.5885, -5.8289, -0.9613
1496520168.2438089848,1496520168.2462139130, -1.1431,  0.1038,  0.0017, 12.5885, -5.8289, -0.0305
1496520168.2462909222,1496520168.2486898899, -1.1550,  0.0916,  0.0129, 13.2751, -6.2103, -0.0305
1496520168.2487649918,1496520168.2511789799, -1.1550,  0.0916,  0.0129, 13.2751, -6.2103, -0.0305
1496520168.2512540817,1496520168.2536079884, -1.1550,  0.0916,  0.0129, 13.2751, -6.2103, -0.0305
1496520168.2536830902,1496520168.2561368942, -1.1550,  0.0916,  0.0129, 13.2751, -6.2103, -0.0305
1496520168.2562119961,1496520168.2584989071, -1.1550,  0.0916,  0.0129, 14.1144, -6.9733,  0.4425
1496520168.2585749626,1496520168.2608580589, -1.1550,  0.0916,  0.0129, 14.1144, -6.9733,  0.4425
1496520168.2609329224,1496520168.2633180618, -1.1550,  0.0916,  0.0129, 14.1144, -6.9733,  0.4425
1496520168.2633929253,1496520168.2657639980, -1.1550,  0.0916,  0.0129, 14.1144, -6.9733,  0.4425
1496520168.2658379078,1496520168.2687780857, -1.1511,  0.0586,  0.0312, 17.3187, -7.2327,  0.7935
1496520168.2688560486,1496520168.2712609768, -1.1511,  0.0586,  0.0312, 17.3187, -7.2327,  0.7935
1496520168.2713370323,1496520168.2737300396, -1.1511,  0.0586,  0.0312, 17.3187, -7.2327,  0.7935
1496520168.2738049030,1496520168.2761769295, -1.1511,  0.0586,  0.0312, 17.3187, -7.2327,  0.7935
1496520168.2762520313,1496520168.2786231041, -1.1511,  0.0586,  0.0312, 22.7203, -8.5144,  0.9766
1496520168.2786979675,1496520168.2810680866, -1.1511,  0.0586,  0.0312, 22.7203, -8.5144,  0.9766
1496520168.2811439037,1496520168.2835619450, -1.1511,  0.0586,  0.0312, 22.7203, -8.5144,  0.9766
1496520168.2836380005,1496520168.2860479355, -1.1511,  0.0586,  0.0312, 22.7203, -8.5144,  0.9766
1496520168.2861230373,1496520168.2885329723, -1.1392,  0.0640,  0.0132, 22.7203, -8.5144,  0.7629
1496520168.2886080742,1496520168.2910170555, -1.1392,  0.0640,  0.0132, 28.3356, -9.3231,  0.7629
1496520168.2910919189,1496520168.2935900688, -1.1392,  0.0640,  0.0132, 28.3356, -9.3231,  0.7629
1496520168.2936658859,1496520168.2960739136, -1.1392,  0.0640,  0.0132, 28.3356, -9.3231,  0.7629
1496520168.2961490154,1496520168.2985579967, -1.1392,  0.0640,  0.0132, 28.3356, -9.3231,  0.7629
1496520168.2986330986,1496520168.3010389805, -1.1392,  0.0640,  0.0132, 33.7524,-10.0403,  0.7782
1496520168.3011190891,1496520168.3034880161, -1.1392,  0.0640,  0.0132, 33.7524,-10.0403,  0.7782
1496520168.3035669327,1496520168.3058509827, -1.1392,  0.0640,  0.0132, 33.7524,-10.0403,  0.7782
1496520168.3059279919,1496520168.3082149029, -1.1426,  0.0994,  0.0291, 33.7524,-10.0403,  0.7782
1496520168.3082919121,1496520168.3105769157, -1.1426,  0.0994,  0.0291, 39.0320,-11.4441,  0.3662
1496520168.3106539249,1496520168.3130800724, -1.1426,  0.0994,  0.0291, 39.0320,-11.4441,  0.3662
1496520168.3131589890,1496520168.3154499531, -1.1426,  0.0994,  0.0291, 39.0320,-11.4441,  0.3662
1496520168.3155269623,1496520168.3178129196, -1.1426,  0.0994,  0.0291, 39.0320,-11.4441,  0.3662
1496520168.3178899288,1496520168.3201739788, -1.1426,  0.0994,  0.0291, 39.0320,-15.3503,  0.1068
1496520168.3202528954,1496520168.3226740360, -1.1426,  0.0994,  0.0291, 43.5638,-12.3291,  0.1068
