timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495664580.7525029182,1495664580.7551929951, -1.1323, -0.0886,  0.1316, -6.1188, -1.8921, -4.6387
1495664580.7553210258,1495664580.7576010227, -1.1335, -0.0945,  0.1282, -6.1188, -1.8921, -4.6387
1495664580.7576720715,1495664580.7599499226, -1.1335, -0.0945,  0.1282, -5.7983, -1.9684, -5.2643
1495664580.7600200176,1495664580.7625210285, -1.1335, -0.0945,  0.1282, -5.7983, -1.9684, -5.2643
1495664580.7625920773,1495664580.7648758888, -1.1335, -0.0945,  0.1282, -5.7983, -1.9684, -5.2643
1495664580.7649459839,1495664580.7672328949, -1.1335, -0.0945,  0.1282, -5.7983, -1.9684, -5.2643
1495664580.7673029900,1495664580.7695848942, -1.1335, -0.0945,  0.1282, -5.4016, -2.5177, -5.5237
1495664580.7696540356,1495664580.7719709873, -1.1335, -0.0945,  0.1282, -5.4016, -2.5177, -5.5237
1495664580.7720398903,1495664580.7743229866, -1.1335, -0.0945,  0.1282, -5.4016, -2.5177, -5.5237
1495664580.7743930817,1495664580.7766740322, -1.1294, -0.0891,  0.1372, -5.4016, -2.5177, -5.5237
1495664580.7767438889,1495664580.7790260315, -1.1294, -0.0891,  0.1372, -5.4016, -2.5177, -4.2114
1495664580.7790949345,1495664580.7815759182, -1.1294, -0.0891,  0.1372, -6.5155, -1.6785, -4.2114
1495664580.7816460133,1495664580.7839300632, -1.1294, -0.0891,  0.1372, -6.5155, -1.6785, -4.2114
1495664580.7839999199,1495664580.7862820625, -1.1294, -0.0891,  0.1372, -6.5155, -1.6785, -4.2114
1495664580.7863509655,1495664580.7886319160, -1.1294, -0.0891,  0.1372, -6.5155, -1.6785, -4.2114
1495664580.7887010574,1495664580.7910370827, -1.1294, -0.0891,  0.1372, -5.9357, -1.4496, -4.3030
1495664580.7911069393,1495664580.7933900356, -1.1294, -0.0891,  0.1372, -5.9357, -1.4496, -4.3030
