timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495411169.0223269463,1495411169.0246090889, -1.1199, -0.1541,  0.1138, -7.9803, -5.6000, -8.9874
1495411169.0246949196,1495411169.0269770622, -1.1145, -0.1606,  0.1138, -7.9803, -5.6000, -8.9874
1495411169.0270490646,1495411169.0294890404, -1.1145, -0.1606,  0.1138, -7.9803, -5.6000, -8.9874
1495411169.0295600891,1495411169.0320010185, -1.1145, -0.1606,  0.1138, -6.6986, -6.5613, -9.6741
1495411169.0320730209,1495411169.0343520641, -1.1145, -0.1606,  0.1138, -6.6986, -6.5613, -9.6741
1495411169.0344231129,1495411169.0367019176, -1.1145, -0.1606,  0.1138, -6.6986, -6.5613, -9.6741
1495411169.0367720127,1495411169.0390489101, -1.1145, -0.1606,  0.1138, -6.6986, -6.5613, -9.6741
1495411169.0391199589,1495411169.0415740013, -1.1145, -0.1606,  0.1138, -4.7913, -6.6681,-10.0403
1495411169.0416491032,1495411169.0440440178, -1.1145, -0.1606,  0.1138, -4.7913, -6.6681,-10.0403
1495411169.0441188812,1495411169.0466840267, -1.1145, -0.1575,  0.1016, -4.7913, -6.6681,-10.0403
1495411169.0467579365,1495411169.0490419865, -1.1145, -0.1575,  0.1016, -4.7913, -6.6681,-10.0403
1495411169.0491149426,1495411169.0532870293, -1.1145, -0.1575,  0.1016, -3.2349, -6.3019,-10.7727
1495411169.0533649921,1495411169.0557270050, -1.1145, -0.1575,  0.1016, -3.2349, -6.3019,-10.7727
1495411169.0558021069,1495411169.0580780506, -1.1145, -0.1575,  0.1016, -3.2349, -6.3019,-10.7727
1495411169.0581510067,1495411169.0604979992, -1.1145, -0.1575,  0.1016, -3.2349, -6.3019,-10.7727
1495411169.0605719090,1495411169.0629310608, -1.1145, -0.1575,  0.1016, -2.0752, -6.5155,-11.4136
1495411169.0630059242,1495411169.0652909279, -1.1145, -0.1570,  0.1143, -2.0752, -6.5155,-11.4136
1495411169.0653650761,1495411169.0676450729, -1.1130, -0.1570,  0.1143, -2.0752, -6.5155,-11.4136
1495411169.0677189827,1495411169.0700440407, -1.1130, -0.1570,  0.1143, -2.0752, -6.5155,-11.4136
1495411169.0701169968,1495411169.0724260807, -1.1130, -0.1570,  0.1143, -2.0752, -6.5155,-11.4136
1495411169.0724999905,1495411169.0747840405, -1.1130, -0.1570,  0.1143, -1.0834, -6.4087,-11.6882
1495411169.0748579502,1495411169.0771400928, -1.1130, -0.1570,  0.1143, -1.0834, -6.4087,-11.6882
1495411169.0772140026,1495411169.0795140266, -1.1130, -0.1570,  0.1143, -1.0834, -6.4087,-11.6882
1495411169.0795879364,1495411169.0818700790, -1.1130, -0.1570,  0.1143, -1.0834, -6.4087,-11.6882
1495411169.0819430351,1495411169.0842249393, -1.1130, -0.1570,  0.1143, -1.3123, -6.4087,-11.4899
1495411169.0842978954,1495411169.0865809917, -1.1118, -0.1504,  0.1011, -1.3123, -6.4087,-11.4899
1495411169.0866539478,1495411169.0889389515, -1.1118, -0.1504,  0.1011, -1.3123, -6.4087,-11.4899
1495411169.0890119076,1495411169.0913679600, -1.1118, -0.1504,  0.1011, -1.3123, -6.4087,-11.4899
1495411169.0914430618,1495411169.0937309265, -1.1118, -0.1504,  0.1011, -1.3123, -6.4087,-10.5896
1495411169.0938038826,1495411169.0960888863, -1.1118, -0.1504,  0.1011, -1.7242, -6.1951,-10.5896
1495411169.0961630344,1495411169.0984430313, -1.1118, -0.1504,  0.1011, -1.7242, -6.1951,-10.5896
1495411169.0985169411,1495411169.1009409428, -1.1118, -0.1504,  0.1011, -1.7242, -6.1951,-10.5896
1495411169.1010150909,1495411169.1032979488, -1.1118, -0.1504,  0.1011, -1.7242, -6.1951,-10.5896
1495411169.1033720970,1495411169.1056559086, -1.1067, -0.1516,  0.1116, -2.0599, -5.3253, -9.4757
1495411169.1057269573,1495411169.1080060005, -1.1067, -0.1516,  0.1116, -2.0599, -5.3253, -9.4757
1495411169.1080760956,1495411169.1105771065, -1.1067, -0.1516,  0.1116, -2.0599, -5.3253, -9.4757
1495411169.1106479168,1495411169.1130549908, -1.1067, -0.1516,  0.1116, -2.0599, -5.3253, -9.4757
1495411169.1131260395,1495411169.1155300140, -1.1067, -0.1516,  0.1116, -2.0599, -4.1809, -7.7362
1495411169.1156001091,1495411169.1180078983, -1.1067, -0.1516,  0.1116, -3.1128, -4.1809, -7.7362
1495411169.1180789471,1495411169.1204359531, -1.1067, -0.1516,  0.1116, -3.1128, -4.1809, -7.7362
1495411169.1205060482,1495411169.1227889061, -1.1067, -0.1516,  0.1116, -3.1128, -4.1809, -7.7362
1495411169.1228590012,1495411169.1251349449, -1.1067, -0.1514,  0.0967, -3.1128, -4.1809, -7.7362
1495411169.1253440380,1495411169.1276268959, -1.1128, -0.1514,  0.0967, -4.6997, -3.3875, -5.7983
1495411169.1276960373,1495411169.1300709248, -1.1128, -0.1514,  0.0967, -4.6997, -3.3875, -5.7983
1495411169.1301410198,1495411169.1325340271, -1.1128, -0.1514,  0.0967, -4.6997, -3.3875, -5.7983
1495411169.1326038837,1495411169.1350209713, -1.1128, -0.1514,  0.0967, -4.6997, -3.3875, -5.7983
1495411169.1350920200,1495411169.1373798847, -1.1128, -0.1514,  0.0967, -7.1106, -1.9989, -3.0212
1495411169.1374499798,1495411169.1398479939, -1.1128, -0.1514,  0.0967, -7.1106, -1.9989, -3.0212
1495411169.1399190426,1495411169.1422920227, -1.1128, -0.1514,  0.0967, -7.1106, -1.9989, -3.0212
1495411169.1423621178,1495411169.1447370052, -1.1128, -0.1514,  0.0967, -7.1106, -1.9989, -3.0212
1495411169.1448059082,1495411169.1482799053, -1.1174, -0.1497,  0.0984, -8.6365, -0.6104, -1.4038
1495411169.1483550072,1495411169.1507370472, -1.1174, -0.1497,  0.0984, -8.6365, -0.6104, -1.4038
1495411169.1508090496,1495411169.1530849934, -1.1174, -0.1497,  0.0984, -8.6365, -0.6104, -1.4038
1495411169.1531569958,1495411169.1554319859, -1.1174, -0.1497,  0.0984, -8.6365, -0.6104, -1.4038
1495411169.1555030346,1495411169.1577880383, -1.1174, -0.1497,  0.0984, -8.6365,  0.8545, -0.8240
1495411169.1578609943,1495411169.1601579189, -1.1174, -0.1497,  0.0984,-10.1013,  0.8545, -0.8240
1495411169.1602339745,1495411169.1625208855, -1.1174, -0.1497,  0.0984,-10.1013,  0.8545, -0.8240
1495411169.1625959873,1495411169.1648750305, -1.1174, -0.1497,  0.0896,-10.1013,  0.8545, -0.8240
