timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493860610.4768130779,1493860610.4800190926, -1.3630, -0.2788, -0.2690, -4.5776, -2.9144, -5.0201
1493860610.4801609516,1493860610.4825699329, -1.3630, -0.2788, -0.2690, -4.5776, -2.9144, -5.0201
1493860610.4826469421,1493860610.4850120544, -1.0986, -0.2314, -0.1951, -5.2338, -1.5106, -5.1880
1493860610.4850840569,1493860610.4873890877, -1.0986, -0.2314, -0.1951, -5.2338, -1.5106, -5.1880
1493860610.4874598980,1493860610.4897439480, -1.0986, -0.2314, -0.1951, -5.2338, -1.5106, -5.1880
1493860610.4898130894,1493860610.4920949936, -1.0986, -0.2314, -0.1951, -5.2338, -1.5106, -5.1880
1493860610.4921650887,1493860610.4944450855, -1.0986, -0.2314, -0.1951, -5.0201, -2.0294, -4.8981
1493860610.4945149422,1493860610.4967920780, -1.0986, -0.2314, -0.1951, -5.0201, -2.0294, -4.8981
1493860610.4968609810,1493860610.4997971058, -1.0986, -0.2314, -0.1951, -5.0201, -2.0294, -4.8981
1493860610.4998679161,1493860610.5021529198, -1.0986, -0.2314, -0.1951, -5.0201, -2.0294, -4.8981
1493860610.5022230148,1493860610.5044999123, -1.0986, -0.2373, -0.2097, -4.8218, -2.7771, -4.6692
1493860610.5045690536,1493860610.5068459511, -1.0920, -0.2373, -0.2097, -4.8218, -2.7771, -4.6692
1493860610.5069959164,1493860610.5092830658, -1.0920, -0.2373, -0.2097, -4.8218, -2.7771, -4.6692
1493860610.5093519688,1493860610.5116300583, -1.0920, -0.2373, -0.2097, -4.8218, -2.7771, -4.6692
1493860610.5116989613,1493860610.5139789581, -1.0920, -0.2373, -0.2097, -4.8218, -2.7771, -4.6692
1493860610.5140480995,1493860610.5163340569, -1.0920, -0.2373, -0.2097, -5.2490, -2.7924, -4.6234
1493860610.5164029598,1493860610.5186920166, -1.0920, -0.2373, -0.2097, -5.2490, -2.7924, -4.6234
1493860610.5187621117,1493860610.5210440159, -1.0920, -0.2373, -0.2097, -5.2490, -2.7924, -4.6234
1493860610.5211129189,1493860610.5237538815, -1.0920, -0.2373, -0.2097, -5.2490, -2.7924, -4.6234
1493860610.5238320827,1493860610.5261271000, -1.0925, -0.2334, -0.2000, -5.2643, -3.2196, -4.8981
1493860610.5261979103,1493860610.5284850597, -1.0925, -0.2334, -0.2000, -5.2643, -3.2196, -4.8981
1493860610.5285549164,1493860610.5308370590, -1.0925, -0.2334, -0.2000, -5.2643, -3.2196, -4.8981
1493860610.5309069157,1493860610.5331909657, -1.0925, -0.2334, -0.2000, -5.2643, -3.2196, -4.8981
1493860610.5332601070,1493860610.5356819630, -1.0925, -0.2334, -0.2000, -5.2643, -3.2196, -4.8065
1493860610.5357520580,1493860610.5380730629, -1.0925, -0.2334, -0.2000, -4.7302, -2.9755, -4.8065
1493860610.5381419659,1493860610.5407578945, -1.0925, -0.2334, -0.2000, -4.7302, -2.9755, -4.8065
1493860610.5408289433,1493860610.5431389809, -1.0925, -0.2334, -0.2000, -4.7302, -2.9755, -4.8065
1493860610.5432100296,1493860610.5455229282, -1.0969, -0.2290, -0.1968, -4.7302, -2.9755, -4.8065
1493860610.5455920696,1493860610.5480020046, -1.0969, -0.2290, -0.1968, -4.2267, -2.8839, -4.7760
1493860610.5480720997,1493860610.5504748821, -1.0969, -0.2290, -0.1968, -4.2267, -2.8839, -4.7760
1493860610.5505449772,1493860610.5529561043, -1.0969, -0.2290, -0.1968, -4.2267, -2.8839, -4.7760
1493860610.5530269146,1493860610.5554308891, -1.0969, -0.2290, -0.1968, -4.2267, -2.8839, -4.7760
1493860610.5555000305,1493860610.5578660965, -1.0969, -0.2290, -0.1968, -4.3640, -2.7618, -4.8218
1493860610.5579359531,1493860610.5602240562, -1.0969, -0.2290, -0.1968, -4.3640, -2.7618, -4.8218
1493860610.5602929592,1493860610.5625710487, -1.0969, -0.2290, -0.1968, -4.3640, -2.7618, -4.8218
1493860610.5626399517,1493860610.5649271011, -1.0911, -0.2285, -0.2024, -4.3640, -2.7618, -4.8218
1493860610.5649960041,1493860610.5673580170, -1.0911, -0.2285, -0.2024, -4.3640, -2.7618, -4.1656
1493860610.5674290657,1493860610.5698349476, -1.0911, -0.2285, -0.2024, -4.3793, -2.4719, -4.1656
1493860610.5699040890,1493860610.5723168850, -1.0911, -0.2285, -0.2024, -4.3793, -2.4719, -4.1656
