timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493858615.7359490395,1493858615.7383120060, -1.1116, -0.1211, -0.2322, -5.6610, -0.7477, -6.0425
1493858615.7384469509,1493858615.7407269478, -1.3120, -0.1516, -0.2075, -5.6610, -0.7477, -6.0425
1493858615.7407970428,1493858615.7430789471, -1.3120, -0.1516, -0.2075, -5.6610, -0.7477, -6.0425
1493858615.7431480885,1493858615.7454268932, -1.3120, -0.1516, -0.2075, -5.6610, -0.7477, -6.0425
1493858615.7454960346,1493858615.7477838993, -1.3120, -0.1516, -0.2075, -5.6610, -0.9918, -6.8207
1493858615.7478530407,1493858615.7501299381, -1.3120, -0.1516, -0.2075, -5.5695, -0.9918, -6.8207
1493858615.7501990795,1493858615.7524778843, -1.1128, -0.1272, -0.1716, -5.5695, -0.9918, -6.8207
1493858615.7525470257,1493858615.7548251152, -1.1128, -0.1272, -0.1716, -5.5695, -0.9918, -6.8207
1493858615.7548940182,1493858615.7571909428, -1.1128, -0.1272, -0.1716, -5.5695, -0.9918, -6.8207
1493858615.7572610378,1493858615.7595388889, -1.1128, -0.1272, -0.1716, -5.6915, -1.1597, -6.1035
1493858615.7596080303,1493858615.7618880272, -1.1128, -0.1272, -0.1716, -5.6915, -1.1597, -6.1035
1493858615.7619569302,1493858615.7642390728, -1.1128, -0.1272, -0.1716, -5.6915, -1.1597, -6.1035
1493858615.7643079758,1493858615.7665889263, -1.1128, -0.1272, -0.1716, -5.6915, -1.1597, -6.1035
1493858615.7666571140,1493858615.7690310478, -1.1128, -0.1272, -0.1716, -5.6915, -0.8392, -6.1188
1493858615.7691009045,1493858615.7713959217, -1.1128, -0.1357, -0.1848, -5.6458, -0.8392, -6.1188
1493858615.7714660168,1493858615.7737560272, -1.1108, -0.1357, -0.1848, -5.6458, -0.8392, -6.1188
1493858615.7738249302,1493858615.7761158943, -1.1108, -0.1357, -0.1848, -5.6458, -0.8392, -6.1188
1493858615.7761850357,1493858615.7785649300, -1.1108, -0.1357, -0.1848, -5.6458, -0.8392, -6.1188
1493858615.7786350250,1493858615.7810420990, -1.1108, -0.1357, -0.1848, -5.2795, -0.9613, -5.6000
1493858615.7811119556,1493858615.7835280895, -1.1108, -0.1357, -0.1848, -5.2795, -0.9613, -5.6000
1493858615.7835979462,1493858615.7860100269, -1.1108, -0.1357, -0.1848, -5.2795, -0.9613, -5.6000
1493858615.7860810757,1493858615.7885460854, -1.1108, -0.1357, -0.1848, -5.2795, -0.9613, -5.6000
1493858615.7886159420,1493858615.7910320759, -1.1108, -0.1357, -0.1824, -5.5084, -1.0986, -5.0354
1493858615.7911009789,1493858615.7935180664, -1.1135, -0.1333, -0.1824, -5.5084, -1.0986, -5.0354
1493858615.7935879230,1493858615.7960069180, -1.1135, -0.1333, -0.1824, -5.5084, -1.0986, -5.0354
1493858615.7960770130,1493858615.7985310555, -1.1135, -0.1333, -0.1824, -5.5084, -1.0986, -5.0354
1493858615.7985999584,1493858615.8010170460, -1.1135, -0.1333, -0.1824, -5.3711, -1.0986, -4.6387
1493858615.8010859489,1493858615.8034989834, -1.1135, -0.1333, -0.1824, -5.3711, -1.0986, -4.6387
1493858615.8035678864,1493858615.8059821129, -1.1135, -0.1333, -0.1824, -5.3711, -1.0986, -4.6387
1493858615.8060519695,1493858615.8085160255, -1.1135, -0.1333, -0.1824, -5.3711, -1.0986, -4.6387
1493858615.8085849285,1493858615.8109970093, -1.1135, -0.1333, -0.1887, -5.3711, -1.0986, -4.4708
1493858615.8110671043,1493858615.8134820461, -1.1223, -0.1245, -0.1887, -5.1880, -0.5493, -4.4708
1493858615.8135530949,1493858615.8159680367, -1.1223, -0.1245, -0.1887, -5.1880, -0.5493, -4.4708
1493858615.8160378933,1493858615.8184120655, -1.1223, -0.1245, -0.1887, -5.1880, -0.5493, -4.4708
1493858615.8184831142,1493858615.8207700253, -1.1223, -0.1245, -0.1887, -5.1880, -0.5493, -4.4708
1493858615.8208398819,1493858615.8231260777, -1.1223, -0.1245, -0.1887, -4.8981, -0.9918, -4.4098
1493858615.8231959343,1493858615.8254780769, -1.1223, -0.1245, -0.1887, -4.8981, -0.9918, -4.4098
1493858615.8255488873,1493858615.8279430866, -1.1223, -0.1245, -0.1887, -4.8981, -0.9918, -4.4098
1493858615.8280129433,1493858615.8304200172, -1.1223, -0.1245, -0.1887, -4.8981, -0.9918, -4.4098
1493858615.8304910660,1493858615.8329000473, -1.1216, -0.1228, -0.1882, -5.2490, -1.2207, -4.2572
1493858615.8329699039,1493858615.8353779316, -1.1216, -0.1228, -0.1882, -5.2490, -1.2207, -4.2572
1493858615.8354480267,1493858615.8378999233, -1.1216, -0.1228, -0.1882, -5.2490, -1.2207, -4.2572
1493858615.8381168842,1493858615.8405249119, -1.1216, -0.1228, -0.1882, -5.2490, -1.2207, -4.2572
1493858615.8405950069,1493858615.8430030346, -1.1216, -0.1228, -0.1882, -5.2490, -1.2360, -4.3793
1493858615.8430728912,1493858615.8454830647, -1.1216, -0.1228, -0.1882, -5.4779, -1.2360, -4.3793
1493858615.8455519676,1493858615.8479719162, -1.1216, -0.1228, -0.1882, -5.4779, -1.2360, -4.3793
1493858615.8480420113,1493858615.8504500389, -1.1216, -0.1228, -0.1882, -5.4779, -1.2360, -4.3793
1493858615.8505198956,1493858615.8529260159, -1.1113, -0.1226, -0.1821, -5.4779, -1.2360, -4.3793
1493858615.8529961109,1493858615.8554060459, -1.1113, -0.1226, -0.1821, -4.9744, -1.2054, -4.7913
1493858615.8554759026,1493858615.8579249382, -1.1113, -0.1226, -0.1821, -4.9744, -1.2054, -4.7913
1493858615.8579940796,1493858615.8604080677, -1.1113, -0.1226, -0.1821, -4.9744, -1.2054, -4.7913
1493858615.8604779243,1493858615.8628890514, -1.1113, -0.1226, -0.1821, -4.9744, -1.2054, -4.7913
1493858615.8629579544,1493858615.8653669357, -1.1113, -0.1226, -0.1821, -4.9133, -0.5798, -4.8828
1493858615.8654360771,1493858615.8677959442, -1.1113, -0.1226, -0.1821, -4.9133, -0.5798, -4.8828
1493858615.8678660393,1493858615.8701529503, -1.1113, -0.1226, -0.1821, -4.9133, -0.5798, -4.8828
1493858615.8702230453,1493858615.8725059032, -1.1167, -0.1270, -0.1790, -4.9133, -0.5798, -4.8828
1493858615.8725759983,1493858615.8748559952, -1.1167, -0.1270, -0.1790, -4.9133, -1.0071, -4.8676
