timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495049530.3510060310,1495049530.3563299179, -1.0977, -0.1731, -0.2051, 10.3607, -1.9379,  0.5798
1495049530.3564710617,1495049530.3590641022, -1.0977, -0.1731, -0.2051,-75.5768,-142.5018,  0.5493
1495049530.3591461182,1495049530.3616950512, -1.0977, -0.1731, -0.2051,-76.8890,-142.5018,  0.5493
1495049530.3617749214,1495049530.3640570641, -1.0977, -0.1731, -0.2051,-76.8890,-142.5018,  0.5493
1495049530.3641350269,1495049530.3664920330, -1.0977, -0.1731, -0.2051,-76.8890,-142.5018,  0.5493
1495049530.3665709496,1495049530.3689999580, -1.0977, -0.1731, -0.2051,-76.8890,-216.5985, -2.0905
1495049530.3690791130,1495049530.3713579178, -1.0977, -0.1731, -0.2114,-85.8307,-216.5985, -2.0905
1495049530.3714349270,1495049530.3737149239, -1.0945, -0.1631, -0.2114,-85.8307,-216.5985, -2.0905
1495049530.3737919331,1495049530.3761820793, -1.0945, -0.1631, -0.2114,-85.8307,-216.5985, -2.0905
1495049530.3762600422,1495049530.3785829544, -1.0945, -0.1631, -0.2114,-85.8307,-216.5985, -2.0905
1495049530.3786599636,1495049530.3809380531, -1.0945, -0.1631, -0.2114,-80.7190,-204.0863, -1.7242
1495049530.3810150623,1495049530.3835489750, -1.0945, -0.1631, -0.2114,-80.7190,-204.0863, -1.7242
1495049530.3836269379,1495049530.3859789371, -1.0945, -0.1631, -0.2114,-80.7190,-204.0863, -1.7242
1495049530.3860559464,1495049530.3884849548, -1.0945, -0.1631, -0.2114,-80.7190,-204.0863, -1.7242
1495049530.3885619640,1495049530.3908410072, -1.0945, -0.1631, -0.2114,-80.5206,-203.8727, -1.8311
1495049530.3909180164,1495049530.3931939602, -1.1055, -0.0627, -0.2144,-80.5206,-203.8727, -1.8311
1495049530.3932719231,1495049530.3955540657, -1.1055, -0.0627, -0.2144,-80.5206,-203.8727, -1.8311
1495049530.3956689835,1495049530.3979880810, -1.1055, -0.0627, -0.2144,-80.5206,-203.8727, -1.8311
1495049530.3980650902,1495049530.4003450871, -1.1055, -0.0627, -0.2144,-80.7343,-203.6133, -1.6785
1495049530.4004220963,1495049530.4027070999, -1.1055, -0.0627, -0.2144,-80.7343,-203.6133, -1.6785
1495049530.4027841091,1495049530.4050619602, -1.1055, -0.0627, -0.2144,-80.7343,-203.6133, -1.6785
1495049530.4051389694,1495049530.4075279236, -1.1055, -0.0627, -0.2144,-80.7343,-203.6133, -1.6785
1495049530.4076049328,1495049530.4098880291, -1.1055, -0.0627, -0.2144,-80.7343,-203.6133, -1.8005
1495049530.4099650383,1495049530.4122409821, -1.1279, -0.1067, -0.2190,-80.9326,-203.7659, -1.8005
1495049530.4123179913,1495049530.4145979881, -1.1279, -0.1067, -0.2190,-80.9326,-203.7659, -1.8005
1495049530.4146759510,1495049530.4171121120, -1.1279, -0.1067, -0.2190,-80.9326,-203.7659, -1.8005
1495049530.4171888828,1495049530.4195559025, -1.1279, -0.1067, -0.2190,-80.9326,-203.7659, -1.8005
1495049530.4196341038,1495049530.4219210148, -1.1279, -0.1067, -0.2190,-78.8879,-201.2177, -2.2888
