P_i,P_t,P_v,T_i,T_t,T_v
1714,1495049570.8132586479,308.502197,1740,1495049570.8748605251,-131.088303
1833,1495049571.0983254910,75.576797,1889,1495049571.2356572151,-338.149994
1898,1495049571.2569050789,-68.206802,1907,1495049571.2784814835,-212.524399
1916,1495049571.2997465134,-73.425301,1924,1495049571.3189713955,-178.817703
2016,1495049571.5412509441,37.277199,2410,1495049572.4940266609,-63.736000
2637,1495049573.0438699722,313.125610,2671,1495049573.1264820099,-96.954300
2785,1495049573.4030244350,38.208000,2815,1495049573.4756293297,-283.569305
2823,1495049573.4959135056,-9.811400,2832,1495049573.5171937943,-242.599503
2837,1495049573.5291266441,-115.860001,2846,1495049573.5505874157,-217.727707
2924,1495049573.7404298782,50.521900,3210,1495049574.4276876450,-65.246597
3506,1495049575.1457035542,272.735596,3554,1495049575.2622418404,-105.392502
3646,1495049575.4848699570,16.525299,3676,1495049575.5569024086,-294.189514
3685,1495049575.5783975124,-1.403800,3707,1495049575.6325044632,-263.000488
4510,1495049577.5768594742,276.382385,4541,1495049577.6510624886,-104.904198
4616,1495049577.8316884041,31.204201,4672,1495049577.9678220749,-261.123688
4680,1495049577.9888048172,-11.962900,4702,1495049578.0411295891,-256.103485
4719,1495049578.0833053589,56.579601,5192,1495049579.2252101898,-80.657997
5502,1495049579.9767189026,271.957397,5663,1495049580.3669970036,-238.403305
5676,1495049580.3980314732,-34.851101,5690,1495049580.4316306114,-241.973907
5716,1495049580.4943549633,98.602303,6122,1495049581.4776206017,-71.517899
6497,1495049582.3854503632,246.368393,6545,1495049582.5021815300,-107.727097
6602,1495049582.6400549412,27.832001,6653,1495049582.7652301788,-247.848495
6666,1495049582.7975690365,-57.723999,6680,1495049582.8306889534,-223.800705
6706,1495049582.8926239014,73.791496,7058,1495049583.7489864826,-77.789299
7398,1495049584.5742704868,312.759399,7432,1495049584.6570405960,-158.843994
7477,1495049584.7646183968,62.332199,7574,1495049584.9972033501,-261.108398
7583,1495049585.0185098648,29.113800,7600,1495049585.0608000755,-323.562592
