timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495414539.0224070549,1495414539.0247700214,  0.0869, -0.9297, -0.2429,-15.5334, -4.3640,-10.0403
1495414539.0248630047,1495414539.0272920132,  0.0369, -0.9121, -0.1958,-15.5334, -4.3640,-17.8528
1495414539.0273709297,1495414539.0296549797,  0.0369, -0.9121, -0.1958,-38.5437,-18.3105,-19.1956
1495414539.0297350883,1495414539.0323739052,  0.0369, -0.9121, -0.1958,-38.5437,-18.3105,-19.1956
1495414539.0324530602,1495414539.0347421169,  0.0369, -0.9121, -0.1958,-38.5437,-18.3105,-19.1956
1495414539.0349700451,1495414539.0385670662,  0.0369, -0.9121, -0.1958,-38.5437,-34.7443,-29.7089
1495414539.0386490822,1495414539.0409269333,  0.0369, -0.9121, -0.1958,-50.3082,-34.7443,-29.7089
1495414539.0410048962,1495414539.0432839394,  0.0369, -0.9121, -0.1958,-50.3082,-34.7443,-29.7089
1495414539.0433619022,1495414539.0457000732, -0.1506, -0.8718, -0.1101,-50.3082,-34.7443,-29.7089
1495414539.0457789898,1495414539.0480940342, -0.1860, -0.8718, -0.1101,-50.3082,-34.7443,-29.7089
1495414539.0481729507,1495414539.0504550934, -0.1860, -0.8718, -0.1101,-47.1344,-51.3763,-31.2195
1495414539.0505340099,1495414539.0528149605, -0.1860, -0.8718, -0.1101,-47.1344,-51.3763,-31.2195
1495414539.0528941154,1495414539.0553059578, -0.1860, -0.8718, -0.1101,-47.1344,-51.3763,-31.2195
1495414539.0553851128,1495414539.0577321053, -0.1860, -0.8718, -0.1101,-47.1344,-51.3763,-31.2195
1495414539.0578110218,1495414539.0600969791, -0.1860, -0.8718, -0.1101,-48.3856,-65.7806,-24.9329
1495414539.0601749420,1495414539.0624599457, -0.1860, -0.8718, -0.1101,-48.3856,-65.7806,-24.9329
1495414539.0625379086,1495414539.0648190975, -0.1860, -0.8718, -0.0476,-48.3856,-65.7806,-24.9329
1495414539.0648970604,1495414539.0672309399, -0.2661, -0.8838, -0.0610,-48.3856,-65.7806,-24.9329
1495414539.0673100948,1495414539.0695888996, -0.2661, -0.8838, -0.0610,-48.3856,-65.7806,-17.1204
1495414539.0696671009,1495414539.0719490051, -0.2661, -0.8838, -0.0610,-45.8679,-70.4346,-17.0135
1495414539.0720279217,1495414539.0743141174, -0.2661, -0.8838, -0.0610,-45.8679,-70.4346,-17.0135
1495414539.0743920803,1495414539.0767219067, -0.2661, -0.8838, -0.0610,-45.8679,-70.4346,-17.0135
1495414539.0768010616,1495414539.0790929794, -0.2661, -0.8838, -0.0610,-45.8679,-70.4346,-17.0135
1495414539.0791718960,1495414539.0814580917, -0.2661, -0.8838, -0.0610,-35.9650,-65.0024,-10.8795
1495414539.0815379620,1495414539.0838201046, -0.2661, -0.8838, -0.0610,-35.9650,-65.0024,-10.8795
1495414539.0838990211,1495414539.0861880779, -0.2231, -0.8384, -0.1152,-35.9650,-65.0024,-10.8795
1495414539.0864880085,1495414539.0887780190, -0.2231, -0.8384, -0.1152,-35.9650,-65.0024,-10.8795
1495414539.0888578892,1495414539.0911529064, -0.2231, -0.8384, -0.1152,-35.9650,-65.0024, -6.8054
1495414539.0912289619,1495414539.0935211182, -0.2231, -0.8384, -0.1152,-28.7323,-53.1464, -6.8054
1495414539.0935978889,1495414539.0958840847, -0.2231, -0.8384, -0.1152,-28.7323,-53.1464, -6.8054
1495414539.0959599018,1495414539.0984570980, -0.2231, -0.8384, -0.1152,-28.7323,-53.1464, -6.8054
1495414539.0985341072,1495414539.1008250713, -0.2231, -0.8384, -0.1152,-28.7323,-53.1464, -6.8054
1495414539.1009020805,1495414539.1031949520, -0.2231, -0.8384, -0.1152,-22.0795,-40.8173, -5.0201
1495414539.1032710075,1495414539.1055629253, -0.2231, -0.8789, -0.2063,-22.0795,-40.8173, -5.0201
1495414539.1056399345,1495414539.1080279350, -0.1445, -0.8789, -0.2063,-22.0795,-40.8173, -5.0201
1495414539.1081049442,1495414539.1105160713, -0.1445, -0.8789, -0.2063,-22.0795,-40.8173, -5.0201
1495414539.1105918884,1495414539.1130030155, -0.1445, -0.8789, -0.2063,-12.6190,-31.6010, -3.4790
1495414539.1130800247,1495414539.1154909134, -0.1445, -0.8789, -0.2063,-12.6190,-31.6010, -3.4790
1495414539.1155679226,1495414539.1179881096, -0.1445, -0.8789, -0.2063,-12.6190,-31.6010, -3.4790
1495414539.1180651188,1495414539.1204679012, -0.1445, -0.8789, -0.2063,-12.6190,-31.6010, -3.4790
1495414539.1205449104,1495414539.1229479313, -0.1445, -0.8789, -0.2063,-12.6190,-23.7885, -4.3335
1495414539.1230239868,1495414539.1254339218, -0.1445, -0.8789, -0.2163, -8.7280,-26.4740, -4.3335
