P_i,P_t,P_v,T_i,T_t,T_v
533,1495049640.6115131378,73.181198,616,1495049640.8126754761,-217.544601
676,1495049640.9609410763,27.099600,760,1495049641.1626324654,-245.498703
865,1495049641.4159164429,399.230988,943,1495049641.6061339378,-470.367401
995,1495049641.7312715054,23.986799,1057,1495049641.8812339306,-269.622803
1170,1495049642.1552147865,436.553986,1243,1495049642.3359041214,-472.808807
1281,1495049642.4288835526,-62.789902,1295,1495049642.4624638557,-358.627289
1303,1495049642.4815809727,-7.003800,1347,1495049642.5877814293,-279.464691
1455,1495049642.8518328667,498.535187,1529,1495049643.0315940380,-498.214691
1600,1495049643.2017378807,1.510600,1635,1495049643.2868320942,-262.420685
1739,1495049643.5393753052,420.974701,1831,1495049643.7614715099,-498.107910
1900,1495049643.9307699203,-9.735100,1931,1495049644.0044820309,-281.799286
2038,1495049644.2681818008,475.250214,2121,1495049644.4697480202,-499.114990
2185,1495049644.6284840107,-6.317100,2223,1495049644.7241244316,-279.281586
2323,1495049644.9677360058,416.656494,2414,1495049645.1892933846,-492.187500
2487,1495049645.3676509857,-32.363899,2522,1495049645.4527344704,-256.210297
2622,1495049645.6954474449,475.891113,2710,1495049645.9070580006,-499.542206
2784,1495049646.0856709480,-8.117700,2824,1495049646.1828379631,-258.651703
2924,1495049646.4239153862,449.173004,3016,1495049646.6469769478,-490.600586
3098,1495049646.8481359482,-20.233200,3132,1495049646.9324550629,-271.225006
3232,1495049647.1752643585,461.120605,3310,1495049647.3655915260,-479.461700
3358,1495049647.4820771217,-69.366501,3428,1495049647.6510438919,-189.910904
3520,1495049647.8737874031,413.986206,3589,1495049648.0421454906,-487.991302
3793,1495049648.5373694897,278.167694,,,
