timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493860508.9162108898,1493860508.9186410904, -1.3481, -0.2742, -0.0659, -5.4626, -0.5341, -4.8218
1493860508.9187779427,1493860508.9210569859, -1.3481, -0.2742, -0.0659, -5.4626, -0.5341, -4.8218
1493860508.9211289883,1493860508.9234099388, -1.3481, -0.2742, -0.0659, -5.4626, -0.5341, -4.8218
1493860508.9234809875,1493860508.9258680344, -1.3481, -0.2307, -0.0977, -5.5389, -1.3123, -5.9967
1493860508.9259390831,1493860508.9283139706, -1.1030, -0.2307, -0.0977, -5.5389, -1.3123, -5.9967
1493860508.9283850193,1493860508.9306681156, -1.1030, -0.2307, -0.0977, -5.5389, -1.3123, -5.9967
1493860508.9307379723,1493860508.9330189228, -1.1030, -0.2307, -0.0977, -5.5389, -1.3123, -5.9967
1493860508.9330880642,1493860508.9353749752, -1.1030, -0.2307, -0.0977, -5.0812, -1.4954, -5.4626
1493860508.9354450703,1493860508.9379379749, -1.1030, -0.2307, -0.0977, -5.0812, -1.4954, -5.4626
1493860508.9380090237,1493860508.9402849674, -1.1030, -0.2307, -0.0977, -5.0812, -1.4954, -5.4626
1493860508.9403550625,1493860508.9426429272, -1.1030, -0.2307, -0.0977, -5.0812, -1.4954, -5.4626
1493860508.9427139759,1493860508.9450850487, -1.1030, -0.2307, -0.0977, -5.0812, -1.4954, -5.0049
1493860508.9451560974,1493860508.9479360580, -1.1052, -0.2310, -0.1021, -4.9591, -1.1597, -5.0049
1493860508.9480090141,1493860508.9502899647, -1.1052, -0.2310, -0.1021, -4.9591, -1.1597, -5.0049
1493860508.9503600597,1493860508.9526410103, -1.1052, -0.2310, -0.1021, -4.9591, -1.1597, -5.0049
1493860508.9527111053,1493860508.9549970627, -1.1052, -0.2310, -0.1021, -4.9591, -1.1597, -5.0049
1493860508.9550669193,1493860508.9573929310, -1.1052, -0.2310, -0.1021, -5.3558, -1.1749, -4.7607
1493860508.9574630260,1493860508.9598770142, -1.1052, -0.2310, -0.1021, -5.3558, -1.1749, -4.7607
1493860508.9599480629,1493860508.9623649120, -1.1052, -0.2310, -0.1021, -5.3558, -1.1749, -4.7607
1493860508.9624350071,1493860508.9648420811, -1.1052, -0.2310, -0.1021, -5.3558, -1.1749, -4.7607
1493860508.9649128914,1493860508.9673390388, -1.1006, -0.2329, -0.1028, -6.2866, -0.7477, -4.8828
1493860508.9674100876,1493860508.9698140621, -1.1006, -0.2329, -0.1028, -6.2866, -0.7477, -4.8828
1493860508.9698851109,1493860508.9722919464, -1.1006, -0.2329, -0.1028, -6.2866, -0.7477, -4.8828
1493860508.9723629951,1493860508.9747769833, -1.1006, -0.2329, -0.1028, -6.2866, -0.7477, -4.8828
1493860508.9748470783,1493860508.9772799015, -1.1006, -0.2329, -0.1028, -6.2866, -0.5341, -5.2948
1493860508.9773499966,1493860508.9796369076, -1.1006, -0.2329, -0.1028, -5.6610, -0.5341, -5.2948
1493860508.9797079563,1493860508.9819979668, -1.1006, -0.2329, -0.1028, -5.6610, -0.5341, -5.2948
1493860508.9820690155,1493860508.9843499660, -1.1006, -0.2329, -0.1028, -5.6610, -0.5341, -5.2948
1493860508.9844210148,1493860508.9867110252, -1.0994, -0.2297, -0.0999, -5.6610, -0.5341, -5.2948
1493860508.9867820740,1493860508.9890749454, -1.0994, -0.2297, -0.0999, -6.0272, -0.7935, -4.9286
1493860508.9891459942,1493860508.9914319515, -1.0994, -0.2297, -0.0999, -6.0272, -0.7935, -4.9286
1493860508.9915020466,1493860508.9937930107, -1.0994, -0.2297, -0.0999, -6.0272, -0.7935, -4.9286
1493860508.9938619137,1493860508.9961459637, -1.0994, -0.2297, -0.0999, -6.0272, -0.7935, -4.9286
1493860508.9962170124,1493860508.9986739159, -1.0994, -0.2297, -0.0999, -6.2103, -0.9308, -4.6692
1493860508.9987449646,1493860509.0010409355, -1.0994, -0.2297, -0.0999, -6.2103, -0.9308, -4.6692
1493860509.0011110306,1493860509.0034000874, -1.0994, -0.2297, -0.0999, -6.2103, -0.9308, -4.6692
1493860509.0034708977,1493860509.0057621002, -1.0994, -0.2297, -0.1038, -6.2103, -0.9308, -4.6692
1493860509.0058329105,1493860509.0083069801, -1.1001, -0.2317, -0.1038, -6.2103, -0.9308, -4.6692
1493860509.0083789825,1493860509.0107879639, -1.1001, -0.2317, -0.1038, -5.2338, -0.7629, -4.9744
1493860509.0108590126,1493860509.0132720470, -1.1001, -0.2317, -0.1038, -5.2338, -0.7629, -4.9744
1493860509.0133430958,1493860509.0157549381, -1.1001, -0.2317, -0.1038, -5.2338, -0.7629, -4.9744
1493860509.0158259869,1493860509.0182349682, -1.1001, -0.2317, -0.1038, -5.2338, -0.7629, -4.9744
1493860509.0184600353,1493860509.0208730698, -1.1001, -0.2317, -0.1038, -5.5847, -0.7782, -4.9744
1493860509.0209429264,1493860509.0233490467, -1.1001, -0.2317, -0.1038, -5.5847, -0.7782, -4.9744
1493860509.0234200954,1493860509.0258309841, -1.1001, -0.2317, -0.1067, -5.5847, -0.7782, -4.9744
1493860509.0259010792,1493860509.0283229351, -1.1013, -0.2344, -0.1067, -5.5847, -0.7782, -4.9744
1493860509.0283939838,1493860509.0308001041, -1.1013, -0.2344, -0.1067, -5.9814, -0.5646, -5.1575
1493860509.0308699608,1493860509.0332798958, -1.1013, -0.2344, -0.1067, -5.9814, -0.5646, -5.1575
1493860509.0333509445,1493860509.0357620716, -1.1013, -0.2344, -0.1067, -5.9814, -0.5646, -5.1575
1493860509.0358319283,1493860509.0381739140, -1.1013, -0.2344, -0.1067, -5.9814, -0.5646, -5.1575
1493860509.0382459164,1493860509.0405359268, -1.1013, -0.2344, -0.1067, -5.9814, -0.5646, -4.8065
1493860509.0406069756,1493860509.0428891182, -1.1013, -0.2344, -0.1067, -5.8746, -0.6866, -4.8065
1493860509.0429589748,1493860509.0452480316, -1.1013, -0.2344, -0.1067, -5.8746, -0.6866, -4.8065
1493860509.0453178883,1493860509.0479199886, -1.1042, -0.2219, -0.1050, -5.8746, -0.6866, -4.8065
1493860509.0479989052,1493860509.0511479378, -1.1042, -0.2219, -0.1050, -5.8746, -0.6866, -4.8218
1493860509.0512259007,1493860509.0540370941, -1.1042, -0.2219, -0.1050, -5.4321, -0.6104, -4.8218
1493860509.0541160107,1493860509.0565130711, -1.1042, -0.2219, -0.1050, -5.4321, -0.6104, -4.8218
1493860509.0565850735,1493860509.0590019226, -1.1042, -0.2219, -0.1050, -5.4321, -0.6104, -4.8218
1493860509.0590729713,1493860509.0614740849, -1.1042, -0.2219, -0.1050, -5.4321, -0.6104, -4.8676
1493860509.0615448952,1493860509.0640549660, -1.1042, -0.2219, -0.1050, -5.3406, -1.3428, -4.8676
1493860509.0641269684,1493860509.0665268898, -1.1030, -0.2283, -0.0979, -5.3406, -1.3428, -4.8676
1493860509.0665979385,1493860509.0694160461, -1.1030, -0.2283, -0.0979, -5.3406, -1.3428, -4.8676
1493860509.0694880486,1493860509.0718939304, -1.1030, -0.2283, -0.0979, -5.3406, -1.3428, -4.5624
1493860509.0719649792,1493860509.0743761063, -1.1030, -0.2283, -0.0979, -6.1798, -0.9460, -4.5624
1493860509.0744481087,1493860509.0768580437, -1.1030, -0.2283, -0.0979, -6.1798, -0.9460, -4.5624
1493860509.0769770145,1493860509.0793919563, -1.1030, -0.2283, -0.0979, -6.1798, -0.9460, -4.5624
1493860509.0794639587,1493860509.0818750858, -1.1030, -0.2283, -0.0979, -6.1798, -0.9460, -4.5624
1493860509.0819449425,1493860509.0843551159, -1.1030, -0.2283, -0.0979, -6.0730, -0.9003, -4.8065
1493860509.0844259262,1493860509.0868399143, -1.0986, -0.2322, -0.0999, -6.0730, -0.9003, -4.8065
1493860509.0869619846,1493860509.0893700123, -1.0986, -0.2322, -0.0999, -6.0730, -0.9003, -4.8065
1493860509.0894410610,1493860509.0918450356, -1.0986, -0.2322, -0.0999, -6.0730, -0.9003, -4.8065
1493860509.0919170380,1493860509.0943291187, -1.0986, -0.2322, -0.0999, -6.1035, -1.2817, -4.4403
1493860509.0943989754,1493860509.0968019962, -1.0986, -0.2322, -0.0999, -6.1035, -1.2817, -4.4403
1493860509.0969240665,1493860509.0992109776, -1.0986, -0.2322, -0.0999, -6.1035, -1.2817, -4.4403
1493860509.0992801189,1493860509.1015589237, -1.0986, -0.2322, -0.0999, -6.1035, -1.2817, -4.4403
1493860509.1016280651,1493860509.1039080620, -1.0986, -0.2322, -0.0999, -6.1035, -1.2817, -4.5013
1493860509.1039769650,1493860509.1062669754, -1.0986, -0.2349, -0.0938, -6.0120, -0.5341, -4.5013
1493860509.1063389778,1493860509.1086640358, -1.0967, -0.2349, -0.0938, -6.0120, -0.5341, -4.5013
1493860509.1087360382,1493860509.1110200882, -1.0967, -0.2349, -0.0938, -6.0120, -0.5341, -4.5013
1493860509.1110908985,1493860509.1133799553, -1.0967, -0.2349, -0.0938, -6.0120, -0.5341, -4.5013
1493860509.1134510040,1493860509.1157279015, -1.0967, -0.2349, -0.0938, -6.0883, -1.0376, -4.6234
1493860509.1157979965,1493860509.1182088852, -1.0967, -0.2349, -0.0938, -6.0883, -1.0376, -4.6234
1493860509.1182780266,1493860509.1205620766, -1.0967, -0.2349, -0.0938, -6.0883, -1.0376, -4.6234
1493860509.1207430363,1493860509.1230249405, -1.0967, -0.2349, -0.0938, -6.0883, -1.0376, -4.6234
1493860509.1230950356,1493860509.1253850460, -1.0967, -0.2349, -0.0938, -6.0883, -1.2360, -3.7079
1493860509.1254560947,1493860509.1279199123, -1.0959, -0.2349, -0.0964, -6.1951, -1.2360, -3.7079
1493860509.1279909611,1493860509.1303811073, -1.0959, -0.2349, -0.0964, -6.1951, -1.2360, -3.7079
1493860509.1304509640,1493860509.1328449249, -1.0959, -0.2349, -0.0964, -6.1951, -1.2360, -3.7079
1493860509.1329150200,1493860509.1352970600, -1.0959, -0.2349, -0.0964, -6.1951, -1.2360, -3.4943
1493860509.1353669167,1493860509.1377739906, -1.0959, -0.2349, -0.0964, -6.1646, -1.1292, -3.4943
1493860509.1378440857,1493860509.1402299404, -1.0959, -0.2349, -0.0964, -6.1646, -1.1292, -3.4943
1493860509.1402990818,1493860509.1426858902, -1.0959, -0.2349, -0.0964, -6.1646, -1.1292, -3.4943
1493860509.1427559853,1493860509.1451489925, -1.0959, -0.2349, -0.0964, -6.1646, -1.1292, -3.4943
1493860509.1452190876,1493860509.1475861073, -1.0969, -0.2329, -0.1042, -6.3477, -0.9766, -3.5553
1493860509.1476581097,1493860509.1499369144, -1.0969, -0.2329, -0.1042, -6.3477, -0.9766, -3.5553
1493860509.1500079632,1493860509.1522929668, -1.0969, -0.2329, -0.1042, -6.3477, -0.9766, -3.5553
1493860509.1523630619,1493860509.1546490192, -1.0969, -0.2329, -0.1042, -6.3477, -0.9766, -3.5553
1493860509.1547191143,1493860509.1570808887, -1.0969, -0.2329, -0.1042, -6.3477, -1.0376, -3.4180
1493860509.1571590900,1493860509.1595709324, -1.0969, -0.2329, -0.1042, -6.4087, -1.0376, -3.4180
1493860509.1596429348,1493860509.1620409489, -1.0969, -0.2329, -0.1042, -6.4087, -1.0376, -3.4180
1493860509.1621119976,1493860509.1645159721, -1.0969, -0.2329, -0.1042, -6.4087, -1.0376, -3.4180
1493860509.1645860672,1493860509.1669950485, -1.0945, -0.2363, -0.0967, -6.4087, -1.0376, -3.3264
