timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495049639.3175609112,1495049639.3207108974, -1.1030, -0.2061, -0.1370, -2.8839, -1.6174, -4.8065
1495049639.3208398819,1495049639.3232769966, -1.1030, -0.2102, -0.1494, -2.8839, -1.6174, -4.8065
1495049639.3233540058,1495049639.3256330490, -1.1030, -0.2102, -0.1494, -2.8839, -1.4801, -4.3945
1495049639.3257019520,1495049639.3281319141, -1.1030, -0.2102, -0.1494, -2.4261, -1.4801, -4.3945
1495049639.3282010555,1495049639.3304839134, -1.1030, -0.2102, -0.1494, -2.4261, -1.4801, -4.3945
1495049639.3305521011,1495049639.3328380585, -1.1030, -0.2102, -0.1494, -2.4261, -1.4801, -4.3945
1495049639.3329069614,1495049639.3351879120, -1.1030, -0.2102, -0.1494, -2.4261, -1.4801, -4.3945
1495049639.3352570534,1495049639.3377809525, -1.1030, -0.2102, -0.1494, -3.3112, -1.5564, -3.8757
1495049639.3378510475,1495049639.3401329517, -1.1030, -0.2102, -0.1494, -3.3112, -1.5564, -3.8757
1495049639.3402020931,1495049639.3427360058, -1.1062, -0.1992, -0.1453, -3.3112, -1.5564, -3.8757
1495049639.3428070545,1495049639.3450880051, -1.1062, -0.1992, -0.1453, -3.3112, -1.5564, -3.8757
1495049639.3451569080,1495049639.3475360870, -1.1062, -0.1992, -0.1453, -2.8381, -1.5717, -3.5248
1495049639.3476049900,1495049639.3498980999, -1.1062, -0.1992, -0.1453, -2.8381, -1.5717, -3.5248
1495049639.3499670029,1495049639.3522551060, -1.1062, -0.1992, -0.1453, -2.8381, -1.5717, -3.5248
1495049639.3523240089,1495049639.3546140194, -1.1062, -0.1992, -0.1453, -2.8381, -1.5717, -3.5248
1495049639.3546819687,1495049639.3570089340, -1.1062, -0.1992, -0.1453, -2.8381, -1.5717, -3.5858
1495049639.3570780754,1495049639.3595120907, -1.1062, -0.1992, -0.1453, -3.2654, -1.4343, -3.5858
1495049639.3595819473,1495049639.3618650436, -1.1133, -0.1973, -0.1487, -3.2654, -1.4343, -3.5858
1495049639.3619329929,1495049639.3642129898, -1.1133, -0.1973, -0.1487, -3.2654, -1.4343, -3.5858
1495049639.3642809391,1495049639.3665618896, -1.1133, -0.1973, -0.1487, -3.2654, -1.4343, -3.5858
1495049639.3666310310,1495049639.3691120148, -1.1133, -0.1973, -0.1487, -3.0670, -1.2665, -3.4790
1495049639.3691821098,1495049639.3715770245, -1.1133, -0.1973, -0.1487, -3.0670, -1.2665, -3.4790
1495049639.3716459274,1495049639.3740510941, -1.1133, -0.1973, -0.1487, -3.0670, -1.2665, -3.4790
1495049639.3741199970,1495049639.3765139580, -1.1133, -0.1973, -0.1487, -3.0670, -1.2665, -3.4790
1495049639.3765830994,1495049639.3789339066, -1.1133, -0.1973, -0.1487, -3.5858, -1.2512, -3.2349
1495049639.3790030479,1495049639.3812909126, -1.1133, -0.1973, -0.1387, -3.5858, -1.2512, -3.2349
1495049639.3813591003,1495049639.3836460114, -1.1096, -0.2029, -0.1387, -3.5858, -1.2512, -3.2349
1495049639.3837149143,1495049639.3859961033, -1.1096, -0.2029, -0.1387, -3.5858, -1.2512, -3.2349
1495049639.3860640526,1495049639.3884499073, -1.1096, -0.2029, -0.1387, -3.5858, -1.2512, -2.9297
1495049639.3885190487,1495049639.3908050060, -1.1096, -0.2029, -0.1387, -3.5553, -1.3275, -2.9297
1495049639.3908739090,1495049639.3931651115, -1.1096, -0.2029, -0.1387, -3.5553, -1.3275, -2.9297
1495049639.3932330608,1495049639.3955190182, -1.1096, -0.2029, -0.1387, -3.5553, -1.3275, -2.9297
1495049639.3955879211,1495049639.3980379105, -1.1096, -0.2029, -0.1387, -3.5553, -1.3275, -2.9297
1495049639.3981070518,1495049639.4003980160, -1.1096, -0.2029, -0.1387, -3.6163, -1.4648, -3.0365
1495049639.4004669189,1495049639.4027459621, -1.1035, -0.2007, -0.1416, -3.6163, -1.4648, -3.0365
1495049639.4028151035,1495049639.4051039219, -1.1035, -0.2007, -0.1416, -3.6163, -1.4648, -3.0365
1495049639.4051730633,1495049639.4074730873, -1.1035, -0.2007, -0.1416, -3.6163, -1.4648, -3.0365
1495049639.4075419903,1495049639.4099640846, -1.1035, -0.2007, -0.1416, -3.6163, -1.4648, -2.8534
1495049639.4100348949,1495049639.4123170376, -1.1035, -0.2007, -0.1416, -3.7994, -1.8463, -2.8534
1495049639.4123859406,1495049639.4146630764, -1.1035, -0.2007, -0.1416, -3.7994, -1.8463, -2.8534
1495049639.4147310257,1495049639.4172019958, -1.1035, -0.2007, -0.1416, -3.7994, -1.8463, -2.8534
1495049639.4172708988,1495049639.4195570946, -1.1035, -0.2007, -0.1416, -3.7994, -1.8463, -2.8534
1495049639.4197750092,1495049639.4220550060, -1.1082, -0.2024, -0.1404, -3.1891, -1.4496, -2.9602
1495049639.4221251011,1495049639.4258410931, -1.1082, -0.2024, -0.1404, -3.1891, -1.4496, -2.9602
1495049639.4259130955,1495049639.4282009602, -1.1082, -0.2024, -0.1404, -3.1891, -1.4496, -2.9602
1495049639.4282710552,1495049639.4305500984, -1.1082, -0.2024, -0.1404, -3.1891, -1.4496, -2.9602
1495049639.4306199551,1495049639.4329049587, -1.1082, -0.2024, -0.1404, -3.9215, -1.1292, -2.5635
1495049639.4329750538,1495049639.4352540970, -1.1082, -0.2024, -0.1404, -3.9215, -1.1292, -2.5635
1495049639.4353239536,1495049639.4376170635, -1.1082, -0.2024, -0.1404, -3.9215, -1.1292, -2.5635
1495049639.4376859665,1495049639.4399681091, -1.1082, -0.2024, -0.1404, -3.9215, -1.1292, -2.5635
1495049639.4400370121,1495049639.4423139095, -1.1052, -0.2004, -0.1416, -3.6316, -1.3428, -2.7618
1495049639.4423840046,1495049639.4446680546, -1.1052, -0.2004, -0.1416, -3.6316, -1.3428, -2.7618
1495049639.4447369576,1495049639.4470319748, -1.1052, -0.2004, -0.1416, -3.6316, -1.3428, -2.7618
1495049639.4471011162,1495049639.4493799210, -1.1052, -0.2004, -0.1416, -3.6316, -1.3428, -2.7618
1495049639.4494490623,1495049639.4517340660, -1.1052, -0.2004, -0.1416, -3.6316, -1.3428, -2.7618
1495049639.4518029690,1495049639.4540829659, -1.1052, -0.2004, -0.1416, -3.0365, -1.5259, -2.8534
1495049639.4541530609,1495049639.4564399719, -1.1052, -0.2004, -0.1416, -3.0365, -1.5259, -2.8534
1495049639.4565079212,1495049639.4587979317, -1.1052, -0.2004, -0.1416, -3.0365, -1.5259, -2.8534
1495049639.4588670731,1495049639.4611420631, -1.1052, -0.2004, -0.1567, -3.0365, -1.5259, -2.8534
1495049639.4612109661,1495049639.4634890556, -1.1062, -0.1887, -0.1567, -2.9449, -1.0071, -3.1281
1495049639.4635579586,1495049639.4658370018, -1.1062, -0.1887, -0.1567, -2.9449, -1.0071, -3.1281
1495049639.4659059048,1495049639.4682719707, -1.1062, -0.1887, -0.1567, -2.9449, -1.0071, -3.1281
1495049639.4683411121,1495049639.4706249237, -1.1062, -0.1887, -0.1567, -2.9449, -1.0071, -3.1281
1495049639.4706940651,1495049639.4729709625, -1.1062, -0.1887, -0.1567, -2.9449, -1.0071, -2.9755
1495049639.4730401039,1495049639.4753239155, -1.1062, -0.1887, -0.1567, -2.8229, -1.2054, -2.9755
1495049639.4753930569,1495049639.4778609276, -1.1062, -0.1887, -0.1567, -2.8229, -1.2054, -2.9755
