timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493860580.7463510036,1493860580.7493600845, -1.3936, -0.2214, -0.2058, -5.1575, -1.7395, -4.9286
1493860580.7494919300,1493860580.7517800331, -1.3936, -0.2214, -0.2058, -4.8981, -1.7395, -4.9286
1493860580.7518498898,1493860580.7541251183, -1.3936, -0.2214, -0.2058, -4.8981, -1.7395, -4.9286
1493860580.7541940212,1493860580.7564721107, -1.3936, -0.2214, -0.2058, -4.8981, -1.7395, -4.9286
1493860580.7565410137,1493860580.7588961124, -1.1130, -0.1667, -0.1450, -4.8981, -1.7395, -4.9286
1493860580.7589650154,1493860580.7612419128, -1.1130, -0.1667, -0.1450, -4.8218, -1.9073, -4.4403
1493860580.7613110542,1493860580.7636799812, -1.1130, -0.1667, -0.1450, -4.8218, -1.9073, -4.4403
1493860580.7637500763,1493860580.7660310268, -1.1130, -0.1667, -0.1450, -4.8218, -1.9073, -4.4403
1493860580.7661008835,1493860580.7688550949, -1.1130, -0.1667, -0.1450, -4.8218, -1.9073, -4.4403
1493860580.7689249516,1493860580.7712109089, -1.1130, -0.1667, -0.1450, -4.7302, -1.6632, -4.6692
1493860580.7712779045,1493860580.7735519409, -1.1130, -0.1667, -0.1450, -4.7302, -1.6632, -4.6692
1493860580.7736210823,1493860580.7759029865, -1.1130, -0.1667, -0.1450, -4.7302, -1.6632, -4.6692
1493860580.7759709358,1493860580.7784430981, -1.1130, -0.1653, -0.1575, -4.7302, -1.6632, -4.6692
1493860580.7785120010,1493860580.7809240818, -1.1223, -0.1653, -0.1575, -4.7302, -1.8463, -4.5166
1493860580.7809929848,1493860580.7834060192, -1.1223, -0.1653, -0.1575, -4.7913, -1.8463, -4.5166
1493860580.7834749222,1493860580.7858829498, -1.1223, -0.1653, -0.1575, -4.7913, -1.8463, -4.5166
1493860580.7859508991,1493860580.7883799076, -1.1223, -0.1653, -0.1575, -4.7913, -1.8463, -4.5166
1493860580.7884480953,1493860580.7908658981, -1.1223, -0.1653, -0.1575, -4.7913, -1.8463, -5.2795
1493860580.7909340858,1493860580.7933409214, -1.1223, -0.1653, -0.1575, -4.4556, -1.9226, -5.2795
1493860580.7934091091,1493860580.7958240509, -1.1223, -0.1653, -0.1575, -4.4556, -1.9226, -5.2795
1493860580.7958929539,1493860580.7982439995, -1.1223, -0.1704, -0.1580, -4.4556, -1.9226, -5.2795
1493860580.7983129025,1493860580.8005990982, -1.1157, -0.1704, -0.1580, -4.4556, -1.9226, -5.2795
1493860580.8006680012,1493860580.8029510975, -1.1157, -0.1704, -0.1580, -5.0507, -1.8921, -5.3253
1493860580.8030209541,1493860580.8053019047, -1.1157, -0.1704, -0.1580, -5.0507, -1.8921, -5.3253
1493860580.8053719997,1493860580.8077149391, -1.1157, -0.1704, -0.1580, -5.0507, -1.8921, -5.3253
1493860580.8077840805,1493860580.8100728989, -1.1157, -0.1704, -0.1580, -5.0507, -1.8921, -5.3253
1493860580.8101420403,1493860580.8124260902, -1.1157, -0.1704, -0.1580, -5.0507, -1.6632, -5.2185
1493860580.8124959469,1493860580.8147799969, -1.1157, -0.1704, -0.1580, -5.0354, -1.6632, -5.2185
1493860580.8148488998,1493860580.8172600269, -1.1157, -0.1704, -0.1580, -5.0354, -1.6632, -5.2185
1493860580.8173289299,1493860580.8196160793, -1.1111, -0.1748, -0.1504, -5.0354, -1.6632, -5.2185
1493860580.8196849823,1493860580.8219699860, -1.1111, -0.1748, -0.1504, -5.0354, -1.6632, -5.2185
1493860580.8220379353,1493860580.8243288994, -1.1111, -0.1748, -0.1504, -4.8981, -1.9531, -5.2490
1493860580.8243989944,1493860580.8266849518, -1.1111, -0.1748, -0.1504, -4.8981, -1.9531, -5.2490
1493860580.8267540932,1493860580.8291409016, -1.1111, -0.1748, -0.1504, -4.8981, -1.9531, -5.2490
1493860580.8292109966,1493860580.8314919472, -1.1111, -0.1748, -0.1504, -4.8981, -1.9531, -5.2490
1493860580.8315610886,1493860580.8339910507, -1.1111, -0.1748, -0.1504, -5.0507, -1.5869, -4.9744
1493860580.8340599537,1493860580.8363499641, -1.1111, -0.1748, -0.1504, -5.0507, -1.5869, -4.9744
1493860580.8364191055,1493860580.8388578892, -1.1101, -0.1785, -0.1719, -5.0507, -1.5869, -4.9744
1493860580.8389270306,1493860580.8413341045, -1.1101, -0.1785, -0.1719, -5.0507, -1.5869, -4.9744
1493860580.8414030075,1493860580.8438119888, -1.1101, -0.1785, -0.1719, -5.0507, -1.5869, -4.6082
1493860580.8438820839,1493860580.8462901115, -1.1101, -0.1785, -0.1719, -4.2572, -1.9226, -4.6082
1493860580.8463590145,1493860580.8487789631, -1.1101, -0.1785, -0.1719, -4.2572, -1.9226, -4.6082
1493860580.8489980698,1493860580.8514111042, -1.1101, -0.1785, -0.1719, -4.2572, -1.9226, -4.6082
1493860580.8514800072,1493860580.8538870811, -1.1101, -0.1785, -0.1719, -4.2572, -1.9226, -4.6082
1493860580.8539550304,1493860580.8563640118, -1.1101, -0.1785, -0.1719, -4.5166, -2.2125, -4.5624
1493860580.8564329147,1493860580.8588440418, -1.1079, -0.1775, -0.1541, -4.5166, -2.2125, -4.5624
1493860580.8589119911,1493860580.8613181114, -1.1079, -0.1775, -0.1541, -4.5166, -2.2125, -4.5624
1493860580.8613870144,1493860580.8637940884, -1.1079, -0.1775, -0.1541, -4.5166, -2.2125, -4.5624
1493860580.8638629913,1493860580.8662729263, -1.1079, -0.1775, -0.1541, -5.0507, -1.6479, -4.7760
1493860580.8663420677,1493860580.8687629700, -1.1079, -0.1775, -0.1541, -5.0507, -1.6479, -4.7760
1493860580.8688330650,1493860580.8712399006, -1.1079, -0.1775, -0.1541, -5.0507, -1.6479, -4.7760
1493860580.8713090420,1493860580.8737189770, -1.1079, -0.1775, -0.1541, -5.0507, -1.6479, -4.7760
1493860580.8737890720,1493860580.8761920929, -1.1079, -0.1775, -0.1541, -4.4403, -1.7395, -4.3793
1493860580.8762609959,1493860580.8786330223, -1.1079, -0.1711, -0.1606, -4.4403, -1.7395, -4.3793
1493860580.8787019253,1493860580.8809900284, -1.1060, -0.1711, -0.1606, -4.4403, -1.7395, -4.3793
1493860580.8810589314,1493860580.8834168911, -1.1060, -0.1711, -0.1606, -4.4403, -1.7395, -4.3793
1493860580.8834869862,1493860580.8857851028, -1.1060, -0.1711, -0.1606, -4.4403, -1.7395, -4.3793
1493860580.8858559132,1493860580.8885579109, -1.1060, -0.1711, -0.1606, -4.3182, -2.1362, -4.6234
1493860580.8886289597,1493860580.8910388947, -1.1060, -0.1711, -0.1606, -4.3182, -2.1362, -4.6234
1493860580.8911089897,1493860580.8935179710, -1.1060, -0.1711, -0.1606, -4.3182, -2.1362, -4.6234
1493860580.8935859203,1493860580.8959929943, -1.1060, -0.1711, -0.1606, -4.3182, -2.1362, -4.6234
1493860580.8960618973,1493860580.8985159397, -1.1060, -0.1736, -0.1606, -4.6234, -2.3346, -4.7607
1493860580.8985850811,1493860580.9009959698, -1.1138, -0.1736, -0.1606, -4.6234, -2.3346, -4.7607
1493860580.9010670185,1493860580.9034759998, -1.1138, -0.1736, -0.1606, -4.6234, -2.3346, -4.7607
1493860580.9035449028,1493860580.9059560299, -1.1138, -0.1736, -0.1606, -4.6234, -2.3346, -4.7607
1493860580.9060239792,1493860580.9084379673, -1.1138, -0.1736, -0.1606, -5.3864, -1.9226, -4.3488
1493860580.9085071087,1493860580.9109179974, -1.1138, -0.1736, -0.1606, -5.3864, -1.9226, -4.3488
1493860580.9109859467,1493860580.9133958817, -1.1138, -0.1736, -0.1606, -5.3864, -1.9226, -4.3488
1493860580.9134650230,1493860580.9158740044, -1.1138, -0.1736, -0.1606, -5.3864, -1.9226, -4.3488
1493860580.9159440994,1493860580.9182989597, -1.1138, -0.1775, -0.1716, -5.3864, -1.7090, -3.9825
1493860580.9183669090,1493860580.9206509590, -1.1147, -0.1775, -0.1716, -5.9204, -1.7090, -3.9825
1493860580.9207201004,1493860580.9230051041, -1.1147, -0.1775, -0.1716, -5.9204, -1.7090, -3.9825
1493860580.9230740070,1493860580.9253571033, -1.1147, -0.1775, -0.1716, -5.9204, -1.7090, -3.9825
1493860580.9254260063,1493860580.9277229309, -1.1147, -0.1775, -0.1716, -5.9204, -1.7090, -3.9825
1493860580.9277911186,1493860580.9300711155, -1.1147, -0.1775, -0.1716, -6.6376, -1.8768, -4.0283
1493860580.9301390648,1493860580.9324250221, -1.1147, -0.1775, -0.1716, -6.6376, -1.8768, -4.0283
1493860580.9324929714,1493860580.9348149300, -1.1147, -0.1775, -0.1716, -6.6376, -1.8768, -4.0283
1493860580.9348840714,1493860580.9372580051, -1.1147, -0.1775, -0.1716, -6.6376, -1.8768, -4.0283
1493860580.9373269081,1493860580.9396119118, -1.1091, -0.1750, -0.1663, -6.4087, -2.0142, -4.1046
1493860580.9396820068,1493860580.9419679642, -1.1091, -0.1750, -0.1663, -6.4087, -2.0142, -4.1046
1493860580.9420371056,1493860580.9443230629, -1.1091, -0.1750, -0.1663, -6.4087, -2.0142, -4.1046
1493860580.9443919659,1493860580.9466760159, -1.1091, -0.1750, -0.1663, -6.4087, -2.0142, -4.1046
1493860580.9467449188,1493860580.9492540359, -1.1091, -0.1750, -0.1663, -6.4087, -2.0142, -4.1046
