timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495071537.0252180099,1495071537.0275070667, -0.5881,  0.3994, -0.7542,137.8937,-64.6362,-32.2418
1495071537.0276019573,1495071537.0300309658, -0.5881,  0.3994, -0.7542,142.9138,-76.4465,-42.8009
1495071537.0301098824,1495071537.0323970318, -0.5881,  0.3994, -0.7542,142.9138,-76.4465,-42.8009
1495071537.0324759483,1495071537.0347599983, -0.5881,  0.3994, -0.7542,142.9138,-76.4465,-42.8009
1495071537.0348379612,1495071537.0371179581, -0.5881,  0.3994, -0.7542,142.9138,-76.4465,-42.8009
1495071537.0371971130,1495071537.0395200253, -0.5881,  0.4338, -0.8037,142.9138,-87.2955,-50.9186
1495071537.0395989418,1495071537.0419349670, -0.5908,  0.4338, -0.8037,136.8256,-87.2955,-50.9186
1495071537.0420138836,1495071537.0442941189, -0.5908,  0.4338, -0.8037,136.8256,-87.2955,-50.9186
1495071537.0443730354,1495071537.0466599464, -0.5908,  0.4338, -0.8037,136.8256,-87.2955,-50.9186
1495071537.0467379093,1495071537.0490179062, -0.5908,  0.4338, -0.8037,136.8256,-87.2955,-50.9186
1495071537.0490961075,1495071537.0515370369, -0.5908,  0.4338, -0.8037,123.8403,-88.2416,-57.0221
1495071537.0516169071,1495071537.0539960861, -0.5908,  0.4338, -0.8037,123.8403,-88.2416,-57.0221
1495071537.0540759563,1495071537.0563600063, -0.5908,  0.4338, -0.8037,123.8403,-88.2416,-57.0221
1495071537.0564379692,1495071537.0587239265, -0.5908,  0.4338, -0.8662,123.8403,-88.2416,-57.0221
1495071537.0588018894,1495071537.0614900589, -0.6140,  0.4631, -0.8315,111.9843,-89.0045,-61.4319
1495071537.0615708828,1495071537.0639700890, -0.6140,  0.4631, -0.8315,111.9843,-89.0045,-61.4319
1495071537.0640509129,1495071537.0664501190, -0.6140,  0.4631, -0.8315,111.9843,-89.0045,-61.4319
1495071537.0665290356,1495071537.0689229965, -0.6140,  0.4631, -0.8315,111.9843,-89.0045,-61.4319
1495071537.0690019131,1495071537.0714690685, -0.6140,  0.4631, -0.8315, 92.4530,-87.9059,-63.5681
1495071537.0715479851,1495071537.0739610195, -0.6140,  0.4631, -0.8315, 92.8955,-87.9059,-63.5681
1495071537.0740408897,1495071537.0765519142, -0.6140,  0.4631, -0.8315, 92.8955,-87.9059,-63.5681
1495071537.0766320229,1495071537.0790290833, -0.6140,  0.4631, -0.8628, 92.8955,-87.9059,-63.5681
1495071537.0791079998,1495071537.0818440914, -0.7046,  0.4653, -0.8628, 81.1768,-85.7849,-65.0940
1495071537.0819249153,1495071537.0842099190, -0.7046,  0.4653, -0.8628, 78.1555,-85.7849,-65.0940
1495071537.0842890739,1495071537.0865800381, -0.7046,  0.4653, -0.8628, 78.1555,-85.7849,-65.0940
1495071537.0866589546,1495071537.0889449120, -0.7046,  0.4653, -0.8628, 78.1555,-85.7849,-65.0940
1495071537.0890240669,1495071537.0913751125, -0.7046,  0.4653, -0.8628, 78.1555,-85.7849,-65.0940
1495071537.0914530754,1495071537.0937418938, -0.7046,  0.4653, -0.8628, 69.8547,-86.2427,-66.2537
1495071537.0938210487,1495071537.0961010456, -0.7046,  0.4653, -0.8628, 69.8547,-86.2427,-66.2537
