P_i,P_t,P_v,T_i,T_t,T_v
578,1494009821.9213495255,112.670898,774,1494009822.3975834846,-166.442902
835,1494009822.5453255177,-17.074600,1029,1494009823.0215029716,-138.091995
1146,1494009823.3072261810,201.049805,1305,1494009823.6971526146,-146.072403
1357,1494009823.8238291740,-3.356900,1523,1494009824.2250580788,-160.736099
1619,1494009824.4594604969,252.914398,1744,1494009824.7636444569,-200.271606
1797,1494009824.8912553787,-8.651700,1963,1494009825.2927629948,-188.858002
2071,1494009825.5571470261,245.330795,2193,1494009825.8528656960,-178.955093
2246,1494009825.9812798500,-7.843000,2410,1494009826.3830618858,-176.605194
2523,1494009826.6580948830,249.984695,2646,1494009826.9540054798,-183.502197
2697,1494009827.0786108971,-2.075200,2863,1494009827.4800333977,-181.671097
2965,1494009827.7253429890,263.809204,3083,1494009828.0107240677,-202.728302
3122,1494009828.1059334278,-6.210300,3293,1494009828.5182509422,-182.159393
3384,1494009828.7398290634,256.210297,3519,1494009829.0676803589,-184.219406
3558,1494009829.1622314453,-6.683300,3726,1494009829.5728235245,-194.809006
3839,1494009829.8485040665,246.902496,3966,1494009830.1551718712,-224.105804
4044,1494009830.3452599049,-0.366200,4248,1494009830.8432426453,-160.476700
4335,1494009831.0541844368,193.786606,,,
