timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1494009733.2308640480,1494009733.2333950996, -1.1345,  0.0339, -0.1621, -3.5400, -1.9684, -4.6539
1494009733.2335250378,1494009733.2358109951, -1.1345,  0.0339, -0.1621, -3.5400, -1.9684, -4.6539
1494009733.2358829975,1494009733.2381980419, -1.1360,  0.0293, -0.1584, -3.5400, -1.9684, -4.6539
1494009733.2382678986,1494009733.2405540943, -1.1360,  0.0293, -0.1584, -3.5400, -2.3651, -5.6763
1494009733.2406229973,1494009733.2431089878, -1.1360,  0.0293, -0.1584, -3.7079, -2.3651, -5.6763
1494009733.2431800365,1494009733.2454569340, -1.1360,  0.0293, -0.1584, -3.7079, -2.3651, -5.6763
1494009733.2455270290,1494009733.2478129864, -1.1360,  0.0293, -0.1584, -3.7079, -2.3651, -5.6763
1494009733.2478830814,1494009733.2501630783, -1.1360,  0.0293, -0.1584, -3.7079, -2.3651, -5.6763
1494009733.2502338886,1494009733.2525160313, -1.1360,  0.0293, -0.1584, -3.7994, -2.4567, -5.9967
1494009733.2528440952,1494009733.2551290989, -1.1360,  0.0293, -0.1584, -3.7994, -2.4567, -5.9967
1494009733.2551989555,1494009733.2574760914, -1.1360,  0.0293, -0.1638, -3.7994, -2.4567, -5.9967
1494009733.2575459480,1494009733.2598340511, -1.1331,  0.0110, -0.1638, -3.7994, -2.4567, -5.9967
1494009733.2599039078,1494009733.2621810436, -1.1331,  0.0110, -0.1638, -4.2419, -2.1515, -6.1035
1494009733.2622509003,1494009733.2647080421, -1.1331,  0.0110, -0.1638, -4.2419, -2.1515, -6.1035
1494009733.2647790909,1494009733.2670619488, -1.1331,  0.0110, -0.1638, -4.2419, -2.1515, -6.1035
1494009733.2671320438,1494009733.2694098949, -1.1331,  0.0110, -0.1638, -4.2419, -2.1515, -6.1035
1494009733.2694790363,1494009733.2717590332, -1.1331,  0.0110, -0.1638, -4.2419, -2.1515, -5.9509
1494009733.2718288898,1494009733.2742409706, -1.1331,  0.0110, -0.1638, -4.1504, -1.5869, -5.9509
1494009733.2743101120,1494009733.2767150402, -1.1331,  0.0110, -0.1638, -4.1504, -1.5869, -5.9509
1494009733.2767848969,1494009733.2791979313, -1.1357,  0.0129, -0.1594, -4.1504, -1.5869, -5.9509
1494009733.2792680264,1494009733.2817649841, -1.1357,  0.0129, -0.1594, -4.1504, -1.5869, -5.9509
1494009733.2818360329,1494009733.2843329906, -1.1357,  0.0129, -0.1594, -4.4403, -2.0447, -5.8899
1494009733.2844030857,1494009733.2867729664, -1.1357,  0.0129, -0.1594, -4.4403, -2.0447, -5.8899
1494009733.2868430614,1494009733.2893240452, -1.1357,  0.0129, -0.1594, -4.4403, -2.0447, -5.8899
1494009733.2893939018,1494009733.2917709351, -1.1357,  0.0129, -0.1594, -4.4403, -2.0447, -5.8899
1494009733.2918410301,1494009733.2948989868, -1.1357,  0.0129, -0.1594, -4.2419, -1.7395, -5.7526
1494009733.2949719429,1494009733.2972500324, -1.1357,  0.0129, -0.1528, -4.2419, -1.7395, -5.7526
1494009733.2973198891,1494009733.2995989323, -1.1372,  0.0105, -0.1528, -4.2419, -1.7395, -5.7526
1494009733.2996690273,1494009733.3019359112, -1.1372,  0.0105, -0.1528, -4.2419, -1.7395, -5.7526
1494009733.3020060062,1494009733.3043429852, -1.1372,  0.0105, -0.1528, -3.9520, -1.7242, -5.9814
1494009733.3044130802,1494009733.3066909313, -1.1372,  0.0105, -0.1528, -3.9520, -1.7242, -5.9814
1494009733.3067600727,1494009733.3090400696, -1.1372,  0.0105, -0.1528, -3.9520, -1.7242, -5.9814
1494009733.3091089725,1494009733.3113889694, -1.1372,  0.0105, -0.1528, -3.9520, -1.7242, -5.9814
1494009733.3114590645,1494009733.3137540817, -1.1372,  0.0105, -0.1528, -3.9520, -1.7242, -5.8746
1494009733.3138220310,1494009733.3161010742, -1.1372,  0.0105, -0.1528, -3.3112, -1.6785, -5.8746
1494009733.3161699772,1494009733.3184430599, -1.1392, -0.0029, -0.1455, -3.3112, -1.6785, -5.8746
1494009733.3185141087,1494009733.3207941055, -1.1392, -0.0029, -0.1455, -3.3112, -1.6785, -5.8746
1494009733.3208639622,1494009733.3231899738, -1.1392, -0.0029, -0.1455, -3.3112, -1.6785, -5.8746
1494009733.3232600689,1494009733.3255379200, -1.1392, -0.0029, -0.1455, -3.3417, -1.4954, -5.7220
1494009733.3256080151,1494009733.3278820515, -1.1392, -0.0029, -0.1455, -3.3417, -1.4954, -5.7220
