timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495063132.0258870125,1495063132.0283079147, -0.9712,  0.2507, -0.7720,-22.6440,-14.8773,-22.0947
1495063132.0284020901,1495063132.0306839943, -0.8835,  0.2351, -0.7637,-22.6440,-14.8773,-22.0947
1495063132.0307629108,1495063132.0330440998, -0.8835,  0.2351, -0.7637,-22.6440,-14.8773,-22.0947
1495063132.0331220627,1495063132.0353980064, -0.8835,  0.2351, -0.7637,-22.6440,-14.8773,-22.0947
1495063132.0354759693,1495063132.0379259586, -0.8835,  0.2351, -0.7637,-23.3154,-14.0533,-20.6451
1495063132.0380051136,1495063132.0402939320, -0.8835,  0.2351, -0.7637,-23.3154,-14.0533,-20.6451
1495063132.0403718948,1495063132.0426509380, -0.8835,  0.2351, -0.7637,-23.3154,-14.0533,-20.6451
1495063132.0427279472,1495063132.0450139046, -0.8835,  0.2351, -0.7637,-23.3154,-14.0533,-20.6451
1495063132.0450909138,1495063132.0478920937, -0.8835,  0.2351, -0.7637,-22.7814,-12.6038,-17.6849
1495063132.0479729176,1495063132.0502519608, -0.8655,  0.2451, -0.7783,-22.7814,-12.6038,-17.6849
1495063132.0503299236,1495063132.0547020435, -0.8655,  0.2451, -0.7783,-22.7814,-12.6038,-17.6849
1495063132.0547890663,1495063132.0571119785, -0.8655,  0.2451, -0.7783,-22.7814, -8.6975,-14.7858
1495063132.0571899414,1495063132.0595839024, -0.8655,  0.2451, -0.7783,-21.6217,-11.2152,-14.7858
1495063132.0596621037,1495063132.0619471073, -0.8655,  0.2451, -0.7783,-21.6217,-11.2152,-14.7858
1495063132.0620241165,1495063132.0643100739, -0.8655,  0.2451, -0.7783,-21.6217,-11.2152,-14.7858
1495063132.0643858910,1495063132.0666749477, -0.8655,  0.2451, -0.7783,-21.6217,-11.2152,-14.7858
1495063132.0667510033,1495063132.0691080093, -0.8655,  0.2263, -0.8042,-20.2789,-10.2386,-12.9852
1495063132.0691869259,1495063132.0714740753, -0.8574,  0.2263, -0.8042,-20.2789,-10.2386,-12.9852
