timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493860530.6860980988,1493860530.6884799004, -1.2800, -0.2644, -0.3193, -5.3711, -1.9073, -3.9978
1493860530.6886110306,1493860530.6908960342, -1.2800, -0.2644, -0.3193, -5.1270, -1.9073, -3.9978
1493860530.6909658909,1493860530.6932530403, -1.2800, -0.2644, -0.3193, -5.1270, -1.9073, -3.9978
1493860530.6933228970,1493860530.6956019402, -1.2800, -0.2644, -0.3193, -5.1270, -1.9073, -3.9978
1493860530.6956720352,1493860530.6979539394, -1.0850, -0.2166, -0.2373, -5.1270, -1.9073, -3.9978
1493860530.6980240345,1493860530.7003149986, -1.0850, -0.2166, -0.2373, -5.4626, -2.2430, -4.9286
1493860530.7003839016,1493860530.7026660442, -1.0850, -0.2166, -0.2373, -5.4626, -2.2430, -4.9286
1493860530.7027349472,1493860530.7050220966, -1.0850, -0.2166, -0.2373, -5.4626, -2.2430, -4.9286
1493860530.7050900459,1493860530.7073810101, -1.0850, -0.2166, -0.2373, -5.4626, -2.2430, -4.9286
1493860530.7074511051,1493860530.7097320557, -1.0850, -0.2166, -0.2373, -5.4626, -1.9531, -3.6316
1493860530.7098009586,1493860530.7120900154, -1.0850, -0.2166, -0.2373, -5.5695, -1.9531, -3.6316
1493860530.7121589184,1493860530.7144451141, -1.0850, -0.2166, -0.2373, -5.5695, -1.9531, -3.6316
1493860530.7145140171,1493860530.7167940140, -1.0850, -0.2141, -0.2419, -5.5695, -1.9531, -3.6316
1493860530.7169520855,1493860530.7192430496, -1.0930, -0.2141, -0.2419, -5.5695, -1.9531, -3.6316
1493860530.7193109989,1493860530.7217009068, -1.0930, -0.2141, -0.2419, -5.1575, -1.7700, -3.4485
1493860530.7217710018,1493860530.7240629196, -1.0930, -0.2141, -0.2419, -5.1575, -1.7700, -3.4485
1493860530.7241311073,1493860530.7264189720, -1.0930, -0.2141, -0.2419, -5.1575, -1.7700, -3.4485
1493860530.7264869213,1493860530.7289290428, -1.0930, -0.2141, -0.2419, -5.1575, -1.7700, -3.4485
1493860530.7289979458,1493860530.7314159870, -1.0930, -0.2141, -0.2419, -5.2795, -1.8311, -3.7689
1493860530.7314848900,1493860530.7339000702, -1.0930, -0.2141, -0.2419, -5.2795, -1.8311, -3.7689
1493860530.7339699268,1493860530.7363820076, -1.0930, -0.2141, -0.2419, -5.2795, -1.8311, -3.7689
1493860530.7364509106,1493860530.7389130592, -1.0964, -0.2158, -0.2483, -5.2795, -1.8311, -3.7689
1493860530.7389819622,1493860530.7413868904, -1.0964, -0.2158, -0.2483, -5.2795, -1.4191, -3.6926
1493860530.7414560318,1493860530.7438690662, -1.0964, -0.2158, -0.2483, -5.2185, -1.4191, -3.6926
