timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1496546327.0268630981,1496546327.0291500092, -1.1213, -0.1770, -0.2622, -0.8392,  0.0305,-49.4385
1496546327.0292398930,1496546327.0315959454, -1.1213, -0.1770, -0.2622, -1.1444,  0.2289,-49.1333
1496546327.0316720009,1496546327.0339610577, -1.1213, -0.1770, -0.2622, -1.1444,  0.2289,-49.1333
1496546327.0340359211,1496546327.0363180637, -1.1213, -0.1770, -0.2622, -1.1444,  0.2289,-49.1333
1496546327.0363900661,1496546327.0386769772, -1.1213, -0.1770, -0.2622, -1.1444,  0.2289,-49.1333
1496546327.0387499332,1496546327.0411388874, -1.1213, -0.1770, -0.2622, -1.1444,  0.2289,-49.0723
1496546327.0412130356,1496546327.0436348915, -1.1213, -0.1770, -0.2622, -0.0916,  1.0223,-49.0723
1496546327.0437109470,1496546327.0459969044, -1.1213, -0.1770, -0.2622, -0.0916,  1.0223,-49.0723
1496546327.0460710526,1496546327.0483570099, -1.1213, -0.1770, -0.2561, -0.0916,  1.0223,-49.0723
1496546327.0484309196,1496546327.0507409573, -1.0894, -0.1965, -0.2561, -0.0916,  1.0223,-49.0723
1496546327.0508160591,1496546327.0532400608, -1.0894, -0.1965, -0.2561,  2.0142,  1.0681,-47.1039
1496546327.0533139706,1496546327.0557029247, -1.0894, -0.1965, -0.2561,  2.0142,  1.0681,-47.1039
1496546327.0557770729,1496546327.0580589771, -1.0894, -0.1965, -0.2561,  2.0142,  1.0681,-47.1039
1496546327.0581309795,1496546327.0604100227, -1.0894, -0.1965, -0.2561,  2.0142,  1.0681,-47.1039
1496546327.0604829788,1496546327.0629599094, -1.0894, -0.1965, -0.2561,  2.0142,  1.5259,-46.6919
1496546327.0630340576,1496546327.0653259754, -1.0894, -0.1965, -0.2561,  3.8300,  1.5259,-46.6919
1496546327.0653979778,1496546327.0676839352, -1.0894, -0.1965, -0.2561,  3.8300,  1.5259,-46.6919
1496546327.0677568913,1496546327.0700459480, -1.0940, -0.1951, -0.2620,  3.8300,  1.5259,-46.6919
1496546327.0701189041,1496546327.0726249218, -1.0940, -0.1951, -0.2620,  3.8300,  1.5259,-50.5981
1496546327.0727000237,1496546327.0751109123, -1.0940, -0.1951, -0.2620,  5.0964,  1.5869,-47.5006
1496546327.0751841068,1496546327.0775930882, -1.0940, -0.1951, -0.2620,  5.0964,  1.5869,-47.5006
1496546327.0776660442,1496546327.0800740719, -1.0940, -0.1951, -0.2620,  5.0964,  1.5869,-47.5006
1496546327.0801460743,1496546327.0825650692, -1.0940, -0.1951, -0.2620,  5.0964,  1.5869,-47.5006
1496546327.0826389790,1496546327.0850520134, -1.0940, -0.1951, -0.2620,  6.3171,  1.3275,-48.4009
1496546327.0851259232,1496546327.0875339508, -1.0940, -0.1951, -0.2620,  6.3171,  1.3275,-48.4009
1496546327.0876080990,1496546327.0900230408, -1.0864, -0.1824, -0.2937,  6.3171,  1.3275,-48.4009
1496546327.0900959969,1496546327.0925199986, -1.0864, -0.1824, -0.2937,  6.3171,  1.3275,-48.4009
1496546327.0925929546,1496546327.0950000286, -1.0864, -0.1824, -0.2937,  6.9275,  0.5951,-51.0101
1496546327.0950739384,1496546327.0974910259, -1.0864, -0.1824, -0.2937,  6.9275,  0.5951,-51.0101
1496546327.0975649357,1496546327.0999779701, -1.0864, -0.1824, -0.2937,  6.9275,  0.5951,-51.0101
1496546327.1000521183,1496546327.1024339199, -1.0864, -0.1824, -0.2937,  6.9275,  0.5951,-51.0101
1496546327.1025071144,1496546327.1047980785, -1.0864, -0.1824, -0.2937,  6.9275, -3.3112,-53.4210
1496546327.1048710346,1496546327.1071610451, -1.0864, -0.1824, -0.2937,  6.9733, -0.7324,-53.4210
1496546327.1072340012,1496546327.1095249653, -1.0942, -0.1941, -0.3079,  6.9733, -0.7324,-53.4210
1496546327.1095991135,1496546327.1119730473, -1.0942, -0.1941, -0.3079,  6.9733, -0.7324,-53.4210
1496546327.1120469570,1496546327.1144609451, -1.0942, -0.1941, -0.3079,  6.9733, -0.7324,-53.4210
1496546327.1145350933,1496546327.1169559956, -1.0942, -0.1941, -0.3079,  7.4310, -0.5188,-56.3660
1496546327.1170299053,1496546327.1194379330, -1.0942, -0.1941, -0.3079,  7.4310, -0.5188,-56.3660
1496546327.1195120811,1496546327.1219348907, -1.0942, -0.1941, -0.3079,  7.4310, -0.5188,-56.3660
1496546327.1220080853,1496546327.1244199276, -1.0942, -0.1941, -0.3079,  7.4310, -0.5188,-56.3660
1496546327.1244940758,1496546327.1269021034, -1.0942, -0.1941, -0.3079,  7.6141, -1.3733,-59.6466
1496546327.1269750595,1496546327.1293869019, -1.1401, -0.2148, -0.2751,  7.6141, -1.3733,-59.6466
1496546327.1295950413,1496546327.1320130825, -1.1401, -0.2148, -0.2751,  7.6141, -1.3733,-59.6466
1496546327.1320860386,1496546327.1344931126, -1.1401, -0.2148, -0.2751,  7.6141, -1.3733,-59.6466
1496546327.1345660686,1496546327.1369779110, -1.1401, -0.2148, -0.2751,  7.6141, -2.1820,-63.2477
1496546327.1370511055,1496546327.1394569874, -1.1401, -0.2148, -0.2751,  7.3395, -2.1820,-63.2477
1496546327.1395299435,1496546327.1419470310, -1.1401, -0.2148, -0.2751,  7.3395, -2.1820,-63.2477
1496546327.1420199871,1496546327.1444311142, -1.1401, -0.2148, -0.2751,  7.3395, -2.1820,-63.2477
1496546327.1445031166,1496546327.1469149590, -1.1401, -0.2148, -0.2751,  7.3395, -2.1820,-66.2537
1496546327.1469869614,1496546327.1494040489, -1.1628, -0.2473, -0.3276,  9.0027, -3.2806,-66.2537
1496546327.1494770050,1496546327.1518359184, -1.1628, -0.2473, -0.3276,  9.0027, -3.2806,-66.2537
1496546327.1519100666,1496546327.1541929245, -1.1628, -0.2473, -0.3276,  9.0027, -3.2806,-66.2537
1496546327.1542670727,1496546327.1565549374, -1.1628, -0.2473, -0.3276,  9.0027, -3.2806,-66.2537
1496546327.1566278934,1496546327.1589128971, -1.1628, -0.2473, -0.3276, 12.9089, -2.7466,-68.2831
1496546327.1589889526,1496546327.1613619328, -1.1628, -0.2473, -0.3276, 12.9089, -2.7466,-68.2831
1496546327.1614389420,1496546327.1638491154, -1.1628, -0.2473, -0.3276, 12.9089, -2.7466,-68.2831
1496546327.1639258862,1496546327.1663370132, -1.1628, -0.2473, -0.3276, 12.9089, -2.7466,-68.2831
1496546327.1664130688,1496546327.1688270569, -1.1628, -0.3098, -0.2615, 18.1427, -1.2360,-68.6493
1496546327.1689040661,1496546327.1713299751, -1.1804, -0.3003, -0.2615, 18.1427, -1.2360,-68.6493
1496546327.1714069843,1496546327.1738219261, -1.1804, -0.3003, -0.2615, 18.1427, -1.2360,-68.6493
1496546327.1738989353,1496546327.1763150692, -1.1804, -0.3003, -0.2615, 18.1427, -1.2360,-68.6493
1496546327.1763908863,1496546327.1788010597, -1.1804, -0.3003, -0.2615, 18.1427, -1.2360,-68.7561
1496546327.1788780689,1496546327.1812980175, -1.1804, -0.3003, -0.2615, 23.6816, -0.6104,-68.7561
1496546327.1813740730,1496546327.1838810444, -1.1804, -0.3003, -0.2615, 23.6816, -0.6104,-68.7561
1496546327.1839590073,1496546327.1862928867, -1.1804, -0.3003, -0.2615, 23.6816, -0.6104,-68.7561
1496546327.1863720417,1496546327.1886639595, -1.1804, -0.3003, -0.2959, 23.6816, -0.6104,-68.7561
1496546327.1887409687,1496546327.1912410259, -1.2117, -0.2981, -0.2959, 28.7018,  0.5798,-70.0378
1496546327.1913180351,1496546327.1936891079, -1.2117, -0.2981, -0.2959, 28.7018,  0.5798,-70.0378
1496546327.1937649250,1496546327.1962230206, -1.2117, -0.2981, -0.2959, 28.7018,  0.5798,-70.0378
1496546327.1963009834,1496546327.1986539364, -1.2117, -0.2981, -0.2959, 28.7018,  0.5798,-70.0378
1496546327.1987309456,1496546327.2012228966, -1.2117, -0.2981, -0.2959, 34.4543,  1.9989,-72.2504
1496546327.2013020515,1496546327.2035939693, -1.2117, -0.2981, -0.2959, 34.4543,  1.9989,-72.2504
1496546327.2036700249,1496546327.2060520649, -1.2117, -0.2981, -0.2959, 34.4543,  1.9989,-72.2504
1496546327.2061290741,1496546327.2084209919, -1.2117, -0.2981, -0.3584, 34.4543,  1.9989,-72.2504
1496546327.2084970474,1496546327.2107911110, -1.2717, -0.3115, -0.3167, 42.2668,  3.9062,-75.3174
1496546327.2108678818,1496546327.2132380009, -1.2717, -0.3115, -0.3167, 41.4581,  3.9062,-75.3174
1496546327.2133150101,1496546327.2157471180, -1.2717, -0.3115, -0.3167, 41.4581,  3.9062,-75.3174
1496546327.2158238888,1496546327.2182359695, -1.2717, -0.3115, -0.3167, 41.4581,  3.9062,-75.3174
1496546327.2183120251,1496546327.2207410336, -1.2717, -0.3115, -0.3167, 41.4581,  3.9062,-75.3174
1496546327.2208180428,1496546327.2232260704, -1.2717, -0.3115, -0.3167, 48.2635,  3.7994,-77.8198
1496546327.2233018875,1496546327.2257099152, -1.2717, -0.3115, -0.3167, 48.2635,  3.7994,-77.8198
1496546327.2257859707,1496546327.2281959057, -1.2717, -0.3115, -0.3167, 48.2635,  3.7994,-77.8198
1496546327.2282719612,1496546327.2307078838, -1.5222, -0.2520, -0.3784, 48.2635,  3.7994,-77.8198
1496546327.2309169769,1496546327.2332050800, -1.5222, -0.2520, -0.3784, 53.5583,  2.1820,-82.0465
1496546327.2332808971,1496546327.2355699539, -1.5222, -0.2520, -0.3784, 53.5583,  2.1820,-82.0465
1496546327.2356460094,1496546327.2379329205, -1.5222, -0.2520, -0.3784, 53.5583,  2.1820,-82.0465
1496546327.2380099297,1496546327.2402970791, -1.5222, -0.2520, -0.3784, 53.5583,  2.1820,-82.0465
1496546327.2403728962,1496546327.2426629066, -1.5222, -0.2520, -0.3784, 57.4646,  3.4790,-88.9435
1496546327.2427389622,1496546327.2450220585, -1.5222, -0.2520, -0.3784, 54.7943,  3.4790,-88.9435
1496546327.2450981140,1496546327.2473850250, -1.5222, -0.2520, -0.3784, 54.7943,  3.4790,-88.9435
1496546327.2474610806,1496546327.2497460842, -1.5000, -0.2852, -0.1880, 54.7943,  3.4790,-88.9435
1496546327.2498209476,1496546327.2522189617, -1.5000, -0.2852, -0.1880, 54.7943,  3.4790,-88.9435
1496546327.2522950172,1496546327.2545869350, -1.5000, -0.2852, -0.1880, 55.6641,  5.9052,-94.5587
1496546327.2546639442,1496546327.2569510937, -1.5000, -0.2852, -0.1880, 55.6641,  5.9052,-94.5587
1496546327.2570281029,1496546327.2593159676, -1.5000, -0.2852, -0.1880, 55.6641,  5.9052,-94.5587
1496546327.2593920231,1496546327.2618429661, -1.5000, -0.2852, -0.1880, 55.6641,  5.9052,-94.5587
1496546327.2619209290,1496546327.2643289566, -1.5000, -0.2852, -0.1880, 56.5643,  5.6915,-98.9075
1496546327.2644069195,1496546327.2668199539, -1.5000, -0.2852, -0.1880, 56.5643,  5.6915,-98.9075
1496546327.2668960094,1496546327.2693040371, -1.5000, -0.2585, -0.0696, 56.5643,  5.6915,-98.9075
1496546327.2693820000,1496546327.2718009949, -1.6653, -0.2585, -0.0696, 56.5643,  5.6915,-98.9075
1496546327.2718770504,1496546327.2742919922, -1.6653, -0.2585, -0.0696, 52.6581,  3.0670,-104.8126
1496546327.2743699551,1496546327.2767760754, -1.6653, -0.2585, -0.0696, 54.4434,  3.0670,-104.8126
1496546327.2768540382,1496546327.2792689800, -1.6653, -0.2585, -0.0696, 54.4434,  3.0670,-104.8126
1496546327.2793459892,1496546327.2817659378, -1.6653, -0.2585, -0.0696, 54.4434,  3.0670,-104.8126
1496546327.2818429470,1496546327.2842500210, -1.6653, -0.2585, -0.0696, 54.4434,  3.0670,-112.3199
1496546327.2843279839,1496546327.2867400646, -1.6653, -0.2585, -0.0696, 53.4515, -0.0153,-112.3199
1496546327.2868170738,1496546327.2892239094, -1.6653, -0.1030, -0.0811, 53.4515, -0.0153,-112.3199
1496546327.2893021107,1496546327.2916738987, -1.9312, -0.1030, -0.0811, 53.4515, -0.0153,-112.3199
1496546327.2917530537,1496546327.2940421104, -1.9312, -0.1030, -0.0811, 53.4515, -0.0153,-112.3199
1496546327.2941200733,1496546327.2964019775, -1.9312, -0.1030, -0.0811, 54.4281, -3.1738,-120.6665
1496546327.2964789867,1496546327.2987689972, -1.9312, -0.1030, -0.0811, 54.4281, -3.1738,-120.6665
1496546327.2988450527,1496546327.3012609482, -1.9312, -0.1030, -0.0811, 54.4281, -3.1738,-120.6665
1496546327.3013389111,1496546327.3036279678, -1.9312, -0.1030, -0.0811, 54.4281, -3.1738,-120.6665
