timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495664623.1698260307,1495664623.1726739407, -1.1418,  0.0061, -0.0315, -6.4850, -2.6398, -3.0518
1495664623.1728100777,1495664623.1750988960, -1.1418,  0.0061, -0.0315, -6.4850, -2.6398, -3.0518
1495664623.1751708984,1495664623.1774530411, -1.1555,  0.0049, -0.0457, -6.4850, -2.6398, -3.0518
1495664623.1775228977,1495664623.1804039478, -1.1555,  0.0049, -0.0457, -6.4850, -2.6398, -3.0518
1495664623.1804759502,1495664623.1829779148, -1.1555,  0.0049, -0.0457, -6.7139, -2.2430, -3.7842
1495664623.1830489635,1495664623.1853349209, -1.1555,  0.0049, -0.0457, -6.7139, -2.2430, -3.7842
1495664623.1854050159,1495664623.1876859665, -1.1555,  0.0049, -0.0457, -6.7139, -2.2430, -3.7842
1495664623.1877560616,1495664623.1901280880, -1.1555,  0.0049, -0.0457, -6.7139, -2.2430, -3.7842
1495664623.1901988983,1495664623.1926689148, -1.1555,  0.0049, -0.0457, -6.7139, -2.2430, -3.7079
1495664623.1927399635,1495664623.1950271130, -1.1555,  0.0049, -0.0457, -6.8970, -2.7618, -3.7079
1495664623.1950969696,1495664623.1973769665, -1.1582,  0.0103, -0.0281, -6.8970, -2.7618, -3.7079
1495664623.1974470615,1495664623.1997299194, -1.1582,  0.0103, -0.0281, -6.8970, -2.7618, -3.7079
1495664623.1998000145,1495664623.2020978928, -1.1582,  0.0103, -0.0281, -6.8970, -2.7618, -3.7079
1495664623.2022070885,1495664623.2044889927, -1.1582,  0.0103, -0.0281, -6.3019, -2.4872, -3.5248
1495664623.2045590878,1495664623.2068428993, -1.1582,  0.0103, -0.0281, -6.3019, -2.4872, -3.5248
1495664623.2069120407,1495664623.2091948986, -1.1582,  0.0103, -0.0281, -6.3019, -2.4872, -3.5248
1495664623.2092649937,1495664623.2118239403, -1.1582,  0.0103, -0.0281, -6.3019, -2.4872, -3.5248
1495664623.2118949890,1495664623.2141799927, -1.1582,  0.0103, -0.0281, -6.3019, -2.5177, -3.7079
1495664623.2142500877,1495664623.2165319920, -1.1589,  0.0085, -0.0432, -6.5002, -2.5177, -3.7079
1495664623.2166030407,1495664623.2188820839, -1.1589,  0.0085, -0.0432, -6.5002, -2.5177, -3.7079
