timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495664416.3205480576,1495664416.3228480816, -1.3682,  0.3909, -0.0146, -5.1117, -2.6550, -3.2501
1495664416.3229820728,1495664416.3252620697, -1.3682,  0.3909, -0.0146, -5.1117, -2.6550, -3.2501
1495664416.3253340721,1495664416.3276109695, -1.3682,  0.3909, -0.0146, -5.1117, -2.6550, -3.2501
1495664416.3276810646,1495664416.3299789429, -1.3682,  0.3909, -0.0146, -4.6997, -1.9379, -2.7771
1495664416.3300580978,1495664416.3325750828, -1.3682,  0.3909, -0.0146, -4.6997, -1.9379, -2.7771
1495664416.3326458931,1495664416.3349299431, -1.1182,  0.3174,  0.0327, -4.6997, -1.9379, -2.7771
1495664416.3350009918,1495664416.3372869492, -1.1035,  0.3174,  0.0327, -4.6997, -1.9379, -2.7771
1495664416.3373579979,1495664416.3396298885, -1.1035,  0.3174,  0.0327, -4.3182, -1.9684, -2.2583
1495664416.3396990299,1495664416.3421230316, -1.1035,  0.3174,  0.0327, -4.3182, -1.9684, -2.2583
1495664416.3421940804,1495664416.3444750309, -1.1035,  0.3174,  0.0327, -4.3182, -1.9684, -2.2583
1495664416.3445439339,1495664416.3468248844, -1.1035,  0.3174,  0.0327, -4.3182, -1.9684, -2.2583
1495664416.3468949795,1495664416.3491818905, -1.1035,  0.3174,  0.0327, -4.3182, -1.9684, -1.3580
1495664416.3492510319,1495664416.3516619205, -1.1035,  0.3174,  0.0327, -3.4485, -2.1057, -1.3580
1495664416.3517329693,1495664416.3540201187, -1.1035,  0.3174,  0.0327, -3.4485, -2.1057, -1.3580
1495664416.3540890217,1495664416.3563749790, -1.1052,  0.3108,  0.0298, -3.4485, -2.1057, -1.3580
1495664416.3564450741,1495664416.3587279320, -1.1052,  0.3108,  0.0298, -3.4485, -2.1057, -1.3580
1495664416.3587989807,1495664416.3611330986, -1.1052,  0.3108,  0.0298, -2.3499, -0.9460, -0.8850
1495664416.3612129688,1495664416.3649699688, -1.1052,  0.3108,  0.0298, -2.3499, -0.9460, -0.8850
1495664416.3650629520,1495664416.3685939312, -1.1052,  0.3108,  0.0298, -2.3499, -0.9460, -0.8850
1495664416.3686881065,1495664416.3719909191, -1.1052,  0.3108,  0.0298, -1.2512, -0.6714, -0.7019
1495664416.3720710278,1495664416.3744831085, -1.1052,  0.3733,  0.0159, -1.2512, -0.6714, -0.7019
1495664416.3745560646,1495664416.3770399094, -1.0962,  0.3149,  0.0159, -1.2512, -0.6714, -0.7019
1495664416.3771119118,1495664416.3794040680, -1.0962,  0.3149,  0.0159, -1.2512, -0.6714, -0.7019
1495664416.3794760704,1495664416.3819820881, -1.0962,  0.3149,  0.0159, -0.4730, -0.9918,  0.4425
1495664416.3820540905,1495664416.3844211102, -1.0962,  0.3149,  0.0159, -0.4730, -0.9918,  0.4425
1495664416.3844931126,1495664416.3876171112, -1.0962,  0.3149,  0.0159, -0.4730, -0.9918,  0.4425
