P_i,P_t,P_v,T_i,T_t,T_v
637,1495664624.7341146469,96.145599,895,1495664625.3689498901,-104.095497
933,1495664625.4624650478,-5.477900,1290,1495664626.3390688896,-96.374496
1424,1495664626.6679270267,194.885300,1685,1495664627.3127770424,-86.105301
2217,1495664628.6235675812,179.016098,2389,1495664629.0473780632,-124.618500
2437,1495664629.1636338234,-16.052200,2622,1495664629.6179335117,-184.783905
2729,1495664629.8808815479,234.130905,2866,1495664630.2197141647,-118.743896
2952,1495664630.4314544201,-14.205900,3102,1495664630.8010220528,-161.331207
3209,1495664631.0646080971,223.052994,3343,1495664631.3929774761,-163.040207
3365,1495664631.4469919205,-48.248299,3481,1495664631.7317943573,-181.014999
3532,1495664631.8574564457,317.489594,3739,1495664632.3662829399,-170.074493
3786,1495664632.4818029404,295.532196,3898,1495664632.7571699619,-227.035507
3920,1495664632.8107104301,-73.043800,3993,1495664632.9908509254,-195.205704
4040,1495664633.1059625149,300.506592,4139,1495664633.3488116264,-280.166595
