timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495661706.0234019756,1495661706.0256960392, -1.0652, -0.1675, -0.1499, 71.9147, -2.2583,  1.2207
1495661706.0257859230,1495661706.0280659199, -1.0881, -0.1555, -0.1499, 71.9147, -2.2583,  1.2207
1495661706.0281410217,1495661706.0305230618, -1.0881, -0.1555, -0.1499, 71.9147, -2.2583,  1.2207
1495661706.0305991173,1495661706.0329539776, -1.0881, -0.1555, -0.1499, 71.9147, -2.2583,  1.2207
1495661706.0330290794,1495661706.0353128910, -1.0881, -0.1555, -0.1499, 71.9147, -2.2583,  2.2430
1495661706.0353870392,1495661706.0376760960, -1.0881, -0.1555, -0.1499, 81.4209, -0.9766,  2.2430
1495661706.0377509594,1495661706.0401339531, -1.0881, -0.1555, -0.1499, 81.4209, -0.9766,  2.2430
1495661706.0402090549,1495661706.0426020622, -1.0881, -0.1555, -0.1499, 81.4209, -0.9766,  2.2430
1495661706.0426769257,1495661706.0449628830, -1.0881, -0.1555, -0.1499, 81.4209, -0.9766,  2.2430
1495661706.0450379848,1495661706.0473189354, -1.0920, -0.1196, -0.1201, 82.7942, -0.4883,  3.5400
1495661706.0473959446,1495661706.0497601032, -1.0920, -0.1196, -0.1201, 82.7942, -0.4883,  3.5400
1495661706.0498359203,1495661706.0521919727, -1.0920, -0.1196, -0.1201, 82.7942, -0.4883,  3.5400
1495661706.0522670746,1495661706.0545499325, -1.0920, -0.1196, -0.1201, 82.7942, -0.4883,  3.5400
1495661706.0546250343,1495661706.0570631027, -1.0920, -0.1196, -0.1201, 82.7942, -0.4578,  4.2419
1495661706.0575859547,1495661706.0599589348, -1.0920, -0.1196, -0.1201, 85.4034, -0.4578,  4.2419
1495661706.0600349903,1495661706.0626099110, -1.0920, -0.1196, -0.1201, 85.4034, -0.4578,  4.2419
1495661706.0626869202,1495661706.0650599003, -1.0920, -0.1196, -0.1201, 85.4034, -0.4578,  4.2419
1495661706.0651359558,1495661706.0688970089, -1.1001, -0.0920, -0.0549, 85.4034,  0.8850,  4.4250
1495661706.0689759254,1495661706.0714490414, -1.1001, -0.0920, -0.0549, 87.1429,  0.8850,  4.4250
