timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1494009768.4711339474,1494009768.4736440182, -1.3511, -0.2688, -0.1560, -5.1422,  2.3651, -3.3875
1494009768.4737780094,1494009768.4760708809, -1.3511, -0.2688, -0.1560, -5.1422,  2.1973, -3.2501
1494009768.4761419296,1494009768.4784209728, -1.3511, -0.2688, -0.1560, -5.1575,  2.1973, -3.2501
1494009768.4784901142,1494009768.4807729721, -1.3511, -0.2688, -0.1560, -5.1575,  2.1973, -3.2501
1494009768.4808430672,1494009768.4832088947, -1.3511, -0.2688, -0.1560, -5.1575,  2.1973, -3.2501
1494009768.4832780361,1494009768.4855630398, -1.1011, -0.2095, -0.1267, -5.1575,  2.1973, -3.2501
1494009768.4856328964,1494009768.4879159927, -1.0994, -0.2095, -0.1267, -5.2185,  2.1667, -3.9978
1494009768.4879848957,1494009768.4902648926, -1.0994, -0.2095, -0.1267, -5.2185,  2.1667, -3.9978
1494009768.4903340340,1494009768.4926381111, -1.0994, -0.2095, -0.1267, -5.2185,  2.1667, -3.9978
1494009768.4927079678,1494009768.4949998856, -1.0994, -0.2095, -0.1267, -5.2185,  2.1667, -3.9978
1494009768.4950690269,1494009768.4973459244, -1.0994, -0.2095, -0.1267, -5.2185,  2.4414, -3.3417
1494009768.4974150658,1494009768.4996969700, -1.0994, -0.2095, -0.1267, -5.1422,  2.4414, -3.3417
1494009768.4997661114,1494009768.5020539761, -1.0994, -0.2095, -0.1267, -5.1422,  2.4414, -3.3417
1494009768.5021231174,1494009768.5045299530, -1.0994, -0.2095, -0.1267, -5.1422,  2.4414, -3.3417
1494009768.5045990944,1494009768.5068850517, -1.1135, -0.2024, -0.1426, -5.1422,  2.4414, -3.3417
1494009768.5069539547,1494009768.5092339516, -1.1135, -0.2024, -0.1426, -6.0120,  2.1210, -2.7161
1494009768.5093040466,1494009768.5115809441, -1.1135, -0.2024, -0.1426, -6.0120,  2.1210, -2.7161
1494009768.5116510391,1494009768.5140500069, -1.1135, -0.2024, -0.1426, -6.0120,  2.1210, -2.7161
1494009768.5141201019,1494009768.5164010525, -1.1135, -0.2024, -0.1426, -6.0120,  2.1210, -2.7161
1494009768.5164709091,1494009768.5187709332, -1.1135, -0.2024, -0.1426, -5.6458,  1.8768, -3.1281
1494009768.5188410282,1494009768.5212509632, -1.1135, -0.2024, -0.1426, -5.6458,  1.8768, -3.1281
1494009768.5213220119,1494009768.5237300396, -1.1135, -0.2024, -0.1426, -5.6458,  1.8768, -3.1281
1494009768.5238010883,1494009768.5260798931, -1.1230, -0.1980, -0.1448, -5.6458,  1.8768, -3.1281
1494009768.5261490345,1494009768.5284268856, -1.1230, -0.1980, -0.1448, -5.6458,  1.8768, -3.6316
1494009768.5284960270,1494009768.5307741165, -1.1230, -0.1980, -0.1448, -5.2490,  1.5717, -3.6316
1494009768.5308439732,1494009768.5331768990, -1.1230, -0.1980, -0.1448, -5.2490,  1.5717, -3.6316
1494009768.5332469940,1494009768.5355250835, -1.1230, -0.1980, -0.1448, -5.2490,  1.5717, -3.6316
1494009768.5355939865,1494009768.5378780365, -1.1230, -0.1980, -0.1448, -5.2490,  1.5717, -3.6316
1494009768.5379469395,1494009768.5402290821, -1.1230, -0.1980, -0.1448, -5.3253,  1.3580, -4.0131
1494009768.5402979851,1494009768.5426120758, -1.1230, -0.1980, -0.1448, -5.3253,  1.3580, -4.0131
1494009768.5426819324,1494009768.5449690819, -1.1230, -0.1980, -0.1338, -5.3253,  1.3580, -4.0131
1494009768.5450379848,1494009768.5473170280, -1.1108, -0.2021, -0.1338, -5.3253,  1.3580, -4.0131
1494009768.5473868847,1494009768.5496690273, -1.1108, -0.2021, -0.1338, -5.3253,  1.3580, -4.3182
1494009768.5497379303,1494009768.5520200729, -1.1108, -0.2021, -0.1338, -4.9286,  1.5106, -4.3182
1494009768.5520889759,1494009768.5543780327, -1.1108, -0.2021, -0.1338, -4.9286,  1.5106, -4.3182
1494009768.5544478893,1494009768.5567350388, -1.1108, -0.2021, -0.1338, -4.9286,  1.5106, -4.3182
1494009768.5568039417,1494009768.5590870380, -1.1108, -0.2021, -0.1338, -4.9286,  1.5106, -4.3182
1494009768.5591549873,1494009768.5614390373, -1.1108, -0.2021, -0.1338, -5.2643,  1.6174, -4.2877
1494009768.5615069866,1494009768.5638120174, -1.1108, -0.2021, -0.1338, -5.2643,  1.6174, -4.2877
1494009768.5638809204,1494009768.5661659241, -1.0984, -0.2134, -0.1440, -5.2643,  1.6174, -4.2877
1494009768.5662360191,1494009768.5685260296, -1.0984, -0.2134, -0.1440, -5.2643,  1.6174, -4.2877
1494009768.5685949326,1494009768.5708808899, -1.0984, -0.2134, -0.1440, -5.2643,  1.6174, -4.6234
1494009768.5710909367,1494009768.5734999180, -1.0984, -0.2134, -0.1440, -5.5695,  1.3123, -4.6234
1494009768.5735700130,1494009768.5758628845, -1.0984, -0.2134, -0.1440, -5.5695,  1.3123, -4.6234
1494009768.5759320259,1494009768.5782148838, -1.0984, -0.2134, -0.1440, -5.5695,  1.3123, -4.6234
1494009768.5782840252,1494009768.5805680752, -1.0984, -0.2134, -0.1440, -5.5695,  1.3123, -4.6234
1494009768.5806369781,1494009768.5830938816, -1.0984, -0.2134, -0.1440, -5.0201,  1.2360, -4.2114
1494009768.5831630230,1494009768.5855729580, -1.0984, -0.2085, -0.1411, -5.0201,  1.2360, -4.2114
1494009768.5856420994,1494009768.5880510807, -1.1101, -0.2085, -0.1411, -5.0201,  1.2360, -4.2114
