timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1496519978.0090119839,1496519978.0112900734, -1.3147,  0.3015, -0.0076, -4.6997,-12.1460,  0.4578
1496519978.0113739967,1496519978.0137150288, -1.3147,  0.3015, -0.0076, -4.6997,-12.4817,  0.1373
1496519978.0137939453,1496519978.0160789490, -1.3147,  0.3015, -0.0076, -6.7444,-12.4817,  0.1373
1496519978.0161550045,1496519978.0242149830, -1.3147,  0.3015, -0.0076, -6.7444,-12.4817,  0.1373
1496519978.0243029594,1496519978.0266070366, -1.1223,  0.2412, -0.0217, -7.6904,-13.2751,  0.3662
1496519978.0266819000,1496519978.0289659500, -1.1223,  0.2412, -0.0217, -7.6904,-13.2751,  0.3662
1496519978.0290400982,1496519978.0313229561, -1.1223,  0.2412, -0.0217, -7.6904,-13.2751,  0.3662
1496519978.0313971043,1496519978.0337350368, -1.1223,  0.2412, -0.0217, -7.6904,-13.2751,  0.3662
1496519978.0338099003,1496519978.0360970497, -1.1223,  0.2412, -0.0217, -7.4921,-11.8408,  0.8240
1496519978.0361719131,1496519978.0384569168, -1.1223,  0.2412, -0.0217, -7.4921,-11.8408,  0.8240
1496519978.0385310650,1496519978.0409090519, -1.1223,  0.2412, -0.0217, -7.4921,-11.8408,  0.8240
1496519978.0409839153,1496519978.0433590412, -1.1094,  0.2156, -0.0049, -7.4921,-11.8408,  0.8240
1496519978.0434339046,1496519978.0457260609, -1.1094,  0.2156, -0.0049, -6.2103,-12.7258,  1.5564
1496519978.0457999706,1496519978.0480859280, -1.1094,  0.2156, -0.0049, -6.2103,-12.7258,  1.5564
1496519978.0481600761,1496519978.0504479408, -1.1094,  0.2156, -0.0049, -6.2103,-12.7258,  1.5564
1496519978.0505208969,1496519978.0530021191, -1.1094,  0.2156, -0.0049, -6.2103,-12.7258,  1.5564
1496519978.0530769825,1496519978.0554480553, -1.1094,  0.2156, -0.0049, -6.2103,-12.7258,  2.0905
1496519978.0555219650,1496519978.0578069687, -1.1094,  0.2156, -0.0049, -4.3945,-12.5122,  2.0905
1496519978.0578811169,1496519978.0601630211, -1.1094,  0.2156, -0.0049, -4.3945,-12.5122,  2.0905
1496519978.0602369308,1496519978.0632879734, -1.1094,  0.2156,  0.0103, -4.3945,-12.5122,  2.0905
1496519978.0633668900,1496519978.0656530857, -1.1199,  0.2112,  0.0103, -4.3945,-12.5122,  2.0905
1496519978.0657269955,1496519978.0680079460, -1.1199,  0.2112,  0.0103, -1.6174,-12.2223,  2.8992
1496519978.0680799484,1496519978.0704469681, -1.1199,  0.2112,  0.0103, -1.6174,-12.2223,  2.8992
1496519978.0705199242,1496519978.0731399059, -1.1199,  0.2112,  0.0103, -1.6174,-12.2223,  2.8992
1496519978.0732231140,1496519978.0756490231, -1.1199,  0.2112,  0.0103, -1.6174,-12.2223,  2.8992
1496519978.0757250786,1496519978.0781340599, -1.1199,  0.2112,  0.0103,  1.5106,-11.3373,  4.1199
1496519978.0782070160,1496519978.0806150436, -1.1199,  0.2112,  0.0103,  1.5106,-11.3373,  4.1199
1496519978.0806879997,1496519978.0831348896, -1.1824,  0.2554,  0.0088,  1.5106,-11.3373,  4.1199
1496519978.0832099915,1496519978.0855031013, -1.1309,  0.2554,  0.0088,  1.5106,-11.3373,  4.1199
1496519978.0855760574,1496519978.0878629684, -1.1309,  0.2554,  0.0088,  2.0905,-10.9406,  4.8218
1496519978.0879371166,1496519978.0902230740, -1.1309,  0.2554,  0.0088,  2.0905,-10.9406,  4.8218
1496519978.0902969837,1496519978.0926051140, -1.1309,  0.2554,  0.0088,  2.0905,-10.9406,  4.8218
1496519978.0926799774,1496519978.0950911045, -1.1309,  0.2554,  0.0088,  2.0905,-10.9406,  4.8218
1496519978.0951659679,1496519978.0975770950, -1.1309,  0.2554,  0.0088,  2.0905,-10.9406,  4.5776
1496519978.0976510048,1496519978.1000599861, -1.1309,  0.2554,  0.0088,  1.3275,-11.7950,  4.5776
1496519978.1001338959,1496519978.1025500298, -1.1309,  0.2554, -0.0183,  1.3275,-11.7950,  4.5776
1496519978.1026239395,1496519978.1049129963, -1.1189,  0.2896, -0.0183,  1.3275,-11.7950,  4.5776
1496519978.1049869061,1496519978.1072700024, -1.1189,  0.2896, -0.0183,  1.3275,-11.7950,  4.5776
1496519978.1073429585,1496519978.1096301079, -1.1189,  0.2896, -0.0183, -0.6714,-12.3444,  3.6774
1496519978.1097049713,1496519978.1119871140, -1.1189,  0.2896, -0.0183, -0.6714,-12.3444,  3.6774
1496519978.1120610237,1496519978.1143538952, -1.1189,  0.2896, -0.0183, -0.6714,-12.3444,  3.6774
