timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493845823.1123569012,1493845823.1151618958, -1.1145, -0.2324, -0.0366, -4.3793,  0.7935, -3.7994
1493845823.1152980328,1493845823.1176080704, -1.1145, -0.2324, -0.0366, -4.3793,  0.7935, -3.7994
1493845823.1176879406,1493845823.1203041077, -1.1145, -0.2324, -0.0366, -4.3793,  0.7935, -3.7994
1493845823.1203830242,1493845823.1226589680, -1.1145, -0.2324, -0.0366, -5.4016,  0.8392, -4.1962
1493845823.1227309704,1493845823.1250140667, -1.1145, -0.2324, -0.0366, -5.4016,  0.8392, -4.1962
1493845823.1250839233,1493845823.1273639202, -1.1145, -0.2324, -0.0366, -5.4016,  0.8392, -4.1962
1493845823.1274340153,1493845823.1297719479, -1.1145, -0.2324, -0.0366, -5.4016,  0.8392, -4.1962
1493845823.1298429966,1493845823.1321249008, -1.1145, -0.2324, -0.0366, -5.4016,  0.8698, -3.9215
1493845823.1321949959,1493845823.1345489025, -1.1028, -0.2358, -0.0229, -4.9286,  0.8698, -3.9215
1493845823.1346199512,1493845823.1369030476, -1.1028, -0.2358, -0.0229, -4.9286,  0.8698, -3.9215
1493845823.1369740963,1493845823.1394610405, -1.1028, -0.2358, -0.0229, -4.9286,  0.8698, -3.9215
1493845823.1395330429,1493845823.1419529915, -1.1028, -0.2358, -0.0229, -4.9286,  0.8698, -3.9215
1493845823.1420230865,1493845823.1444358826, -1.1028, -0.2358, -0.0229, -4.8828,  1.0071, -3.8452
1493845823.1445059776,1493845823.1469221115, -1.1028, -0.2358, -0.0229, -4.8828,  1.0071, -3.8452
1493845823.1469910145,1493845823.1494181156, -1.1028, -0.2358, -0.0229, -4.8828,  1.0071, -3.8452
1493845823.1494889259,1493845823.1519770622, -1.1028, -0.2358, -0.0229, -4.8828,  1.0071, -3.8452
1493845823.1520459652,1493845823.1544549465, -1.0945, -0.2410, -0.0212, -4.5319,  0.3967, -3.4485
1493845823.1545259953,1493845823.1569368839, -1.0945, -0.2410, -0.0212, -4.5319,  0.3967, -3.4485
1493845823.1570079327,1493845823.1594319344, -1.0945, -0.2410, -0.0212, -4.5319,  0.3967, -3.4485
1493845823.1595029831,1493845823.1619141102, -1.0945, -0.2410, -0.0212, -4.5319,  0.3967, -3.4485
1493845823.1619849205,1493845823.1644039154, -1.0945, -0.2410, -0.0212, -4.1351,  0.4272, -3.3569
1493845823.1645700932,1493845823.1670079231, -1.0945, -0.2410, -0.0212, -4.1351,  0.4272, -3.3569
1493845823.1670799255,1493845823.1701500416, -1.0945, -0.2410, -0.0212, -4.1351,  0.4272, -3.3569
1493845823.1702229977,1493845823.1725010872, -1.0945, -0.2410, -0.0212, -4.1351,  0.4272, -3.3569
1493845823.1725718975,1493845823.1748509407, -1.0977, -0.2412, -0.0273, -4.5319,  0.2747, -3.2654
1493845823.1749229431,1493845823.1772010326, -1.0977, -0.2412, -0.0273, -4.5319,  0.2747, -3.2654
1493845823.1772720814,1493845823.1796169281, -1.0977, -0.2412, -0.0273, -4.5319,  0.2747, -3.2654
1493845823.1796879768,1493845823.1819729805, -1.0977, -0.2412, -0.0273, -4.5319,  0.2747, -3.2654
1493845823.1820440292,1493845823.1843268871, -1.0977, -0.2412, -0.0273, -4.5319,  0.2747, -3.2654
1493845823.1843969822,1493845823.1866829395, -1.0977, -0.2412, -0.0273, -4.5929,  0.5798, -3.6316
1493845823.1867530346,1493845823.1890408993, -1.0977, -0.2412, -0.0273, -4.5929,  0.5798, -3.6316
1493845823.1891109943,1493845823.1913909912, -1.0977, -0.2412, -0.0273, -4.5929,  0.5798, -3.6316
1493845823.1914610863,1493845823.1937429905, -1.0977, -0.2412, -0.0405, -4.5929,  0.5798, -3.6316
1493845823.1938130856,1493845823.1960899830, -1.1079, -0.2395, -0.0405, -4.3030,  0.7935, -3.8757
1493845823.1961610317,1493845823.1984388828, -1.1079, -0.2395, -0.0405, -4.3030,  0.7935, -3.8757
1493845823.1985089779,1493845823.2008490562, -1.1079, -0.2395, -0.0405, -4.3030,  0.7935, -3.8757
1493845823.2009201050,1493845823.2032010555, -1.1079, -0.2395, -0.0405, -4.3030,  0.7935, -3.8757
1493845823.2032709122,1493845823.2055490017, -1.1079, -0.2395, -0.0405, -4.3030,  0.7935, -3.8757
1493845823.2056200504,1493845823.2078950405, -1.1079, -0.2395, -0.0405, -3.7689,  0.7477, -3.8300
1493845823.2079648972,1493845823.2103090286, -1.1079, -0.2395, -0.0405, -3.7689,  0.7477, -3.8300
1493845823.2103800774,1493845823.2126519680, -1.1079, -0.2395, -0.0405, -3.7689,  0.7477, -3.8300
1493845823.2127230167,1493845823.2150061131, -1.1223, -0.2205, -0.0400, -3.7689,  0.7477, -3.8300
1493845823.2152268887,1493845823.2175140381, -1.1223, -0.2205, -0.0400, -4.0741,  0.9003, -3.9673
1493845823.2175860405,1493845823.2200510502, -1.1223, -0.2205, -0.0400, -4.0741,  0.9003, -3.9673
1493845823.2201230526,1493845823.2224040031, -1.1223, -0.2205, -0.0400, -4.0741,  0.9003, -3.9673
1493845823.2224740982,1493845823.2247509956, -1.1223, -0.2205, -0.0400, -4.0741,  0.9003, -3.9673
1493845823.2248220444,1493845823.2270998955, -1.1223, -0.2205, -0.0400, -4.0741,  0.9003, -4.3182
1493845823.2271718979,1493845823.2294929028, -1.1223, -0.2205, -0.0400, -4.6387,  0.3052, -4.3182
1493845823.2295649052,1493845823.2318499088, -1.1223, -0.2205, -0.0400, -4.6387,  0.3052, -4.3182
1493845823.2319209576,1493845823.2342340946, -1.1223, -0.2126, -0.0317, -4.6387,  0.3052, -4.3182
1493845823.2343039513,1493845823.2365798950, -1.1155, -0.2126, -0.0317, -4.6387,  0.3052, -4.3182
1493845823.2366499901,1493845823.2389760017, -1.1155, -0.2126, -0.0317, -4.8676,  0.2594, -4.4403
1493845823.2390470505,1493845823.2413249016, -1.1155, -0.2126, -0.0317, -4.8676,  0.2594, -4.4403
1493845823.2413959503,1493845823.2436759472, -1.1155, -0.2126, -0.0317, -4.8676,  0.2594, -4.4403
1493845823.2437469959,1493845823.2460269928, -1.1155, -0.2126, -0.0317, -4.8676,  0.2594, -4.4403
1493845823.2460970879,1493845823.2483770847, -1.1155, -0.2126, -0.0317, -4.8676,  0.0763, -4.0283
1493845823.2484469414,1493845823.2507340908, -1.1155, -0.2126, -0.0317, -5.6610,  0.0763, -4.0283
1493845823.2508049011,1493845823.2530860901, -1.1155, -0.2126, -0.0317, -5.6610,  0.0763, -4.0283
1493845823.2533249855,1493845823.2556049824, -1.1106, -0.2351, -0.0386, -5.6610,  0.0763, -4.0283
1493845823.2556760311,1493845823.2579569817, -1.1106, -0.2351, -0.0386, -5.6610,  0.0763, -4.0283
1493845823.2580270767,1493845823.2605550289, -1.1106, -0.2351, -0.0386, -5.6763, -0.0305, -4.1046
