timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1494009709.0536510944,1494009709.0575680733, -1.1211, -0.1882, -0.0671, -3.8757, -1.4191, -5.1117
1494009709.0577011108,1494009709.0602729321, -1.1233, -0.1882, -0.0671, -3.8757, -1.4191, -5.1117
1494009709.0603520870,1494009709.0627119541, -1.1233, -0.1882, -0.0671, -3.8757, -1.4191, -5.1117
1494009709.0627830029,1494009709.0653600693, -1.1233, -0.1882, -0.0671, -3.8757, -1.4191, -5.1117
1494009709.0654370785,1494009709.0677170753, -1.1233, -0.1882, -0.0671, -4.3640, -1.4954, -4.9286
1494009709.0677869320,1494009709.0700631142, -1.1233, -0.1882, -0.0671, -4.3640, -1.4954, -4.9286
1494009709.0701310635,1494009709.0724859238, -1.1233, -0.1882, -0.0671, -4.3640, -1.4954, -4.9286
1494009709.0726320744,1494009709.0749189854, -1.1233, -0.1882, -0.0671, -4.3640, -1.4954, -4.9286
1494009709.0749878883,1494009709.0772669315, -1.1233, -0.1838, -0.0618, -4.3640, -1.4954, -4.3640
1494009709.0773360729,1494009709.0796160698, -1.1194, -0.1838, -0.0618, -3.4180, -1.2512, -4.3640
1494009709.0796849728,1494009709.0819699764, -1.1194, -0.1838, -0.0618, -3.4180, -1.2512, -4.3640
1494009709.0820400715,1494009709.0843811035, -1.1194, -0.1838, -0.0618, -3.4180, -1.2512, -4.3640
1494009709.0844519138,1494009709.0867331028, -1.1194, -0.1838, -0.0618, -3.4180, -1.2512, -4.3640
1494009709.0868010521,1494009709.0890829563, -1.1194, -0.1838, -0.0618, -3.4027, -1.5564, -4.6844
1494009709.0891520977,1494009709.0914289951, -1.1194, -0.1838, -0.0618, -3.4027, -1.5564, -4.6844
1494009709.0914990902,1494009709.0939838886, -1.1194, -0.1838, -0.0618, -3.4027, -1.5564, -4.6844
1494009709.0940530300,1494009709.0963339806, -1.1194, -0.1838, -0.0618, -3.4027, -1.5564, -4.6844
1494009709.0964040756,1494009709.0986809731, -1.1162, -0.1838, -0.0620, -3.4027, -1.6937, -4.8523
1494009709.0987510681,1494009709.1010389328, -1.1162, -0.1838, -0.0620, -3.5400, -1.6937, -4.8523
1494009709.1011090279,1494009709.1033940315, -1.1162, -0.1838, -0.0620, -3.5400, -1.6937, -4.8523
1494009709.1034638882,1494009709.1057450771, -1.1162, -0.1838, -0.0620, -3.5400, -1.6937, -4.8523
1494009709.1058139801,1494009709.1080949306, -1.1162, -0.1838, -0.0620, -3.5400, -1.6937, -4.8523
1494009709.1081650257,1494009709.1104400158, -1.1162, -0.1838, -0.0620, -3.3722, -1.7090, -5.4626
1494009709.1105079651,1494009709.1129260063, -1.1162, -0.1838, -0.0620, -3.3722, -1.7090, -5.4626
1494009709.1129961014,1494009709.1154589653, -1.1162, -0.1838, -0.0620, -3.3722, -1.7090, -5.4626
1494009709.1155300140,1494009709.1178069115, -1.1184, -0.1873, -0.0593, -3.3722, -1.7090, -5.4626
1494009709.1178760529,1494009709.1201570034, -1.1184, -0.1873, -0.0593, -3.7994, -1.6174, -5.2490
1494009709.1202259064,1494009709.1225049496, -1.1184, -0.1873, -0.0593, -3.7994, -1.6174, -5.2490
1494009709.1228179932,1494009709.1251940727, -1.1184, -0.1873, -0.0593, -3.7994, -1.6174, -5.2490
1494009709.1252629757,1494009709.1276359558, -1.1184, -0.1873, -0.0593, -3.7994, -1.6174, -5.2490
1494009709.1277060509,1494009709.1303379536, -1.1184, -0.1873, -0.0593, -3.7994, -1.5869, -5.2338
1494009709.1304099560,1494009709.1326820850, -1.1184, -0.1873, -0.0593, -4.1351, -1.5869, -5.2338
1494009709.1327509880,1494009709.1350259781, -1.1184, -0.1873, -0.0593, -4.1351, -1.5869, -5.2338
1494009709.1350948811,1494009709.1373701096, -1.1184, -0.1733, -0.0852, -4.1351, -1.5869, -5.2338
1494009709.1374399662,1494009709.1397180557, -1.1309, -0.1733, -0.0852, -4.1351, -1.5869, -5.2338
1494009709.1397869587,1494009709.1420700550, -1.1309, -0.1733, -0.0852, -4.1504, -1.7090, -5.0507
1494009709.1421399117,1494009709.1444759369, -1.1309, -0.1733, -0.0852, -4.1504, -1.7090, -5.0507
1494009709.1445460320,1494009709.1468260288, -1.1309, -0.1733, -0.0852, -4.1504, -1.7090, -5.0507
1494009709.1468958855,1494009709.1491730213, -1.1309, -0.1733, -0.0852, -4.1504, -1.7090, -5.0507
1494009709.1492431164,1494009709.1515181065, -1.1309, -0.1733, -0.0852, -4.1504, -1.5106, -5.6305
1494009709.1515879631,1494009709.1539080143, -1.1309, -0.1733, -0.0852, -4.7455, -1.5106, -5.6305
1494009709.1539769173,1494009709.1562519073, -1.1309, -0.1733, -0.0852, -4.7455, -1.5106, -5.6305
1494009709.1564610004,1494009709.1587450504, -1.1243, -0.1843, -0.0688, -4.7455, -1.5106, -5.6305
1494009709.1588139534,1494009709.1610910892, -1.1243, -0.1843, -0.0688, -4.7455, -1.5106, -5.6305
1494009709.1611590385,1494009709.1634418964, -1.1243, -0.1843, -0.0688, -4.6539, -1.8768, -5.9662
1494009709.1635100842,1494009709.1657900810, -1.1243, -0.1843, -0.0688, -4.6539, -1.8768, -5.9662
1494009709.1658599377,1494009709.1681408882, -1.1243, -0.1843, -0.0688, -4.6539, -1.8768, -5.9662
1494009709.1682090759,1494009709.1705920696, -1.1243, -0.1843, -0.0688, -4.6539, -1.8768, -5.9662
1494009709.1706690788,1494009709.1731100082, -1.1243, -0.1843, -0.0688, -4.9896, -2.1362, -6.4697
1494009709.1731801033,1494009709.1758069992, -1.1243, -0.1843, -0.0688, -4.9896, -2.1362, -6.4697
1494009709.1758780479,1494009709.1781620979, -1.1223, -0.1826, -0.0752, -4.9896, -2.1362, -6.4697
1494009709.1782310009,1494009709.1805169582, -1.1223, -0.1826, -0.0752, -4.9896, -2.1362, -6.4697
1494009709.1805860996,1494009709.1829710007, -1.1223, -0.1826, -0.0752, -4.9896, -2.1362, -7.0190
1494009709.1830410957,1494009709.1854379177, -1.1223, -0.1826, -0.0752, -5.5695, -2.7161, -7.0190
