timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1496546095.0218019485,1496546095.0240879059, -1.1206, -0.1433, -0.2451, -5.9814,  4.7302, -5.9052
1496546095.0241720676,1496546095.0264580250, -1.1362, -0.1487, -0.2451, -5.9814,  4.7302, -5.9052
1496546095.0265278816,1496546095.0288090706, -1.1362, -0.1487, -0.2451, -5.9814,  4.7302, -5.9052
1496546095.0288779736,1496546095.0312759876, -1.1362, -0.1487, -0.2451, -5.9814,  4.7302, -5.9052
1496546095.0313448906,1496546095.0336270332, -1.1362, -0.1487, -0.2451, -5.4779,  5.1117, -6.1798
1496546095.0336959362,1496546095.0359749794, -1.1362, -0.1487, -0.2451, -5.4779,  5.1117, -6.1798
1496546095.0360438824,1496546095.0383229256, -1.1362, -0.1487, -0.2451, -5.4779,  5.1117, -6.1798
1496546095.0383911133,1496546095.0408968925, -1.1362, -0.1487, -0.2451, -5.4779,  5.1117, -6.1798
1496546095.0409679413,1496546095.0432479382, -1.1362, -0.1487, -0.2451, -4.5929,  4.9286, -5.9509
1496546095.0433170795,1496546095.0456008911, -1.1177, -0.1572, -0.2717, -4.5929,  4.9286, -5.9509
1496546095.0456700325,1496546095.0479500294, -1.1177, -0.1572, -0.2717, -4.5929,  4.9286, -5.9509
1496546095.0480189323,1496546095.0504229069, -1.1177, -0.1572, -0.2717, -4.5929,  4.9286, -5.9509
1496546095.0504930019,1496546095.0529339314, -1.1177, -0.1572, -0.2717, -4.5929,  4.9286, -4.8523
1496546095.0530049801,1496546095.0553820133, -1.1177, -0.1572, -0.2717, -3.7537,  4.9744, -4.8523
1496546095.0554509163,1496546095.0577290058, -1.1177, -0.1572, -0.2717, -3.7537,  4.9744, -4.8523
1496546095.0577969551,1496546095.0602190495, -1.1177, -0.1572, -0.2717, -3.7537,  4.9744, -4.8523
1496546095.0602879524,1496546095.0627560616, -1.1177, -0.1572, -0.2717, -3.7537,  4.9744, -4.8523
1496546095.0628249645,1496546095.0651938915, -1.1228, -0.1575, -0.2822, -3.5553,  4.9133, -4.6234
1496546095.0652630329,1496546095.0676329136, -1.1228, -0.1575, -0.2822, -3.5553,  4.9133, -4.6234
1496546095.0677020550,1496546095.0701179504, -1.1228, -0.1575, -0.2822, -3.5553,  4.9133, -4.6234
1496546095.0701880455,1496546095.0726130009, -1.1228, -0.1575, -0.2822, -3.5553,  4.9133, -4.6234
1496546095.0726819038,1496546095.0750949383, -1.1228, -0.1575, -0.2822, -1.7242,  5.2795, -4.2572
1496546095.0751640797,1496546095.0775740147, -1.1228, -0.1575, -0.2822, -1.7242,  5.2795, -4.2572
1496546095.0776429176,1496546095.0800549984, -1.1228, -0.1575, -0.2822, -1.7242,  5.2795, -4.2572
1496546095.0801239014,1496546095.0825440884, -1.1228, -0.1575, -0.2822, -1.7242,  5.2795, -4.2572
1496546095.0826129913,1496546095.0850210190, -1.1853, -0.1396, -0.2776, -1.7242,  5.2795, -4.0588
1496546095.0850899220,1496546095.0875000954, -1.1267, -0.1396, -0.2776, -1.2054,  5.1880, -4.0588
1496546095.0875699520,1496546095.0899798870, -1.1267, -0.1396, -0.2776, -1.2054,  5.1880, -4.0588
1496546095.0900490284,1496546095.0925090313, -1.1267, -0.1396, -0.2776, -1.2054,  5.1880, -4.0588
1496546095.0925779343,1496546095.0949869156, -1.1267, -0.1396, -0.2776, -1.2054,  5.1880, -0.1526
1496546095.0950570107,1496546095.0974659920, -1.1267, -0.1396, -0.2776, -1.5564,  4.9896, -3.8605
1496546095.0975348949,1496546095.0999441147, -1.1267, -0.1396, -0.2776, -1.5564,  4.9896, -3.8605
1496546095.1000130177,1496546095.1023390293, -1.1267, -0.1396, -0.2776, -1.5564,  4.9896, -3.8605
1496546095.1024079323,1496546095.1046960354, -1.1267, -0.1458, -0.2776, -1.5564,  4.9896, -3.8605
1496546095.1047639847,1496546095.1070530415, -1.1086, -0.1458, -0.2776, -0.8240,  4.6387, -4.4861
1496546095.1071240902,1496546095.1094069481, -1.1086, -0.1458, -0.2776, -0.8240,  4.6387, -4.4861
1496546095.1094770432,1496546095.1118268967, -1.1086, -0.1458, -0.2776, -0.8240,  4.6387, -4.4861
1496546095.1118969917,1496546095.1143069267, -1.1086, -0.1458, -0.2776, -0.8240,  4.6387, -4.4861
1496546095.1143770218,1496546095.1167819500, -1.1086, -0.1458, -0.2776, -0.8240,  4.6387, -4.4250
1496546095.1168520451,1496546095.1192579269, -1.1086, -0.1458, -0.2776, -0.4272,  4.1046, -4.4250
1496546095.1193280220,1496546095.1217479706, -1.1086, -0.1458, -0.2776, -0.4272,  4.1046, -4.4250
1496546095.1218180656,1496546095.1242270470, -1.1086, -0.1458, -0.2776, -0.4272,  4.1046, -4.4250
1496546095.1244280338,1496546095.1268401146, -1.1125, -0.1543, -0.2837, -0.4272,  4.1046, -0.5188
1496546095.1269109249,1496546095.1293189526, -1.1125, -0.1543, -0.2837,  0.5341,  4.4403, -3.8300
1496546095.1293900013,1496546095.1318070889, -1.1125, -0.1543, -0.2837,  0.5341,  4.4403, -3.8300
1496546095.1318778992,1496546095.1342859268, -1.1125, -0.1543, -0.2837,  0.5341,  4.4403, -3.8300
1496546095.1343560219,1496546095.1367659569, -1.1125, -0.1543, -0.2837,  0.5341,  4.4403, -3.8300
1496546095.1368360519,1496546095.1392440796, -1.1125, -0.1543, -0.2837,  0.8392,  4.7913, -3.4027
1496546095.1393148899,1496546095.1417329311, -1.1125, -0.1543, -0.2837,  0.8392,  4.7913, -3.4027
1496546095.1418030262,1496546095.1442110538, -1.1125, -0.1543, -0.2837,  0.8392,  4.7913, -3.4027
1496546095.1442809105,1496546095.1466910839, -1.1128, -0.1475, -0.2793,  0.8392,  4.7913, -3.4027
1496546095.1467618942,1496546095.1491670609, -1.1128, -0.1475, -0.2793,  0.8850,  4.8370, -3.4180
1496546095.1492369175,1496546095.1516470909, -1.1128, -0.1475, -0.2793,  0.8850,  4.8370, -3.4180
1496546095.1517179012,1496546095.1540079117, -1.1128, -0.1475, -0.2793,  0.8850,  4.8370, -3.4180
1496546095.1540780067,1496546095.1563649178, -1.1128, -0.1475, -0.2793,  0.8850,  4.8370, -3.4180
1496546095.1564350128,1496546095.1587240696, -1.1128, -0.1475, -0.2793,  0.8850,  4.8370, -3.5553
1496546095.1587939262,1496546095.1611430645, -1.1128, -0.1475, -0.2793,  1.0376,  4.4861, -3.5553
1496546095.1612119675,1496546095.1636230946, -1.1128, -0.1475, -0.2793,  1.0376,  4.4861, -3.5553
1496546095.1636929512,1496546095.1660981178, -1.1069, -0.1409, -0.2932,  1.0376,  4.4861, -3.5553
1496546095.1661670208,1496546095.1685779095, -1.1069, -0.1409, -0.2932,  1.0376,  4.4861, -3.5553
