timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1495664453.9790809155,1495664453.9818639755, -1.1438, -0.1465, -0.0146,-10.7574, -2.4414, -2.1973
1495664453.9820020199,1495664453.9842889309, -1.1438, -0.1465, -0.0146,-12.9089, -2.5024, -0.2747
1495664453.9850471020,1495664453.9876670837, -1.1838, -0.1296, -0.0422,-12.9089, -2.5024, -0.2747
1495664453.9877469540,1495664453.9900329113, -1.1838, -0.1296, -0.0422,-12.9089, -2.5024, -0.2747
1495664453.9901080132,1495664453.9926459789, -1.1838, -0.1296, -0.0422,-12.9089, -2.5024, -0.2747
1495664453.9927220345,1495664453.9950070381, -1.1838, -0.1296, -0.0422,-13.9313, -2.1515,  4.9591
1495664453.9950809479,1495664453.9973618984, -1.1838, -0.1296, -0.0210,-13.9313, -2.1515,  4.9591
1495664453.9974360466,1495664453.9997239113, -1.1448, -0.1379, -0.0210,-13.9313, -2.1515,  4.9591
1495664453.9997980595,1495664454.0020830631, -1.1448, -0.1379, -0.0210,-13.9313, -2.1515,  4.9591
1495664454.0021569729,1495664454.0044419765, -1.1448, -0.1379, -0.0210,-13.9313, -2.1515,  4.9591
1495664454.0045149326,1495664454.0067980289, -1.1448, -0.1379, -0.0210,-13.9618, -2.6703,  6.5918
1495664454.0068709850,1495664454.0091569424, -1.1448, -0.1379, -0.0210,-13.9618, -2.6703,  6.5918
1495664454.0092310905,1495664454.0115039349, -1.1448, -0.1379, -0.0210,-13.9618, -2.6703,  6.5918
1495664454.0115768909,1495664454.0138599873, -1.1448, -0.1379, -0.0210,-13.9618, -2.6703,  6.5918
1495664454.0139338970,1495664454.0162138939, -1.1448, -0.1379, -0.0210,-13.5345, -1.4801,  5.0201
1495664454.0162880421,1495664454.0185620785, -1.1003, -0.1489, -0.0083,-13.5345, -1.4801,  5.0201
1495664454.0186369419,1495664454.0209209919, -1.1003, -0.1489, -0.0083,-13.5345, -1.4801,  5.0201
1495664454.0210609436,1495664454.0233430862, -1.1003, -0.1489, -0.0083,-13.5345, -1.4801,  5.0201
1495664454.0234169960,1495664454.0257000923, -1.1003, -0.1489, -0.0083,-13.5345, -1.4801,  1.1139
1495664454.0257730484,1495664454.0280520916, -1.1003, -0.1489, -0.0083,-13.4583, -1.2207,  2.9755
1495664454.0281260014,1495664454.0304069519, -1.1003, -0.1489, -0.0083,-13.4583, -1.2207,  2.9755
1495664454.0304820538,1495664454.0328578949, -1.1003, -0.1489, -0.0083,-13.4583, -1.2207,  2.9755
1495664454.0329329967,1495664454.0352170467, -1.1003, -0.1489, -0.0083,-13.4583, -1.2207,  2.9755
1495664454.0352919102,1495664454.0375730991, -1.1003, -0.1489, -0.0156,-13.6871, -1.3733,  0.9613
1495664454.0376479626,1495664454.0399320126, -1.1204, -0.1526, -0.0156,-13.6871, -1.3733,  0.9613
1495664454.0400071144,1495664454.0424549580, -1.1204, -0.1526, -0.0156,-13.6871, -1.3733,  0.9613
1495664454.0425291061,1495664454.0448119640, -1.1204, -0.1526, -0.0156,-13.6871, -1.3733,  0.9613
1495664454.0448870659,1495664454.0471720695, -1.1204, -0.1526, -0.0156,-13.6871, -1.3733, -0.4120
1495664454.0472450256,1495664454.0495290756, -1.1204, -0.1526, -0.0156,-12.7716, -2.0752, -0.4120
1495664454.0496020317,1495664454.0518910885, -1.1204, -0.1526, -0.0156,-12.7716, -2.0752, -0.4120
1495664454.0519659519,1495664454.0542531013, -1.1204, -0.1526, -0.0156,-12.7716, -2.0752, -0.4120
1495664454.0543260574,1495664454.0566129684, -1.1204, -0.1526, -0.0156,-12.7716, -2.0752, -0.4120
1495664454.0566859245,1495664454.0589671135, -1.1343, -0.1646, -0.0293,-12.4054, -2.1057, -0.6714
1495664454.0590410233,1495664454.0613510609, -1.1343, -0.1646, -0.0293,-12.4054, -2.1057, -0.6714
1495664454.0614259243,1495664454.0638320446, -1.1343, -0.1646, -0.0293,-12.4054, -2.1057, -0.6714
1495664454.0639069080,1495664454.0663208961, -1.1343, -0.1646, -0.0293,-12.4054, -2.1057, -0.6714
1495664454.0663950443,1495664454.0688049793, -1.1343, -0.1646, -0.0293,-12.4054, -2.1820, -1.3123
1495664454.0688779354,1495664454.0712990761, -1.1343, -0.1646, -0.0293,-13.6871, -2.1820, -1.3123
1495664454.0713720322,1495664454.0736560822, -1.1343, -0.1646, -0.0293,-13.6871, -2.1820, -1.3123
1495664454.0737299919,1495664454.0760180950, -1.1343, -0.1646, -0.0293,-13.6871, -2.1820, -1.3123
1495664454.0760910511,1495664454.0783700943, -1.1150, -0.1567, -0.0298,-13.6871, -2.1820, -1.3123
1495664454.0784430504,1495664454.0807240009, -1.1150, -0.1567, -0.0298,-14.6332, -2.5330, -2.3956
1495664454.0809419155,1495664454.0833129883, -1.1150, -0.1567, -0.0298,-14.6332, -2.5330, -2.3956
1495664454.0833868980,1495664454.0858829021, -1.1150, -0.1567, -0.0298,-14.6332, -2.5330, -2.3956
1495664454.0859560966,1495664454.0883219242, -1.1150, -0.1567, -0.0298,-14.6332, -2.5330, -2.3956
1495664454.0883951187,1495664454.0907750130, -1.1150, -0.1567, -0.0298,-15.3198, -2.7313, -3.4180
1495664454.0908479691,1495664454.0932610035, -1.1150, -0.1567, -0.0298,-15.3198, -2.7313, -3.4180
1495664454.0933339596,1495664454.0957419872, -1.1150, -0.1567, -0.0298,-15.3198, -2.7313, -3.4180
1495664454.0958149433,1495664454.0983428955, -1.1150, -0.1135, -0.0249,-15.3198, -2.7313, -3.4180
1495664454.0984179974,1495664454.1008160114, -1.1213, -0.1135, -0.0249,-14.7400, -2.5940, -4.5013
1495664454.1008911133,1495664454.1039640903, -1.1213, -0.1135, -0.0249,-14.7400, -2.5940, -4.5013
1495664454.1040399075,1495664454.1063189507, -1.1213, -0.1135, -0.0249,-14.7400, -2.5940, -4.5013
1495664454.1063930988,1495664454.1086750031, -1.1213, -0.1135, -0.0249,-14.7400, -2.5940, -4.5013
1495664454.1087489128,1495664454.1110649109, -1.1213, -0.1135, -0.0249,-14.7400, -2.4567, -5.2032
1495664454.1111381054,1495664454.1137719154, -1.1213, -0.1135, -0.0249,-13.6719, -2.4567, -5.2032
1495664454.1138501167,1495664454.1161348820, -1.1213, -0.1135, -0.0249,-13.6719, -2.4567, -5.2032
1495664454.1162090302,1495664454.1184849739, -1.1553, -0.1345, -0.0073,-13.6719, -2.4567, -5.2032
1495664454.1185600758,1495664454.1208391190, -1.1553, -0.1345, -0.0073,-13.6719, -2.4567, -5.2032
1495664454.1209130287,1495664454.1233670712, -1.1553, -0.1345, -0.0073,-13.5345, -2.8534, -6.3019
1495664454.1234409809,1495664454.1257228851, -1.1553, -0.1345, -0.0073,-13.5345, -2.8534, -6.3019
1495664454.1257960796,1495664454.1280760765, -1.1553, -0.1345, -0.0073,-13.5345, -2.8534, -6.3019
1495664454.1281490326,1495664454.1304280758, -1.1553, -0.1345, -0.0073,-13.5345, -2.8534, -6.3019
1495664454.1305010319,1495664454.1329030991, -1.1553, -0.1345, -0.0073,-13.5651, -3.0060, -6.7444
1495664454.1329779625,1495664454.1352589130, -1.1553, -0.1345, -0.0073,-13.5651, -3.0060, -6.7444
1495664454.1353330612,1495664454.1376159191, -1.1553, -0.1345, -0.0146,-13.5651, -3.0060, -6.7444
1495664454.1376879215,1495664454.1399641037, -1.1492, -0.1423, -0.0146,-13.5651, -3.0060, -6.7444
1495664454.1400380135,1495664454.1423859596, -1.1492, -0.1423, -0.0146,-13.5651, -3.0060, -6.4087
1495664454.1424601078,1495664454.1447379589, -1.1492, -0.1423, -0.0146,-14.1296, -2.5177, -6.4087
1495664454.1448109150,1495664454.1470921040, -1.1492, -0.1423, -0.0146,-14.1296, -2.5177, -6.4087
1495664454.1471660137,1495664454.1494479179, -1.1492, -0.1423, -0.0146,-14.1296, -2.5177, -6.4087
1495664454.1495211124,1495664454.1519279480, -1.1492, -0.1423, -0.0146,-14.1296, -2.5177, -6.4087
1495664454.1520009041,1495664454.1542830467, -1.1492, -0.1423, -0.0146,-14.8163, -2.1667, -5.4016
1495664454.1543560028,1495664454.1566359997, -1.1492, -0.1423, -0.0146,-14.8163, -2.1667, -5.4016
1495664454.1567089558,1495664454.1589879990, -1.1416, -0.1843,  0.0068,-14.8163, -2.1667, -5.4016
1495664454.1590619087,1495664454.1615378857, -1.1416, -0.1843,  0.0068,-14.8163, -2.1667, -5.4016
1495664454.1616129875,1495664454.1640229225, -1.1416, -0.1843,  0.0068,-14.8163, -2.6398, -4.4708
1495664454.1640980244,1495664454.1665129662, -1.1416, -0.1843,  0.0068,-15.2740, -2.6398, -4.4708
1495664454.1665880680,1495664454.1690011024, -1.1416, -0.1843,  0.0068,-15.2740, -2.6398, -4.4708
1495664454.1690750122,1495664454.1714990139, -1.1416, -0.1843,  0.0068,-15.2740, -2.6398, -4.4708
1495664454.1715729237,1495664454.1739840508, -1.1416, -0.1843,  0.0068,-15.2740, -2.6398, -4.3030
1495664454.1740579605,1495664454.1764709949, -1.1416, -0.1843,  0.0068,-15.7013, -2.4109, -4.3030
1495664454.1765449047,1495664454.1789560318, -1.1194, -0.1516, -0.0088,-15.7013, -2.4109, -4.3030
1495664454.1790299416,1495664454.1814570427, -1.1194, -0.1516, -0.0088,-15.7013, -2.4109, -4.3030
1495664454.1816511154,1495664454.1840620041, -1.1194, -0.1516, -0.0088,-15.7013, -2.4109, -4.3030
1495664454.1841359138,1495664454.1865389347, -1.1194, -0.1516, -0.0088,-14.2517, -1.9379, -3.7994
1495664454.1866118908,1495664454.1890261173, -1.1194, -0.1516, -0.0088,-14.2517, -1.9379, -3.7994
1495664454.1890990734,1495664454.1915280819, -1.1194, -0.1516, -0.0088,-14.2517, -1.9379, -3.7994
1495664454.1916019917,1495664454.1940119267, -1.1194, -0.1516, -0.0088,-14.2517, -1.9379, -3.7994
1495664454.1940848827,1495664454.1964960098, -1.1194, -0.1516, -0.0088,-13.1989, -1.9836, -2.3956
1495664454.1965699196,1495664454.1989789009, -1.1204, -0.1287, -0.0059,-13.1989, -1.9836, -2.3956
1495664454.1990540028,1495664454.2014629841, -1.1204, -0.1287, -0.0059,-13.1989, -1.9836, -2.3956
1495664454.2015380859,1495664454.2038180828, -1.1204, -0.1287, -0.0059,-13.1989, -1.9836, -2.3956
1495664454.2038919926,1495664454.2061760426, -1.1204, -0.1287, -0.0059,-13.1989, -1.8005, -1.8158
1495664454.2062499523,1495664454.2085409164, -1.1204, -0.1287, -0.0059,-11.7950, -1.8005, -1.8158
1495664454.2086141109,1495664454.2108960152, -1.1204, -0.1287, -0.0059,-11.7950, -1.8005, -1.8158
1495664454.2110090256,1495664454.2132899761, -1.1204, -0.1287, -0.0059,-11.7950, -1.8005, -1.8158
1495664454.2133650780,1495664454.2156469822, -1.1204, -0.1287, -0.0059,-11.7950, -1.8005, -1.8158
1495664454.2157199383,1495664454.2180368900, -1.1204, -0.1287,  0.0232, -8.8196, -1.9989, -1.2512
1495664454.2181079388,1495664454.2203929424, -1.1304, -0.1411,  0.0232, -8.8196, -1.9989, -1.2512
1495664454.2204639912,1495664454.2228538990, -1.1304, -0.1411,  0.0232, -8.8196, -1.9989, -1.2512
1495664454.2229249477,1495664454.2253201008, -1.1304, -0.1411,  0.0232, -8.8196, -1.9989, -1.2512
1495664454.2253909111,1495664454.2277889252, -1.1304, -0.1411,  0.0232, -5.8441, -1.5564, -0.9918
1495664454.2278590202,1495664454.2302539349, -1.1304, -0.1411,  0.0232, -5.8441, -1.5564, -0.9918
1495664454.2303240299,1495664454.2327070236, -1.1304, -0.1411,  0.0232, -5.8441, -1.5564, -0.9918
1495664454.2327780724,1495664454.2351479530, -1.1304, -0.1411,  0.0232, -5.8441, -1.5564, -0.9918
1495664454.2352180481,1495664454.2375888824, -1.1304, -0.1411,  0.0232, -5.8441, -1.5564, -0.0916
1495664454.2377009392,1495664454.2401189804, -1.1392, -0.1519,  0.0161, -2.6398, -2.2736, -0.0916
1495664454.2401900291,1495664454.2426350117, -1.1392, -0.1519,  0.0161, -2.6398, -2.2736, -0.0916
1495664454.2427060604,1495664454.2451190948, -1.1392, -0.1519,  0.0161, -2.6398, -2.2736, -0.0916
1495664454.2451889515,1495664454.2476069927, -1.1392, -0.1519,  0.0161, -2.6398, -2.2736,  3.8147
1495664454.2476770878,1495664454.2500879765, -1.1392, -0.1519,  0.0161, -1.6937, -2.3193,  0.8240
1495664454.2501599789,1495664454.2525620461, -1.1392, -0.1519,  0.0161, -1.6937, -2.3193,  0.8240
1495664454.2526350021,1495664454.2549200058, -1.1392, -0.1519,  0.0161, -1.6937, -2.3193,  0.8240
1495664454.2549901009,1495664454.2572739124, -1.1392, -0.1519,  0.0161, -1.6937, -2.3193,  0.8240
1495664454.2573449612,1495664454.2596330643, -1.1465, -0.1802,  0.0181, -0.9308, -1.2665,  1.2970
1495664454.2597041130,1495664454.2620019913, -1.1465, -0.1802,  0.0181, -0.9308, -1.2665,  1.2970
1495664454.2620739937,1495664454.2643599510, -1.1465, -0.1802,  0.0181, -0.9308, -1.2665,  1.2970
1495664454.2644309998,1495664454.2667150497, -1.1465, -0.1802,  0.0181, -0.9308, -1.2665,  1.2970
1495664454.2667870522,1495664454.2690689564, -1.1465, -0.1802,  0.0181, -0.9308, -1.2665,  1.6174
1495664454.2691400051,1495664454.2715439796, -1.1465, -0.1802,  0.0181,  0.5188, -0.6104,  1.6174
1495664454.2716159821,1495664454.2739028931, -1.1465, -0.1802,  0.0181,  0.5188, -0.6104,  1.6174
1495664454.2739760876,1495664454.2762639523, -1.1465, -0.1802,  0.0181,  0.5188, -0.6104,  1.6174
1495664454.2763359547,1495664454.2786319256, -1.1465, -0.1426,  0.0022,  0.5188, -0.6104,  1.6174
1495664454.2787039280,1495664454.2811279297, -1.1567, -0.1426,  0.0022,  2.3956, -0.2136,  2.4261
1495664454.2811989784,1495664454.2836089134, -1.1567, -0.1426,  0.0022,  2.3956, -0.2136,  2.4261
1495664454.2837970257,1495664454.2862119675, -1.1567, -0.1426,  0.0022,  2.3956, -0.2136,  2.4261
1495664454.2862830162,1495664454.2886900902, -1.1567, -0.1426,  0.0022,  2.3956, -0.2136,  2.4261
1495664454.2887620926,1495664454.2912199497, -1.1567, -0.1426,  0.0022,  2.6703, -0.5035,  2.3346
1495664454.2912919521,1495664454.2937030792, -1.1567, -0.1426,  0.0022,  2.6703, -0.5035,  2.3346
1495664454.2937738895,1495664454.2961881161, -1.1567, -0.1426,  0.0022,  2.6703, -0.5035,  2.3346
1495664454.2962601185,1495664454.2986750603, -1.1567, -0.1179, -0.0393,  2.6703, -0.5035,  2.3346
1495664454.2987470627,1495664454.3012049198, -1.1526, -0.1179, -0.0393,  2.6703,  0.1984,  1.8005
1495664454.3012769222,1495664454.3036859035, -1.1526, -0.1179, -0.0393,  1.3733,  0.1984,  1.8005
1495664454.3037569523,1495664454.3061668873, -1.1526, -0.1179, -0.0393,  1.3733,  0.1984,  1.8005
1495664454.3062379360,1495664454.3086459637, -1.1526, -0.1179, -0.0393,  1.3733,  0.1984,  1.8005
1495664454.3087179661,1495664454.3111310005, -1.1526, -0.1179, -0.0393,  1.3733,  0.1984,  1.8005
1495664454.3112020493,1495664454.3134849072, -1.1526, -0.1179, -0.0393,  0.8698, -0.4120,  2.3956
1495664454.3135581017,1495664454.3158440590, -1.1526, -0.1179, -0.0393,  0.8698, -0.4120,  2.3956
1495664454.3159170151,1495664454.3182070255, -1.1526, -0.1179, -0.0461,  0.8698, -0.4120,  2.3956
1495664454.3182790279,1495664454.3205630779, -1.1501, -0.1040, -0.0461,  0.8698, -0.4120,  2.3956
1495664454.3206350803,1495664454.3230679035, -1.1501, -0.1040, -0.0461,  0.7477, -0.8087,  2.3193
1495664454.3231399059,1495664454.3255519867, -1.1501, -0.1040, -0.0461,  0.7477, -0.8087,  2.3193
1495664454.3256239891,1495664454.3280320168, -1.1501, -0.1040, -0.0461,  0.7477, -0.8087,  2.3193
1495664454.3281040192,1495664454.3305170536, -1.1501, -0.1040, -0.0461,  0.7477, -0.8087,  2.3193
1495664454.3305900097,1495664454.3330199718, -1.1501, -0.1040, -0.0461, -3.1586, -0.6714,  1.7242
1495664454.3330910206,1495664454.3355019093, -1.1501, -0.1040, -0.0461, -0.3510, -0.6714,  1.7242
1495664454.3355739117,1495664454.3379900455, -1.1501, -0.1040, -0.0461, -0.3510, -0.6714,  1.7242
1495664454.3380620480,1495664454.3404750824, -1.1536, -0.1084, -0.0408, -0.3510, -0.6714,  1.7242
1495664454.3405470848,1495664454.3429989815, -1.1536, -0.1084, -0.0408, -0.3510, -0.6714,  0.9918
1495664454.3430719376,1495664454.3454871178, -1.1536, -0.1084, -0.0408, -1.6479, -1.4801,  0.9918
1495664454.3455579281,1495664454.3479690552, -1.1536, -0.1084, -0.0408, -1.6479, -1.4801,  0.9918
1495664454.3480401039,1495664454.3504579067, -1.1536, -0.1084, -0.0408, -1.6479, -1.4801,  0.9918
1495664454.3505299091,1495664454.3529469967, -1.1536, -0.1084, -0.0408, -1.6479, -1.4801,  0.9918
1495664454.3530180454,1495664454.3554229736, -1.1536, -0.1084, -0.0408, -4.0894, -2.2583, -0.3052
1495664454.3554940224,1495664454.3579080105, -1.1536, -0.1084, -0.0408, -4.0894, -2.2583, -0.3052
1495664454.3579790592,1495664454.3603858948, -1.1443, -0.0969, -0.0276, -4.0894, -2.2583, -0.3052
1495664454.3604569435,1495664454.3627901077, -1.1443, -0.0969, -0.0276, -4.0894, -2.2583, -0.3052
1495664454.3628621101,1495664454.3651549816, -1.1443, -0.0969, -0.0276, -5.2948, -2.1362, -0.6561
1495664454.3652250767,1495664454.3675060272, -1.1443, -0.0969, -0.0276, -5.2948, -2.1362, -0.6561
1495664454.3675758839,1495664454.3698639870, -1.1443, -0.0969, -0.0276, -5.2948, -2.1362, -0.6561
1495664454.3699340820,1495664454.3723089695, -1.1443, -0.0969, -0.0276, -5.2948, -2.1362, -0.6561
1495664454.3723790646,1495664454.3747940063, -1.1443, -0.0969, -0.0276, -5.2948, -2.1362, -2.2278
1495664454.3748619556,1495664454.3772749901, -1.1443, -0.0969, -0.0276, -7.9803, -2.3956, -2.2278
1495664454.3773460388,1495664454.3797609806, -1.1401, -0.0923, -0.0251, -7.9803, -2.3956, -2.2278
1495664454.3798298836,1495664454.3822588921, -1.1401, -0.0923, -0.0251, -7.9803, -2.3956, -2.2278
1495664454.3823289871,1495664454.3847460747, -1.1401, -0.0923, -0.0251, -7.9803, -2.3956, -2.2278
1495664454.3848149776,1495664454.3872280121, -1.1401, -0.0923, -0.0251, -9.1095, -2.1973, -3.2349
1495664454.3874061108,1495664454.3898239136, -1.1401, -0.0923, -0.0251, -9.1095, -2.1973, -3.2349
1495664454.3898940086,1495664454.3922588825, -1.1401, -0.0923, -0.0251, -9.1095, -2.1973, -3.2349
1495664454.3923289776,1495664454.3946180344, -1.1401, -0.0923, -0.0251, -9.1095, -2.1973, -3.2349
1495664454.3946878910,1495664454.3969769478, -1.1401, -0.0923, -0.0251, -9.1248, -2.9755, -4.9133
1495664454.3970479965,1495664454.3993299007, -1.1367, -0.0608, -0.0330, -9.1248, -2.9755, -4.9133
1495664454.3993999958,1495664454.4017429352, -1.1367, -0.0608, -0.0330, -9.1248, -2.9755, -4.9133
1495664454.4018130302,1495664454.4042289257, -1.1367, -0.0608, -0.0330, -9.1248, -2.9755, -4.9133
1495664454.4042999744,1495664454.4067111015, -1.1367, -0.0608, -0.0330, -9.1248, -2.9755, -6.1493
1495664454.4067809582,1495664454.4091930389, -1.1367, -0.0608, -0.0330, -9.7046, -2.5635, -6.1493
1495664454.4092628956,1495664454.4116580486, -1.1367, -0.0608, -0.0330, -9.7046, -2.5635, -6.1493
1495664454.4117279053,1495664454.4140150547, -1.1367, -0.0608, -0.0330, -9.7046, -2.5635, -6.1493
1495664454.4140849113,1495664454.4163699150, -1.1367, -0.0608, -0.0330, -9.7046, -2.5635, -6.1493
1495664454.4164409637,1495664454.4187269211, -1.1367, -0.0571, -0.0256,-10.1624, -3.0365, -7.5378
1495664454.4187989235,1495664454.4211220741, -1.1313, -0.0571, -0.0256,-10.1624, -3.0365, -7.5378
1495664454.4211950302,1495664454.4236121178, -1.1313, -0.0571, -0.0256,-10.1624, -3.0365, -7.5378
1495664454.4236850739,1495664454.4260959625, -1.1313, -0.0571, -0.0256,-10.1624, -3.0365, -7.5378
1495664454.4261679649,1495664454.4285840988, -1.1313, -0.0571, -0.0256, -9.8419, -3.4180, -8.8501
1495664454.4286539555,1495664454.4310760498, -1.1313, -0.0571, -0.0256, -9.8419, -3.4180, -8.8501
1495664454.4311459064,1495664454.4335570335, -1.1313, -0.0571, -0.0256, -9.8419, -3.4180, -8.8501
1495664454.4336268902,1495664454.4360361099, -1.1313, -0.0571, -0.0256, -9.8419, -3.4180, -8.8501
1495664454.4361059666,1495664454.4385120869, -1.1313, -0.0571, -0.0200, -9.8419, -3.4180,-10.4065
1495664454.4385859966,1495664454.4410259724, -1.1536, -0.1101, -0.0200, -8.5144, -3.8147,-10.4065
1495664454.4411020279,1495664454.4435179234, -1.1536, -0.1101, -0.0200, -8.5144, -3.8147,-10.4065
1495664454.4435930252,1495664454.4460000992, -1.1536, -0.1101, -0.0200, -8.5144, -3.8147,-10.4065
1495664454.4460740089,1495664454.4484879971, -1.1536, -0.1101, -0.0200, -8.5144, -3.8147,-10.4065
