S_i,S_t,S_max,S_i,S_t,S_min,period
396,1495664417.2988724709,22.827101,919,1495664418.5877974033,-130.996704,1.575150
1035,1495664418.8740229607,179.336502,1274,1495664419.4639363289,-141.738907,1.097636
1480,1495664419.9716587067,-7.782000,1656,1495664420.4054374695,-181.976303,1.215047
1973,1495664421.1867055893,69.717400,1986,1495664421.2188243866,-131.607101,1.375811
2532,1495664422.5625169277,211.731003,2712,1495664423.0065073967,-92.224098,0.993860
2936,1495664423.5563769341,-28.015100,3138,1495664424.0516967773,-158.554092,0.876703
3293,1495664424.4330794811,213.256805,3439,1495664424.7921419144,-101.120003,1.691236
3981,1495664426.1243155003,231.567398,4158,1495664426.5583338737,-90.118401,0.983249
4381,1495664427.1075644493,-19.287100,4601,1495664427.6476454735,-181.839005,0.835945
4721,1495664427.9435095787,220.046997,4901,1495664428.3867073059,-125.000000,0.898384
5086,1495664428.8418939114,-35.873402,5317,1495664429.4115796089,-186.172501,0.867569
5438,1495664429.7094631195,205.230698,5626,1495664430.1726861000,-98.953201,0.770333
5751,1495664430.4797964096,-28.747601,6082,1495664431.2951374054,-205.963104,1.132328
6211,1495664431.6121244431,252.471893,6391,1495664432.0567164421,-96.603401,1.205623
6700,1495664432.8177471161,-25.222799,6824,1495664433.1231083870,-191.925003,0.991657
7102,1495664433.8094038963,81.024200,7115,1495664433.8417410851,-204.421997,0.991657
